MEDIA 4001 | meaning: a fast military plane that fights enemy aircraft
E 39197 | B1 type 32 Present Perfect Continuous | style nerd | options 3 | SEL
de|Morgen um diese Zeit ... die nächste Rakete von dieser Rampe auf, und alles wird beben!|steigt|steigt|steigt
ua|Завтра в цей час наступна ракета ... з цього майданчика, і все трястиметься!|здійматиметься|злетить|здіймається
es|¡Mañana a esta hora, el próximo cohete ... desde esta plataforma, y todo temblará!|estará despegando|despegará|despega
fr|Demain à cette heure-ci, la prochaine fusée ... de ce pas de tir, et tout va trembler !|sera en train de s'élever|s'élèvera|s'élève
tr|Yarın bu saatte bir sonraki roket bu rampadan ... ve her şey sallanacak!|yükseliyor olacak|yükselecek|yükselir
hu|Holnap ilyenkor a következő rakéta ... erről az indítóállásról, és minden rázkódni fog!|épp emelkedik|emelkedik majd|emelkedik
E 42374 | B2 type 66 All Past Tenses | style business | options 3 | SEL
en|By 09:01, the rocket ... past the tower, per the timeline.|had risen|rose|was rising
de|Um 09:01 Uhr ... die Rakete laut Zeitplan schon am Turm vorbei aufgestiegen.|war|stieg|stieg gerade
ua|До 09:01 ракета ... повз вежу, згідно з графіком.|піднялася|піднялася|піднімалася
es|Para las 09:01, el cohete ya ... por delante de la torre, según el cronograma.|había subido|subió|estaba subiendo
fr|À 9 h 01, la fusée ... au-delà de la tour, selon le planning.|s'était élevée|s'est élevée|s'élevait
tr|Zaman çizelgesine göre saat 09:01'de roket kulenin yanından ...|yükselmişti|yükseldi|yükseliyordu
hu|09:01-re a rakéta az ütemterv szerint már ... a torony mellett.|felemelkedett|emelkedett|éppen emelkedett
MEDIA 4091 | meaning: to break on the surface without falling apart
E 38213 | B1 type 44 Relative clauses | style flirt | options 3 | SEL
en|Honestly, the spot ... you poured your tea cracked into a perfect star.|where|which|who
de|Ehrlich, die Stelle, ... du deinen Tee gegossen hast, ist zu einem perfekten Stern gesprungen.|wo|die|wer
ua|Чесно, місце, ... ти вилила чай, тріснуло ідеальною зіркою.|де|яке|хто
es|Sinceramente, el sitio ... echaste tu té se agrietó formando una estrella perfecta.|donde|que|quien
fr|Franchement, l'endroit ... tu as versé ton thé s'est fissuré en une étoile parfaite.|où|que|qui
tr|Açıkçası, çayını ... yer mükemmel bir yıldız şeklinde çatladı.|döktüğün|döktüğün|döken
hu|Őszintén, az a hely, ... kiöntötted a teádat, tökéletes csillag alakban megrepedt.|ahol|amely|aki
MEDIA 4093 | meaning: having a circular shape
E 42481 | B1 type 46 Used to, Would | style nerd | options 3 | SEL
en|In fact, early astronomers ... believe that the round moon was perfectly smooth.|used to|would|were used to
de|Tatsächlich ... frühe Astronomen zu glauben, dass der runde Mond vollkommen glatt sei.|pflegten|pflegten|waren gewohnt
ua|Насправді ранні астрономи ... вважати, що кругла Луна ідеально гладка.|мали звичку|мали звичку|були звиклі
es|De hecho, los primeros astrónomos ... creer que la luna redonda era perfectamente lisa.|solían|solían|estaban acostumbrados a
fr|En fait, les premiers astronomes ... que la lune ronde était parfaitement lisse.|croyaient|croyaient|étaient habitués à croire
tr|Aslında ilk gökbilimciler yuvarlak Ay'ın tamamen pürüzsüz olduğuna ...|inanırlardı|inanırlardı|inanmaya alışkındı
hu|Valójában a korai csillagászok úgy ..., hogy a kerek Hold tökéletesen sima.|hitték|hitték|voltak hozzászokva
MEDIA 4098 | meaning: a line or route leading to a place
E 44678 | B2 type 54 Mixed Conditional | style ironic | options 3 | SEL
en|If the cows had moved earlier, he ... on his way already. A calm ride, obviously.|would be|would have been|will be
de|Wenn die Kühe früher Platz gemacht hätten, ... er schon unterwegs. Eine entspannte Fahrt, offensichtlich.|wäre|wäre gewesen|wird sein
ua|Якби корови відійшли раніше, він уже ... в дорозі. Спокійна поїздка, очевидно.|був би|був би|буде
es|Si las vacas se hubieran apartado antes, él ya ... de camino. Un paseo tranquilo, obviamente.|estaría|habría estado|estará
fr|Si les vaches s'étaient poussées plus tôt, il ... déjà en route. Une balade tranquille, évidemment.|serait|aurait été|sera
tr|İnekler daha önce çekilseydi, o çoktan yolda ..., sakin bir sürüş tabii.|olurdu|olmuş olurdu|olacak
hu|Ha a tehenek hamarabb arrébb mentek volna, ő már ... úton. Nyugis bringázás, nyilván.|lenne|lett volna|lesz
MEDIA 4103 | meaning: good-natured tolerance of delay
E 41464 | B2 type 55 Advanced Passive Voice | style ironic | options 3 | SEL
en|The puppy is reported ... for the sausage with legendary patience, all six seconds of it.|to have waited|to wait|waiting
de|Der Welpe soll mit legendärer Geduld auf die Wurst ... – ganze sechs Sekunden lang.|gewartet haben|warten|wartend
ua|Кажуть, цуценя ... на сосиску з легендарним терпінням — цілих шість секунд.|чекало|чекає|чекаючи
es|Según dicen, el cachorro ... la salchicha con una paciencia legendaria, los seis segundos enteros.|esperó|espera|esperando
fr|Le chiot ... la saucisse avec une patience légendaire, pendant six secondes entières.|aurait attendu|attendrait|attendant
tr|Bildirildiğine göre yavru köpek sosis için efsanevi bir sabırla ..., tam altı saniye boyunca.|beklemiş|bekliyor|bekleyerek
hu|A hírek szerint a kiskutya legendás türelemmel ... a virslire, mind a hat másodpercig.|várt|vár|várva
MEDIA 4109 | meaning: a field of short cut grass
E 40512 | B1 type 34 Present Perfect Simple or Continuos | style nerd | options 3 | SEL
en|The smaller dog ... at the water jet four times since arriving on the lawn.|has pawed|has been pawing|paws
de|Der kleinere Hund hat seit seiner Ankunft auf dem Rasen viermal mit der Pfote nach dem Wasserstrahl ...|geschlagen|geschlagen|schlägt
ua|Менший пес ... лапою по струменю води чотири рази відтоді, як прийшов на газон.|вдарив|бив|б'є
es|El perro más pequeño ... el chorro de agua cuatro veces desde que llegó al césped.|ha tocado con la pata|ha estado tocando con la pata|toca con la pata
fr|Le plus petit chien ... le jet d'eau quatre fois depuis son arrivée sur la pelouse.|a tapé|n'arrête pas de taper|tape
tr|Küçük köpek çimenliğe geldiğinden beri su fışkırmasına dört kez pati ...|attı|atıyor|atar
hu|A kisebbik kutya a gyepre érkezése óta négyszer ... a mancsával a vízsugárba.|csapott|csapkod|csap
E 40518 | B2 type 66 All Past Tenses | style dramatic | options 3 | SEL
en|The dogs ... the lawn in peace for years before this terrifying fountain arrived!|had enjoyed|have enjoyed|were enjoying
de|Die Hunde hatten den Rasen jahrelang in Ruhe ..., bevor dieser furchtbare Brunnen kam!|genossen|genossen|genossen
ua|Собаки ... газоном спокійно роками, поки не з'явився цей жахливий фонтан!|насолоджувалися|насолоджуються|насолоджувалися
es|¡Los perros ... del césped en paz durante años antes de que llegara esta fuente aterradora!|habían disfrutado|han disfrutado|estaban disfrutando
fr|Les chiens ... de la pelouse en paix pendant des années avant l'arrivée de cette fontaine terrifiante !|avaient profité|ont profité|profitaient
tr|Bu korkunç çeşme gelmeden önce köpekler yıllarca çimenliğin tadını huzur içinde ...!|çıkarmıştı|çıkardı|çıkarıyordu
hu|A kutyák évekig békében ... a gyepet, mielőtt megjött ez a félelmetes szökőkút!|élvezték|élvezik|élvezték
MEDIA 4114 | meaning: a large complex of shops
E 40834 | B1 type 43 Modal verbs Probability | style flirt | options 3 | SEL
en|Look at you: you ... be the most stylish shopper in this whole mall.|must|can't|mustn't
de|Schau dich an: Du ... die stylishste Shopperin in diesem ganzen Einkaufszentrum sein.|musst|kannst nicht|darfst nicht
ua|Ти тільки глянь на себе: ти ... найстильніша покупниця в усьому торговому центрі.|точно|не можеш бути|не повинна бути
es|Mírate: tú ... ser la compradora con más estilo de todo el centro comercial.|debes de|no puedes|no debes
fr|Regarde-toi : tu ... être la cliente la plus stylée de tout le centre commercial.|dois|ne peux pas|ne dois pas
tr|Kendine bir bak: sen bu koca AVM'deki en şık alışverişçi ...|olmalısın|olamazsın|olmamalısın
hu|Nézz magadra: te ... a legstílusosabb vásárló ebben az egész plázában.|biztosan vagy|nem lehetsz|nem szabad lenned
E 40839 | B2 type 65 All Present Tenses | style slang | options 3 | SEL
en|Nah, he ... all the bags around the mall for two hours, bro.|has been carrying|is carrying|carries
de|Nee, er ... schon seit zwei Stunden alle Tüten durchs Einkaufszentrum, Bro.|schleppt|schleppt|schleppt
ua|Не-а, він ... всі пакети по ТЦ уже дві години, бро.|тягає|тягає|тягає
es|Qué va, él ... todas las bolsas por el centro comercial desde hace dos horas, bro.|ha estado cargando|está cargando|carga
fr|Nan, il ... tous les sacs dans le centre commercial depuis deux heures, frérot.|porte|porte|porte
tr|Yok kanka, o iki saattir bütün poşetleri AVM'de ...|taşıyor|taşıyor|taşır
hu|Á, ő már két órája ... az összes szatyrot a plázában, tesó.|cipeli|cipeli|cipeli
MEDIA 4118 | meaning: a marked area where a game is played
E 38175 | B1 type 46 Used to, Would | style ironic | options 3 | SEL
en|This court ... be a quiet meadow. Tennis is exactly what the mountain needed.|used to|would|was used to
de|Dieser Platz ... früher eine ruhige Wiese. Tennis ist genau das, was der Berg gebraucht hat.|war|wäre|war gewohnt zu sein
ua|Цей корт ... тихою галявиною. Теніс — саме те, чого потребувала гора.|колись був|був би|звик бути
es|Esta pista ... ser un prado tranquilo. El tenis es justo lo que la montaña necesitaba.|solía|solía|estaba acostumbrada a
fr|Ce court ... une prairie tranquille. Le tennis, c'est exactement ce dont la montagne avait besoin.|était autrefois|serait|était habitué à être
tr|Bu kort eskiden sessiz bir çayır ..., tenis tam da dağın ihtiyacı olan şeydi.|idi|olurdu|olmaya alışkındı
hu|Ez a pálya régen ... egy csendes rét. A tenisz pont az, ami a hegynek kellett.|volt|lett volna|hozzá volt szokva, hogy legyen
E 38185 | B2 type 56 Reported speech | style ironic | options 3 | SEL
en|The players admitted ... a slightly unusual court, with a mountain behind it.|having chosen|to choose|chose
de|Die Spieler gaben zu, einen etwas ungewöhnlichen Platz mit einem Berg dahinter ...|gewählt zu haben|zu wählen|wählten
ua|Гравці визнали, що ... трохи незвичний корт із горою позаду.|обрали|обрати|обрали
es|Los jugadores admitieron ... una pista un poco inusual, con una montaña detrás.|haber elegido|elegir|eligieron
fr|Les joueurs ont admis ... un court un peu inhabituel, avec une montagne derrière.|avoir choisi|choisir|ont choisi
tr|Oyuncular, arkasında bir dağ olan biraz alışılmadık bir kort ... itiraf ettiler.|seçtiklerini|seçmeyi|seçtiler
hu|A játékosok elismerték, hogy egy kicsit szokatlan pályát ..., egy heggyel mögötte.|választottak|választani|választottak
MEDIA 4119 | meaning: to break down or fall apart
E 37858 | B1 type 31 Past Continuous | style business | options 3 | SEL
en|Status update: the stone figure ... on the beach at 6:40 when it collapsed.|was standing|stood|has stood
de|Status-Update: Die Steinfigur ... um 6:40 Uhr am Strand, als sie einstürzte.|stand|stand|hat gestanden
ua|Оновлення статусу: кам'яна фігура ... на пляжі о 6:40, коли вона обвалилася.|стояла|стояла|стояла
es|Actualización: la figura de piedra ... en la playa a las 6:40 cuando se derrumbó.|estaba de pie|estuvo de pie|ha estado de pie
fr|Point d'étape : la figure en pierre ... sur la plage à 6 h 40 quand elle s'est effondrée.|se tenait|se tint|s'est tenue
tr|Durum güncellemesi: taş figür yıkıldığında saat 6:40'ta sahilde ...|duruyordu|durdu|durmuştur
hu|Státuszfrissítés: a kőfigura 6:40-kor ... a parton, amikor összeomlott.|állt|állt|állt
E 37866 | B2 type 65 All Present Tenses | style chill | options 3 | SEL
en|The figure ... into a heap of pebbles in the shallow water as we speak.|is collapsing|collapses|has collapsed
de|Die Figur ... gerade in diesem Moment zu einem Kieselhaufen im flachen Wasser zusammen.|fällt|fällt|fiel
ua|Фігура просто зараз ... купою камінців у мілкій воді.|розсипається|розсипається|розсипалася
es|La figura ... en un montón de guijarros en el agua poco profunda ahora mismo.|se está derrumbando|se derrumba|se ha derrumbado
fr|La figure ... en un tas de galets dans l'eau peu profonde en ce moment même.|s'effondre|s'effondre|s'est effondrée
tr|Figür şu anda sığ suda çakıl yığını halinde ...|çöküyor|çöker|çöktü
hu|A figura épp most ... egy kavicskupaccá a sekély vízben.|omlik össze|összeomlik|összeomlott
MEDIA 4121 | meaning: a series of pictures forming one part of a film
E 42619 | B1 type 31 Past Continuous | style dramatic | options 3 | SEL
en|The camera ... the scene when the whole walkway collapsed!|was filming|filmed|has filmed
de|Die Kamera ... gerade die Szene, als der ganze Steg einstürzte!|filmte|filmte|hat gefilmt
ua|Камера ... сцену, коли весь місток обвалився!|знімала|зняла|зняла
es|¡La cámara ... la escena cuando toda la pasarela se derrumbó!|estaba grabando|grabó|ha grabado
fr|La caméra ... la scène quand toute la passerelle s'est effondrée !|filmait|a filmé|a filmé
tr|Bütün geçit çöktüğünde kamera sahneyi ...!|çekiyordu|çekti|çekti
hu|A kamera épp ... a jelenetet, amikor az egész gyaloghíd összeomlott!|vette|felvette|felvette
E 42623 | B2 type 61 Relative clauses | style chill | options 3 | SEL
en|The quarry, ... was full of dust after the scene, is used for many films.|which|that|where
de|Der Steinbruch, ... nach der Szene voller Staub war, wird für viele Filme genutzt.|der|der|wo
ua|Кар'єр, ... після сцени був повний пилу, використовують для багатьох фільмів.|який|який|де
es|La cantera, ... estaba llena de polvo después de la escena, se usa en muchas películas.|que|que|donde
fr|La carrière, ... était pleine de poussière après la scène, sert pour de nombreux films.|qui|qui|où
tr|Sahneden sonra tozla dolan ... taş ocağı birçok filmde kullanılıyor.|||nerede
hu|A kőbányát, ... a jelenet után tele volt porral, sok filmhez használják.|amely|amely|ahol
MEDIA 4123 | meaning: crying, with tears running down the face
E 43992 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|Her tears ... the floor around her knees.|flooded|were flooded|flooding
de|Ihre Tränen ... den Boden um ihre Knie.|überfluteten|wurden überflutet|überflutend
ua|Її сльози ... підлогу навколо її колін.|затопили|були затоплені|затоплюючи
es|Sus lágrimas ... el suelo alrededor de sus rodillas.|inundaron|fueron inundadas|inundando
fr|Ses larmes ... le sol autour de ses genoux.|ont inondé|ont été inondées|inondant
tr|Gözyaşları dizlerinin etrafındaki yeri ...|sular altında bıraktı|sular altında bırakıldı|sular altında bırakarak
hu|A könnyei ... a padlót a térde körül.|elárasztották|el lettek árasztva|elárasztva
E 43998 | B2 type 65 All Present Tenses | style ironic | options 3 | SEL
en|Her tears ... the floor for a whole minute now. A calm reaction, obviously.|have been flooding|are flooding|flood
de|Ihre Tränen ... den Boden jetzt schon eine ganze Minute lang. Eine ruhige Reaktion, offensichtlich.|überfluten|überfluten|überfluten
ua|Її сльози ... підлогу вже цілу хвилину. Спокійна реакція, очевидно.|заливають|заливають|заливають
es|Sus lágrimas ... el suelo desde hace un minuto entero. Una reacción tranquila, obviamente.|han estado inundando|están inundando|inundan
fr|Ses larmes ... le sol depuis une minute entière. Une réaction calme, évidemment.|inondent|inondent|inondent
tr|Gözyaşları tam bir dakikadır yeri ..., sakin bir tepki tabii.|sular altında bırakıyor|sular altında bırakıyor|sular altında bırakır
hu|A könnyei már egy teljes perce ... a padlót. Nyugodt reakció, nyilván.|árasztják el|árasztják el|elárasztják
MEDIA 4125 | meaning: a platform where people stand to be seen
E 43471 | B1 type 36 Future Continuous | style chill | options 3 | SEL
en|At this time tomorrow, the elephant ... on the same stage again.|will be standing|will stand|stands
de|Morgen um diese Zeit ... der Elefant wieder auf derselben Bühne.|steht|steht|steht
ua|Завтра в цей час слон знову ... на тій самій сцені.|стоятиме|стоятиме|стоїть
es|Mañana a esta hora, el elefante ... de nuevo en el mismo escenario.|estará|estará|está
fr|Demain à cette heure-ci, l'éléphant ... de nouveau sur la même scène.|se tiendra|se tiendra|se tient
tr|Yarın bu saatte fil yine aynı sahnede ...|duruyor olacak|duracak|duruyor
hu|Holnap ilyenkor az elefánt újra ugyanazon a színpadon ...|fog állni|fog állni|áll
E 43480 | B2 type 59 Causative HAVE/GET | style flirt | options 3 | SEL
en|Honestly, you had the whole stage ... in petals in seconds. Iconic.|covered|to cover|cover
de|Ehrlich, du hattest die ganze Bühne in Sekunden ... mit Blütenblättern. Ikonisch.|bedeckt|zu bedecken|bedecken
ua|Чесно, ти за лічені секунди ... всю сцену пелюстками. Культово.|вкрив|вкрити|вкрий
es|De verdad, tú tenías todo el escenario ... de pétalos en segundos. Icónico.|cubierto|cubrir|cubre
fr|Franchement, tu as fait ... toute la scène de pétales en quelques secondes. Iconique.|couvrir|couvrir|couvre
tr|Açıkçası sen bütün sahneyi saniyeler içinde yapraklarla ..., ikonik.|kaplattın|kaplamaya|kapla
hu|Őszintén, te pillanatok alatt ... az egész színpadot szirmokkal. Ikonikus.|beboríttattad|beborítani|borítsd be
MEDIA 4130 | meaning: having a level surface with no slope
E 39378 | B1 type 49 So, Neither, Nor | style ironic | options 3 | SEL
en|The cat was delighted with the flat top, and ... the gorilla, obviously.|so was|so did|neither was
de|Die Katze war begeistert vom Flat Top, und der Gorilla ..., offensichtlich.|auch|auch|auch nicht
ua|Кішка була в захваті від флетопу, і горила ..., очевидно.|теж|теж|теж ні
es|El gato estaba encantado con el flat top, y ... el gorila, obviamente.|también lo estaba|también lo hizo|tampoco lo estaba
fr|Le chat était ravi de la coupe flat top, et le gorille ..., évidemment.|aussi|aussi|non plus
tr|Kedi düz kesimden çok memnundu, goril de ..., tabii ki.|öyleydi|öyle yaptı|değildi
hu|A macska el volt ragadtatva a flat toptól, és a gorilla ..., nyilván.|is|is|sem
E 39379 | B2 type 51 Future Perfect Simple | style slang | options 3 | SEL
en|Bro, by next week that flat top ... back into a full afro, no cap.|will have grown|will grow|grows
de|Bro, bis nächste Woche wird dieser Flat Top wieder zu einem vollen Afro ... sein, kein Witz.|gewachsen|gewachsen|gewachsen
ua|Бро, до наступного тижня цей флетоп ... назад у повне афро, без жартів.|відросте|відросте|відростає
es|Bro, para la semana que viene ese flat top ... hasta ser un afro completo, en serio.|habrá vuelto a crecer|volverá a crecer|vuelve a crecer
fr|Frérot, d'ici la semaine prochaine, ce flat top ... pour redevenir une afro complète, sans mentir.|aura repoussé|repoussera|repousse
tr|Kanka, gelecek haftaya kadar o düz kesim yeniden kocaman bir afroya ..., yemin ederim.|dönüşmüş olacak|dönüşecek|dönüşür
hu|Tesó, jövő hétre az a flat top ... egy teljes afróvá, komolyan.|visszanő|vissza fog nőni|visszanő
MEDIA 4139 | meaning: a line of travel, a way to walk along
E 41449 | B1 type 34 Present Perfect Simple or Continuos | style flirt | options 3 | SEL
en|Not gonna lie, you ... three misty paths today, and each one looked iconic.|have hiked|have been hiking|hike
de|Ehrlich gesagt, du bist heute drei neblige Wege ..., und jeder sah ikonisch aus.|gewandert|gewandert|wanderst
ua|Чесно кажучи, ти сьогодні ... три туманні стежки, і кожна виглядала культово.|пройшов|ходив|ходиш
es|No te voy a mentir, tú ... tres senderos con niebla hoy, y cada uno se veía icónico.|has recorrido|has estado recorriendo|recorres
fr|Sans mentir, tu ... trois sentiers brumeux aujourd'hui, et chacun avait l'air iconique.|as parcouru|as parcouru|parcours
tr|Yalan yok, sen bugün üç sisli patikada ... ve her biri ikonik görünüyordu.|yürüdün|yürüyorsun|yürürsün
hu|Nem kamu, te ma három ködös ösvényt ..., és mindegyik ikonikusan nézett ki.|jártál be|jártál|jársz
E 41455 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|He kept walking up the path ... the fog was getting thicker.|even though|despite|so that
de|Er lief weiter den Weg hinauf, ... der Nebel immer dichter wurde.|obwohl|trotz|damit
ua|Він ішов далі стежкою вгору, ... туман густішав.|хоча|попри|щоб
es|Él siguió subiendo por el sendero ... la niebla se hacía más espesa.|aunque|a pesar de|para que
fr|Il a continué à monter le sentier ... le brouillard s'épaississait.|même si|malgré|pour que
tr|O, sis giderek ... patikadan yukarı yürümeye devam etti.|yoğunlaşsa da|yoğunlaşmasına rağmen|yoğunlaşsın diye
hu|Ő tovább ment felfelé az ösvényen, ... a köd egyre sűrűsödött.|pedig|annak ellenére|hogy
MEDIA 4141 | meaning: to be lying flat, not standing
E 40602 | B1 type 41 Passive | style gossip | options 3 | SEL
en|Girl, apparently the photo ... while the five boys lay by the lake.|was taken|took|is taken
de|Mädel, angeblich ... das Foto gemacht, während die fünf Jungs am See lagen.|wurde|machte|wird
ua|Подруго, кажуть, фото ..., поки п'ятеро хлопців лежали біля озера.|було зроблено|зробило|роблять
es|Amiga, al parecer la foto ... mientras los cinco chicos estaban tumbados junto al lago.|fue tomada|tomó|es tomada
fr|Meuf, apparemment la photo ... pendant que les cinq garçons étaient allongés au bord du lac.|a été prise|a pris|est prise
tr|Kızım, duyduğuma göre fotoğraf, beş çocuk gölün kenarında yatarken ...|çekildi|çekti|çekiliyor
hu|Csajszi, állítólag a fotó akkor ..., amikor az öt srác a tónál feküdt.|készült|készített|készül
E 40609 | B2 type 65 All Present Tenses | style dramatic | options 3 | SEL
en|They ... here for hours, and nobody wants to move ever again!|have been lying|are lying|lie
de|Sie ... hier schon seit Stunden, und keiner will sich jemals wieder bewegen!|liegen|liegen|liegen
ua|Вони ... тут уже кілька годин, і ніхто більше ніколи не хоче рухатися!|лежать|лежать|лежать
es|¡Ellos ... aquí desde hace horas, y nadie quiere volver a moverse jamás!|han estado tumbados|están tumbados|se tumban
fr|Ils ... là depuis des heures, et personne ne veut plus jamais bouger !|sont allongés|sont allongés|s'allongent
tr|Onlar saatlerdir burada ... ve kimse bir daha asla kıpırdamak istemiyor!|yatıyor|yatıyor|yatar
hu|Ők órák óta itt ..., és senki nem akar többé megmozdulni!|fekszenek|fekszenek|fekszenek
MEDIA 4143 | meaning: a container, usually with a lid
E 37187 | B1 type 40 2. Conditional | style chill | options 3 | SEL
en|If the bin were not so deep, the raccoon ... out easily.|would climb|will climb|climbs
de|Wenn die Tonne nicht so tief wäre, ... der Waschbär leicht raus.|kletterte|klettert|klettert
ua|Якби бак не був таким глибоким, єнот легко ...|виліз би|вилізе|лізе
es|Si el contenedor no fuera tan hondo, el mapache ... fácilmente.|saldría|saldrá|sale
fr|Si la poubelle n'était pas si profonde, le raton laveur ... facilement.|sortirait|sortira|sort
tr|Çöp kutusu bu kadar derin olmasaydı, rakun kolayca ...|tırmanıp çıkardı|tırmanıp çıkacak|tırmanıp çıkar
hu|Ha a kuka nem lenne ilyen mély, a mosómedve könnyen ...|kimászna|ki fog mászni|kimászik
E 37192 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|The raccoon is sitting at ... of the bin, next to a rubbish bag.|the bottom|a bottom|bottom
de|Der Waschbär sitzt ... der Tonne, neben einem Müllsack.|am Boden|an einem Boden|an Boden
ua|Єнот сидить на ... бака, поруч із пакетом для сміття.|дні|дні|дні
es|El mapache está sentado en ... del contenedor, junto a una bolsa de basura.|el fondo|un fondo|fondo
fr|Le raton laveur est assis ... de la poubelle, à côté d'un sac poubelle.|au fond|à un fond|à fond
tr|Rakun çöp kutusunun ..., bir çöp poşetinin yanında oturuyor.|dibinde|bir dibinde|dibinde
hu|A mosómedve a kuka ... ül, egy szemeteszsák mellett.|alján|egy alján|alján
MEDIA 4145 | meaning: to drop steeply, head first
E 38678 | B1 type 36 Future Continuous | style slang | options 3 | SEL
en|Bro, this time tomorrow he ... into the sea after every ball, no cap.|will be diving|will dive|dives
de|Bro, morgen um diese Zeit ... er sich nach jedem Ball ins Meer, kein Witz.|hechtet|hechtet|hechtet
ua|Бро, завтра в цей час він ... в море за кожним м'ячем, без жартів.|пірнатиме|пірне|пірнає
es|Bro, mañana a esta hora él ... al mar detrás de cada balón, en serio.|estará tirándose|se tirará|se tira
fr|Frérot, demain à cette heure-ci il ... dans la mer après chaque ballon, sans mentir.|sera en train de plonger|plongera|plonge
tr|Kanka, yarın bu saatte o her topun peşinden denize ..., yemin ederim.|dalıyor olacak|dalacak|dalar
hu|Tesó, holnap ilyenkor ő minden labda után ... a tengerbe, komolyan.|fog vetődni|vetődik majd|vetődik
E 38686 | B2 type 51 Future Perfect Simple | style ironic | options 3 | SEL
en|By sunset, he ... into the sea about fifty times. Clearly a relaxing beach day.|will have dived|will dive|will be diving
de|Bis zum Sonnenuntergang ... er etwa fünfzigmal ins Meer. Klar, ein entspannter Strandtag.|springt|springt|springt gerade
ua|До заходу сонця він ... в море разів п'ятдесят. Явно розслаблений день на пляжі.|пірне|пірне|пірнатиме
es|Para el atardecer, él ... al mar unas cincuenta veces. Claramente un día de playa relajante.|se habrá tirado|se tirará|se estará tirando
fr|D'ici le coucher du soleil, il ... dans la mer une cinquantaine de fois. Clairement une journée plage reposante.|aura plongé|plongera|sera en train de plonger
tr|Gün batımına kadar o denize yaklaşık elli kez ..., belli ki dinlendirici bir plaj günü.|dalmış olacak|dalacak|dalıyor olacak
hu|Naplementéig ő nagyjából ötvenszer ... a tengerbe. Nyilván egy pihentető strandnap.|vetődik be|fog vetődni|fog épp vetődni
MEDIA 4146 | meaning: extremely tired, with no energy left
E 39018 | B1 type 31 Past Continuous | style clueless | options 3 | SEL
en|He ... into the sea when he fell down, so he was exhausted in the sea.|was walking|walked|has walked
de|Er ... gerade ins Meer, als er hinfiel, also war er im Meer erschöpft.|ging|ging|ist gegangen
ua|Він ... в море, коли впав, тож він був виснажений у морі.|ішов|пішов|пішов
es|Él ... hacia el mar cuando se cayó, así que estaba agotado en el mar.|estaba caminando|caminó|ha caminado
fr|Il ... vers la mer quand il est tombé, donc il était épuisé dans la mer.|marchait|a marché|a marché
tr|O düştüğünde denize doğru ..., yani denizde bitkin düşmüştü.|yürüyordu|yürüdü|yürüdü
hu|Ő a tenger felé ..., amikor elesett, szóval a tengerben volt kimerült.|sétált|sétált|sétált
E 39028 | B2 type 67 All Future Tenses | style business | options 3 | SEL
en|By the 9 a.m. meeting, he ... from being this exhausted.|will have recovered|will recover|recovers
de|Bis zum Meeting um 9 Uhr wird er sich von dieser Erschöpfung ...|erholt haben|erholen|erholt
ua|До наради о 9:00 він ... після такого виснаження.|відновиться|відновиться|відновлюється
es|Para la reunión de las 9:00, él ya se ... de este agotamiento.|habrá recuperado|recuperará|recupera
fr|D'ici la réunion de 9 h, il se ... de cet épuisement.|sera remis|remettra|remet
tr|Saat 9'daki toplantıya kadar o, bu bitkinlikten ...|kurtulmuş olacak|kurtulacak|kurtulur
hu|A 9 órás meetingre ő ... ebből a kimerültségből.|rendbe jön|rendbe fog jönni|rendbe jön
MEDIA 4148 | meaning: something nice you want but do not need
E 40771 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|The man ... his luxury car for twenty minutes.|has been admiring|is admiring|admires
de|Der Mann ... sein Luxusauto schon seit zwanzig Minuten.|bewundert|bewundert|bewundert
ua|Чоловік ... своїм розкішним авто вже двадцять хвилин.|милується|милується|милується
es|El hombre ... su coche de lujo desde hace veinte minutos.|ha estado admirando|está admirando|admira
fr|L'homme ... sa voiture de luxe depuis vingt minutes.|admire|admire|admire
tr|Adam yirmi dakikadır lüks arabasını ...|hayranlıkla izliyor|hayranlıkla izliyor|hayranlıkla izler
hu|A férfi húsz perce ... a luxusautóját.|csodálja|csodálja|csodálja
MEDIA 4149 | meaning: a creature of huge size
E 39804 | B1 type 48 Question tags | style slang | options 3 | SEL
en|Yo bro, that giant wasn't asleep, ...?|was it?|wasn't it?|did it?
de|Yo Bro, dieser Riese hat nicht geschlafen, ...?|oder|oder|oder
ua|Йо, бро, той велетень не спав, ...?|так|так|так
es|Ey bro, ese gigante no estaba dormido, ¿...?|verdad|verdad|verdad
fr|Yo frérot, ce géant ne dormait pas, ... ?|hein|hein|hein
tr|Kanka, o dev uyumuyordu, ...?|değil mi|değil mi|değil mi
hu|Tesó, az az óriás nem aludt, ...?|ugye|ugye|ugye
E 39809 | B2 type 53 3. Conditional | style chill | options 3 | SEL
en|If the little animal hadn't fallen, it ... on the giant's head.|wouldn't have landed|won't land|didn't land
de|Wenn das kleine Tier nicht gefallen wäre, ... es nicht auf dem Kopf des Riesen gelandet.|wäre|wird|ist
ua|Якби маленька тваринка не впала, вона ... на голову велетня.|не приземлилася б|не приземлиться|не приземлилася
