MEDIA 4222 | meaning: to signal with your hand
E 44658 | B1 type 31 Past Continuous | style slang | options 3 | SEL
fr|Franchement, tu t'es faufilé dans cette brèche comme ... expert.|un|l'|un
tr|Açıkçası, sen o boşluktan ... uzman gibi sıyrıldın.|bir||bir
hu|Őszintén, te úgy préselted át magad azon a résen, mint ... profi.|egy|a|egy
MEDIA 4306 | meaning: a place where persons are locked up for punishment
E 41860 | B1 type 45 Reported speech | style business | options 3 | SEL
en|The officer said 12 men ... from the prison that day, as the report showed.|would be released|will be released|are released
de|Der Beamte sagte, dass an diesem Tag 12 Männer aus dem Gefängnis entlassen ..., wie der Bericht zeigte.|würden|werden|werden
ua|Офіцер сказав, що того дня з в'язниці ... 12 чоловіків, як показав звіт.|звільнять|звільнять|звільняють
es|El funcionario dijo que ese día ... 12 hombres de la prisión, como mostraba el informe.|serían liberados|serán liberados|son liberados
fr|Le gardien a dit que 12 hommes ... de prison ce jour-là, comme le montrait le rapport.|seraient libérés|seront libérés|sont libérés
tr|Görevli, raporda görüldüğü gibi o gün cezaevinden 12 adamın ... söyledi.|serbest bırakılacağını|serbest bırakılacağını|serbest bırakıldığını
hu|A tiszt azt mondta, hogy aznap 12 férfit ... a börtönből, ahogy a jelentés is mutatta.|engednek szabadon|fognak szabadon engedni|engednek szabadon
E 41865 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Listen, I heard he ... in prison for ten years before they let him go.|had been|has been|was being
de|Hör mal, ich hab gehört, dass er zehn Jahre im Gefängnis ..., bevor sie ihn rausgelassen haben.|gewesen war|gewesen ist|war
ua|Слухай, я чула, що він ... у в'язниці десять років, перш ніж його відпустили.|був|є|був
es|Oye, yo he oído que él ... en la cárcel diez años antes de que lo soltaran.|había estado|ha estado|estaba siendo
fr|Écoute, j'ai entendu dire qu'il ... en prison pendant dix ans avant qu'on le laisse sortir.|avait été|a été|était
tr|Dinle, ben duydum ki o, bırakılmadan önce on yıl hapiste ...|kalmıştı|kalıyor|kalıyordu
hu|Figyelj, én úgy hallottam, hogy ő tíz évig ... börtönben, mielőtt kiengedték.|volt|van|volt
MEDIA 4307 | meaning: a long strip of cloth or paper with a message
E 37082 | B1 type 34 Present Perfect Simple or Continuos | style chill | options 3 | SEL
en|The banners ... above the terrace since the singing started.|have been streaming|streamed|are streaming
de|Die Fahnen ... über der Tribüne, seit der Gesang begonnen hat.|wehen|wehten|wehen
ua|Банери ... над трибуною, відколи почався спів.|майорять|майоріли|майорять
es|Las pancartas ... sobre la grada desde que empezó el canto.|han estado ondeando|ondearon|están ondeando
fr|Les banderoles ... au-dessus de la tribune depuis que les chants ont commencé.|flottent|ont flotté|flottent
tr|Şarkı başladığından beri pankartlar tribünün üzerinde ...|dalgalanıyor|dalgalandı|dalgalanıyor
hu|A molinók azóta ... a lelátó felett, hogy elkezdődött az éneklés.|lobognak|lobogtak|lobognak
MEDIA 4308 | meaning: a person who backs a team or politician
E 43814 | B1 type 33 Past Simple or Continuos | style chill | options 3 | SEL
en|While the supporters ... their club song, the floodlights came on.|were singing|sang|have sung
de|Während die Fans ihr Vereinslied ..., gingen die Flutlichter an.|sangen|sangen|gesungen haben
ua|Поки вболівальники ... свій клубний гімн, увімкнулися прожектори.|співали|заспівали|заспівали
es|Mientras los aficionados ... su himno del club, se encendieron los focos.|cantaban|cantaron|han cantado
fr|Pendant que les supporters ... leur chant du club, les projecteurs se sont allumés.|chantaient|ont chanté|ont chanté
tr|Taraftarlar kulüp marşını ..., projektörler yandı.|söylerken|söyleyince|söylemişken
hu|Miközben a szurkolók a klubdalukat ..., felgyulladtak a reflektorok.|énekelték|elénekelték|elénekelték
MEDIA 4309 | meaning: a song of loyalty to a nation or school
E 36717 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|When the anthem ... before a match, the players put their hands on their chests.|plays|played|will play
de|Wenn vor einem Spiel die Hymne ..., legen die Spielerinnen die Hände auf die Brust.|läuft|lief|laufen wird
ua|Коли перед матчем ... гімн, гравчині кладуть руки на груди.|лунає|лунав|лунатиме
es|Cuando ... el himno antes de un partido, las jugadoras se ponen la mano en el pecho.|suena|sonó|sonará
fr|Quand l'hymne ... avant un match, les joueuses posent la main sur leur poitrine.|retentit|a retenti|retentira
tr|Maçtan önce marş ..., oyuncular ellerini göğüslerine koyar.|çalınca|çaldığında|çalacağı zaman
hu|Amikor meccs előtt ... a himnusz, a játékosok a mellkasukra teszik a kezüket.|szól|szólt|szólni fog
MEDIA 4310 | meaning: driven by emotion rather than reason
E 38910 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|She ... be so emotional before big matches, but tonight she cries.|didn't use to|wouldn't|wasn't used to
de|Sie ... vor großen Spielen so emotional, aber heute Abend weint sie.|war früher nicht|wäre nicht|war es nicht gewohnt, zu sein
ua|Вона ... такою емоційною перед великими матчами, але сьогодні ввечері плаче.|раніше не була|не була б|не звикла бути
es|Ella ... ser tan emotiva antes de los grandes partidos, pero esta noche llora.|no solía|no iba a|no estaba acostumbrada a
fr|Elle ... aussi émotive avant les grands matchs, mais ce soir, elle pleure.|n'était pas autrefois|ne serait pas|n'était pas habituée à être
tr|O, büyük maçlardan önce bu kadar duygusal ..., ama bu gece ağlıyor.|olmazdı|olmazdı|olmaya alışkın değildi
hu|Ő ... ilyen érzelmes a nagy meccsek előtt, de ma este sír.|régen nem volt|nem lenne|nem volt hozzászokva, hogy
E 38915 | B2 type 51 Future Perfect Simple | style flirt | options 3 | SEL
en|Not gonna lie, by the final whistle you ... every emotional fan in this stadium.|will have won over|will win over|will be winning over
de|Ganz ehrlich, bis zum Schlusspfiff wirst du jeden emotionalen Fan in diesem Stadion ...|erobert haben|erobern|am Erobern sein
ua|Не буду брехати, до фінального свистка ти ... кожного емоційного фаната на цьому стадіоні.|завоюєш|завоюєш|завойовуватимеш
es|No voy a mentir, para el pitido final tú ... a todos los aficionados emotivos de este estadio.|habrás conquistado|conquistarás|estarás conquistando
fr|Je vais pas mentir, d'ici le coup de sifflet final, tu ... chaque supporter ému de ce stade.|auras conquis|conquerras|seras en train de conquérir
tr|Yalan yok, maç sonu düdüğüne kadar sen bu stattaki her duygusal taraftarın gönlünü ...|kazanmış olacaksın|kazanacaksın|kazanıyor olacaksın
hu|Nem hazudok, a lefújásig te ... ennek a stadionnak minden érzelmes szurkolóját.|meghódítod|meg fogod hódítani|hódítani fogod
MEDIA 4312 | meaning: producing sound of great volume
E 40729 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|The man ... in a loud voice when the sky turned violet.|was calling|called|has called
de|Der Mann ... gerade mit lauter Stimme, als der Himmel violett wurde.|rief|rief|hat gerufen
ua|Чоловік ... гучним голосом, коли небо стало фіолетовим.|кликав|покликав|покликав
es|El hombre ... en voz alta cuando el cielo se volvió violeta.|estaba llamando|llamó|ha llamado
fr|L'homme ... d'une voix forte quand le ciel est devenu violet.|appelait|a appelé|a appelé
tr|Gökyüzü mora döndüğünde adam yüksek sesle ...|sesleniyordu|seslendi|seslendi
hu|A férfi éppen hangosan ..., amikor az ég lilára változott.|kiabált|kiáltott|kiáltott
MEDIA 4313 | meaning: a building with a bar where people drink
E 41929 | B1 type 42 Passive or Active | style dramatic | options 3 | SEL
en|The man in the yellow jacket ... the microphone and destroyed the pub's silence!|took|was taken|taking
de|Der Mann in der gelben Jacke ... das Mikrofon und zerstörte die Stille im Pub!|nahm|wurde genommen|nehmend
ua|Чоловік у жовтій куртці ... мікрофон і зруйнував тишу в пабі!|взяв|був узятий|беручи
es|¡El hombre de la chaqueta amarilla ... el micrófono y destrozó el silencio del pub!|cogió|fue cogido|cogiendo
fr|L'homme à la veste jaune ... le micro et a détruit le silence du pub !|a pris|a été pris|prenant
tr|Sarı ceketli adam mikrofonu ... ve pubın sessizliğini yerle bir etti!|aldı|alındı|alarak
hu|A sárga kabátos férfi ... a mikrofont, és szétrombolta a kocsma csendjét!|elvette|elvették|elvéve
MEDIA 4318 | meaning: showing approval by clapping the hands
E 36760 | B2 type 64 Future in past | style nerd | options 3 | SEL
en|The man knew the applause ... long, as typically occurs after a strong performance.|would be|will be|is
de|Der Mann wusste, dass der Applaus lang ..., wie es typischerweise nach einer starken Darbietung vorkommt.|sein würde|sein wird|ist
ua|Чоловік знав, що оплески ... довгими, як це типово буває після сильного виступу.|будуть|будуть|є
es|El hombre sabía que el aplauso ... largo, como ocurre típicamente tras una actuación potente.|sería|será|es
fr|L'homme savait que les applaudissements ... longs, comme c'est typiquement le cas après une performance forte.|seraient|seront|sont
tr|Adam, güçlü bir performanstan sonra tipik olarak olduğu gibi alkışın uzun ... biliyordu.|olacağını|olacağını|olduğunu
hu|A férfi tudta, hogy a taps hosszú ..., ahogy az egy erős előadás után jellemzően lenni szokott.|lesz|lesz|
MEDIA 4319 | meaning: to combine things into one
E 37241 | B1 type 41 Passive | style nerd | options 3 | SEL
en|The cream stripes ... into the skin by the artist, and an even tone was observed.|were blended|blended|were blending
de|Die Cremestreifen ... von der Visagistin in die Haut eingearbeitet, und ein gleichmäßiger Teint wurde beobachtet.|wurden|arbeiteten|wurden gerade
ua|Смуги крему ... візажисткою в шкіру, і було зафіксовано рівний тон.|були розтушовані|розтушували|розтушовувалися
es|Las franjas de crema ... en la piel por la maquilladora, y se observó un tono uniforme.|fueron difuminadas|difuminaron|estaban difuminando
fr|Les bandes de crème ... dans la peau par la maquilleuse, et un teint uniforme a été observé.|ont été estompées|ont estompé|estompaient
tr|Krem şeritleri makyöz tarafından cilde ... ve eşit bir ton gözlemlendi.|yedirildi|yedirdi|yediriyordu
hu|A krémcsíkokat a sminkes ... a bőrbe, és egyenletes tónust figyeltek meg.|bedolgozta|bedolgozták|éppen bedolgozta
E 37244 | B2 type 67 All Future Tenses | style dramatic | options 3 | SEL
en|By the end of this session the artist ... the last stripe, or it is a disaster!|will have blended|will blend|blends
de|Bis zum Ende dieser Sitzung hat die Visagistin den letzten Streifen ..., sonst ist es eine Katastrophe!|eingearbeitet|einarbeiten|arbeitet ein
ua|До кінця цього сеансу візажистка ... останню смугу, інакше це катастрофа!|розтушує|розтушує|розтушовує
es|¡Para el final de esta sesión la maquilladora ... la última franja, o es un desastre!|habrá difuminado|difuminará|difumina
fr|D'ici la fin de la séance, la maquilleuse ... la dernière bande, sinon c'est la catastrophe !|aura estompé|estompera|estompe
tr|Bu seansın sonuna kadar makyöz son şeridi ..., yoksa felaket!|yedirmiş olacak|yedirecek|yedirir
hu|Ennek az ülésnek a végére a sminkes ... az utolsó csíkot is, különben katasztrófa!|bedolgozza|be fogja dolgozni|dolgozza be
MEDIA 4321 | meaning: a representation of something, often smaller
E 41067 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|She ... working with tiny models, so small towers do not scare her.|is used to|used to|would
de|Sie ... es gewohnt, mit winzigen Modellen zu arbeiten, also machen ihr kleine Türme keine Angst.|ist|war früher|würde
ua|Вона ... працювати з крихітними макетами, тож маленькі вежі її не лякають.|звикла|колись|б
es|Ella ... trabajar con maquetas diminutas, así que las torres pequeñas no la asustan.|está acostumbrada a|solía|querría
fr|Elle ... de travailler avec de minuscules maquettes, donc les petites tours ne lui font pas peur.|a l'habitude|avait l'habitude|voudrait
tr|O, minicik maketlerle çalışmaya ..., bu yüzden küçük kuleler onu korkutmuyor.|alışkın|alışkındı|alışırdı
hu|Ő ... apró makettekkel dolgozni, így a kis tornyok nem ijesztik meg.|szokott|régen szokott|szokna
E 41071 | B2 type 50 Past Perfect Continuous | style dramatic | options 3 | SEL
en|Literally for months, she ... on the model before a real tower was built!|had been working|has been working|was working
de|Buchstäblich monatelang ... sie an dem Modell gearbeitet, bevor ein echter Turm gebaut wurde!|hatte|hat|war
ua|Буквально місяцями вона ... над макетом, перш ніж збудували справжню вежу!|працювала|працює|працювала
es|¡Literalmente durante meses ella ... en la maqueta antes de que se construyera una torre de verdad!|había estado trabajando|ha estado trabajando|estaba trabajando
fr|Littéralement pendant des mois, elle ... sur la maquette avant qu'une vraie tour soit construite !|avait travaillé|a travaillé|travaillait
tr|Resmen aylarca o, gerçek bir kule inşa edilmeden önce maket üzerinde ...!|çalışmıştı|çalışıyor|çalışıyordu
hu|Szó szerint hónapokig ő ... a maketten, mielőtt felépült egy igazi torony!|dolgozott|dolgozik|dolgozott
MEDIA 4324 | meaning: unusually great in size or extent
E 44492 | B2 type 57 Modals in past | style gossip | options 3 | SEL
en|Girl, he told me the glacier was vast; he ... felt so tiny standing there.|must have|should have|can't have
de|Mädel, er hat mir erzählt, der Gletscher war riesig; er ... sich dort so winzig gefühlt haben.|muss|sollte|kann nicht
ua|Подруго, він сказав мені, що льодовик був величезний; він ... почуватися там таким крихітним.|мусив|мав|не міг
es|Tía, él me dijo que el glaciar era inmenso; ... sentido tan pequeño allí de pie.|debió de haberse|debería haberse|no puede haberse
fr|Meuf, il m'a dit que le glacier était immense ; il ... se sentir tout petit là-bas.|a dû|aurait dû|n'a pas pu
tr|Kızım, o bana buzulun devasa olduğunu söyledi; orada dururken kendini çok küçük ...|hissetmiş olmalı|hissetmeliydi|hissetmiş olamaz
hu|Csajszi, ő azt mondta nekem, hogy a gleccser hatalmas volt; ott állva ... magát nagyon kicsinek.|biztosan érezte|kellett volna éreznie|nem érezhette
MEDIA 4325 | meaning: cows and bulls as a group of farm animals
E 37655 | B1 type 35 Past Perfect Simple | style chill | options 3 | SEL
en|By the time the horse reared up, the cattle ... across the plain.|had moved|have moved|move
de|Als das Pferd sich aufbäumte, ... das Vieh schon über die Ebene gezogen.|war|ist|zieht
ua|Поки кінь став дибки, худоба вже ... рівниною.|перейшла|перейшла|переходить
es|Para cuando el caballo se encabritó, el ganado ya ... por la llanura.|se había desplazado|se ha desplazado|se desplaza
fr|Au moment où le cheval s'est cabré, le bétail ... à travers la plaine.|s'était déplacé|s'est déplacé|se déplace
tr|At şahlandığında sığırlar ovanın öbür yanına çoktan ...|geçmişti|geçti|geçer
hu|Mire a ló felágaskodott, a marhák már ... a síkságon.|átvonultak|átvonultak|vonulnak át
MEDIA 4327 | meaning: cooking meat outdoors on a grill over hot coals
E 37090 | B1 type 45 Reported speech | style clueless | options 3 | SEL
en|He told us the barbecue ... outside because it was not inside.|was|were|be
de|Er hat uns gesagt, das Barbecue ... draußen, weil es nicht drinnen war.|sei|seien|sein
ua|Він сказав нам, що барбекю ... надворі, бо воно було не всередині.|було|були|бути
es|Él nos dijo que la barbacoa ... fuera porque no estaba dentro.|estaba|estaban|estar
fr|Il nous a dit que le barbecue ... dehors parce qu'il n'était pas dedans.|était|étaient|être
tr|O bize barbekünün içeride olmadığı için dışarıda ... söyledi.|olduğunu|olduklarını|olmak
hu|Ő azt mondta nekünk, hogy a barbecue kint ..., mert nem bent volt.|van|vannak|lenni
E 37095 | B2 type 66 All Past Tenses | style flirt | options 3 | SEL
en|Respect, you ... ribs for hours before the barbecue guests started cheering.|had been grilling|have been grilling|are grilling
de|Respekt, du ... stundenlang Rippchen gegrillt, bevor die Barbecue-Gäste zu jubeln anfingen.|hattest|hast|bist
ua|Респект, ти ... реберця годинами, поки гості барбекю не почали радіти.|смажив|смажиш|смажиш
es|Respeto, tú ... costillas durante horas antes de que los invitados de la barbacoa empezaran a aclamar.|habías estado asando|has estado asando|estás asando
fr|Respect, tu ... des côtes pendant des heures avant que les invités du barbecue se mettent à applaudir.|avais grillé|as grillé|grilles
tr|Saygı, sen barbekü misafirleri tezahürat yapmaya başlamadan önce saatlerce kaburga ...|ızgara yapmıştın|ızgara yapıyorsun|ızgara yapıyorsun
hu|Respekt, te órákig ... a bordákat, mielőtt a barbecue vendégei ujjongani kezdtek.|grillezted|grillezed|grillezed
MEDIA 4328 | meaning: a thick heavy fabric floor covering
E 42545 | B1 type 34 Present Perfect Simple or Continuos | style chill | options 3 | SEL
en|She ... one cushion onto the floor beside the rug, and the other is still in the air.|has thrown|has been throwing|throws
de|Sie hat ein Kissen neben den Teppich auf den Boden ..., und das andere ist noch in der Luft.|geworfen|geworfen|wirft
ua|Вона ... одну подушку на підлогу біля килима, а друга ще в повітрі.|кинула|кидала|кидає
es|Ella ... un cojín al suelo junto a la alfombra, y el otro sigue en el aire.|ha tirado|ha estado tirando|tira
fr|Elle ... un coussin par terre à côté du tapis, et l'autre est encore en l'air.|a lancé|lance depuis|lance
tr|O, bir yastığı halının yanına yere ... ve diğeri hâlâ havada.|attı|atıyor|atar
hu|Ő ... az egyik párnát a földre a szőnyeg mellé, a másik pedig még a levegőben van.|ledobta|dobálta|dobja
MEDIA 4330 | meaning: to march in a procession
E 40868 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|The soldiers ... across the parade ground since early morning.|have been marching|are marching|march
de|Die Soldaten ... seit dem frühen Morgen über den Exerzierplatz.|marschieren|marschieren|marschieren
ua|Солдати ... плацом з самого ранку.|марширують|марширують|марширують
  ~soft: length ratio 0.53
es|Los soldados ... por el patio de armas desde primera hora de la mañana.|han estado marchando|están marchando|marchan
fr|Les soldats ... sur le terrain de parade depuis tôt ce matin.|défilent|défilent|défilent
tr|Askerler sabahın erken saatlerinden beri tören alanında uygun adım ...|yürüyor|yürüyor|yürür
hu|A katonák kora reggel óta ... a díszszemle terén.|masíroznak|masíroznak|masíroznak
MEDIA 4332 | meaning: to take someone into custody
E 36842 | B1 type 31 Past Continuous | style gossip | options 3 | SEL
en|Girl, apparently he ... a bag of fake gems when the officer arrested him.|was carrying|carried|has carried
de|Mädel, angeblich ... er gerade eine Tasche mit falschen Edelsteinen, als der Polizist ihn festnahm.|trug|trug|hat getragen
ua|Подруго, кажуть, він ... сумку фальшивих коштовностей, коли поліцейський його затримав.|ніс|поніс|поніс
es|Tía, al parecer él ... una bolsa de joyas falsas cuando el policía lo detuvo.|llevaba|llevó|ha llevado
fr|Meuf, apparemment il ... un sac de faux bijoux quand le policier l'a arrêté.|portait|a porté|a porté
tr|Kızım, duyduğuma göre polis onu tutukladığında o sahte mücevherlerle dolu bir çanta ...|taşıyormuş|taşıdı|taşıdı
hu|Csajszi, állítólag ő épp egy zsák hamis drágakövet ..., amikor a rendőr letartóztatta.|cipelt|cipelt|cipelt
E 36845 | B2 type 53 3. Conditional | style chill | options 3 | SEL
en|If the bag had been closed, no loot ... out during the arrest.|would have fallen|will fall|fell
de|Wenn die Tasche zu gewesen wäre, ... bei der Festnahme keine Beute herausgefallen.|wäre|wird|fiel
ua|Якби сумка була закрита, під час арешту ... жодна здобич.|не випала б|не випаде|не випала
es|Si la bolsa hubiera estado cerrada, no ... nada del botín durante la detención.|se habría caído|se caerá|se cayó
fr|Si le sac avait été fermé, aucun butin ne ... pendant l'arrestation.|serait tombé|tombera|est tombé
tr|Çanta kapalı olsaydı, tutuklama sırasında hiç ganimet dışarı ...|düşmezdi|düşmeyecek|düşmedi
hu|Ha a táska zárva lett volna, a letartóztatás közben semmi zsákmány nem ... ki.|esett volna|fog esni|esett
MEDIA 4333 | meaning: a raised flat surface
E 41665 | B2 type 63 Advanced linkers | style dramatic | options 3 | SEL
en|... her heavy suitcase, she raced down the platform. Absolutely unstoppable!|Despite|Although|In case of
de|... ihres schweren Koffers raste sie den Bahnsteig entlang. Absolut unaufhaltsam!|Trotz|Obwohl|Im Falle
ua|... свою важку валізу, вона помчала пероном. Абсолютно нестримна!|Попри|Хоча|У разі
es|... su pesada maleta, ella corrió por el andén. ¡Absolutamente imparable!|A pesar de|Aunque|En caso de
fr|... sa lourde valise, elle a foncé sur le quai. Absolument inarrêtable !|Malgré|Bien que|En cas de
tr|Ağır bavuluna ..., o perondan aşağı koştu. Kesinlikle durdurulamaz!|rağmen|karşın|halinde
hu|A nehéz bőröndje ..., ő végigszáguldott a peronon. Abszolút megállíthatatlan!|ellenére|bár|esetén
MEDIA 4334 | meaning: a workplace for practising or teaching an art
E 43724 | B1 type 35 Past Perfect Simple | style chill | options 3 | SEL
en|By the time the light faded, she ... three canvases in her studio.|had painted|has painted|paints
de|Als das Licht schwand, ... sie in ihrem Atelier drei Leinwände bemalt.|hatte|hat|malt
ua|Поки світло згасло, вона ... у своїй студії три полотна.|намалювала|намалювала|малює
es|Para cuando se fue la luz, ella ... tres lienzos en su estudio.|había pintado|ha pintado|pinta
fr|Au moment où la lumière a baissé, elle ... trois toiles dans son atelier.|avait peint|a peint|peint
tr|Işık solduğunda o, atölyesinde üç tuval ...|boyamıştı|boyadı|boyar
hu|Mire elhalványult a fény, ő ... három vásznat a műtermében.|megfestett|megfestett|fest
MEDIA 4336 | meaning: a manual explaining how to use a device
E 40273 | B1 type 43 Modal verbs Probability | style flirt | options 3 | SEL
en|Kind of impressed: you ... be amazing with instructions; the wardrobe went up so fast.|must|can't|shouldn't
de|Irgendwie beeindruckt: Du ... echt gut mit Anleitungen sein; der Schrank stand so schnell.|musst|kannst nicht|solltest nicht
ua|Трохи вражена: ти ... бути неймовірним з інструкціями; шафа постала так швидко.|мусиш|не можеш|не повинен
es|Un poco impresionada: tú ... de ser genial con las instrucciones; el armario quedó montado rapidísimo.|debes|no puedes|no deberías
fr|Plutôt impressionnée : tu ... être génial avec les notices ; l'armoire a été montée tellement vite.|dois|ne peux pas|ne devrais pas
tr|Biraz etkilendim: sen talimatlar konusunda harika ...; dolap o kadar hızlı kuruldu ki.|olmalısın|olamazsın|olmamalısın
hu|Kicsit le vagyok nyűgözve: te ... az útmutatókkal; a szekrény olyan gyorsan összeállt.|biztos zseniális vagy|nem lehetsz zseniális|nem kéne zseniálisnak lenned
E 40276 | B2 type 67 All Future Tenses | style chill | options 3 | SEL
en|By this evening, they ... every step in the instructions.|will have followed|will follow|follow
de|Bis heute Abend ... sie jeden Schritt der Anleitung befolgt.|haben|werden|befolgen
ua|До сьогоднішнього вечора вони ... кожного кроку в інструкції.|дотримаються|дотримаються|дотримуються
es|Para esta noche, ellos ... cada paso de las instrucciones.|habrán seguido|seguirán|siguen
fr|D'ici ce soir, ils ... chaque étape de la notice.|auront suivi|suivront|suivent
tr|Bu akşama kadar onlar talimatlardaki her adımı ...|uygulamış olacaklar|uygulayacaklar|uyguluyorlar
hu|Ma estére ők az útmutató minden lépését ...|végigkövetik|követni fogják|követik
MEDIA 4340 | meaning: strips of potato fried in deep fat
E 37795 | B1 type 44 Relative clauses | style gossip | options 3 | SEL
en|Bestie, he told me the gull ... stole his chips is back with friends.|that|whose|where
de|Bestie, er hat mir erzählt, dass die Möwe, ... seine Pommes geklaut hat, mit Freunden zurück ist.|die|deren|wo
ua|Бесті, він сказав мені, що чайка, ... вкрала його картоплю фрі, повернулася з друзями.|яка|чия|де
es|Bestie, él me dijo que la gaviota ... le robó las patatas fritas ha vuelto con amigas.|que|cuya|donde
fr|Bestie, il m'a dit que la mouette ... a volé ses frites est revenue avec ses potes.|qui|dont|où
tr|Kanka, o bana ... patateslerini çalan martının arkadaşlarıyla geri döndüğünü söyledi.|||
hu|Bestie, ő azt mondta nekem, hogy a sirály, ... ellopta a sült krumpliját, visszajött a barátaival.|amelyik|akinek a|ahol
E 37797 | B2 type 62 Articles advanced | style flirt | options 3 | SEL
en|Honestly, you eat chips by ... like a true local.|the sea|a sea|sea
de|Ehrlich, du isst Pommes ... wie ein echter Einheimischer.|am Meer|an einem Meer|an Meer
ua|Чесно, ти їси картоплю фрі біля ..., як справжній місцевий.|моря|моря|моря
es|Sinceramente, tú comes patatas fritas junto ... como un auténtico local.|al mar|a un mar|a mar
fr|Franchement, tu manges des frites au bord de ... comme un vrai local.|la mer|une mer|mer
tr|Açıkçası, sen gerçek bir yerli gibi ... kenarında patates kızartması yiyorsun.|deniz|bir deniz|deniz
hu|Őszintén, te úgy eszed a sült krumplit ... mellett, mint egy igazi helyi.|a tenger|egy tenger|tenger
MEDIA 4341 | meaning: to run away quickly
E 39390 | B1 type 45 Reported speech | style clueless | options 3 | SEL
en|He said he ... from the gulls because he was running away from them.|had fled|has fled|flees
de|Er sagte, er ... vor den Möwen geflohen, weil er vor ihnen weggerannt sei.|sei|ist|flieht
ua|Він сказав, що ... від чайок, бо тікав від них.|утік|утік|тікає
es|Él dijo que ... de las gaviotas porque estaba huyendo de ellas.|había huido|ha huido|huye
fr|Il a dit qu'il ... les mouettes parce qu'il était en train de leur échapper.|avait fui|a fui|fuit
tr|O, onlardan kaçtığı için martılardan ... söyledi.|kaçmış olduğunu|kaçtığını|kaçtığını
hu|Ő azt mondta, hogy ... a sirályok elől, mert menekült előlük.|elmenekült|elmenekült|menekül
E 39397 | B2 type 66 All Past Tenses | style ironic | options 3 | SEL
en|He ... his chips for a minute before he had to flee. Flawless lunch, obviously.|had been eating|has been eating|eats
de|Er ... seine Pommes eine Minute lang gegessen, bevor er fliehen musste. Makelloses Mittagessen, natürlich.|hatte|hat|isst
ua|Він ... свою картоплю фрі хвилину, перш ніж мусив тікати. Бездоганний обід, звісно.|їв|їсть|їсть
es|Él ... sus patatas fritas durante un minuto antes de tener que huir. Un almuerzo impecable, obviamente.|había estado comiendo|ha estado comiendo|come
fr|Il ... ses frites pendant une minute avant de devoir fuir. Déjeuner impeccable, évidemment.|avait mangé|a mangé|mange
tr|O, kaçmak zorunda kalmadan önce bir dakika boyunca patateslerini ...; kusursuz bir öğle yemeği, tabii ki.|yemişti|yiyor|yer
hu|Ő egy percig ... a sült krumpliját, mielőtt menekülnie kellett. Hibátlan ebéd, nyilvánvalóan.|ette|eszi|eszi
MEDIA 4343 | meaning: the sound of laughing
E 40477 | B1 type 34 Present Perfect Simple or Continuos | style chill | options 3 | SEL
en|Their laughter ... the playroom for ten minutes now, and it is still going.|has been filling|has filled|is filling
de|Ihr Lachen ... das Spielzimmer jetzt schon seit zehn Minuten, und es hört nicht auf.|erfüllt|hat erfüllt|erfüllt
ua|Їхній сміх ... ігрову кімнату вже десять хвилин, і досі не стихає.|наповнює|наповнив|наповнює
es|Su risa ... la sala de juegos desde hace diez minutos, y sigue sin parar.|llena|ha llenado|está llenando
fr|Leur rire ... la salle de jeux depuis dix minutes maintenant, et ça continue.|remplit|a rempli|remplit
tr|Kahkahaları on dakikadır oyun odasını ... ve hâlâ devam ediyor.|dolduruyor|doldurdu|dolduruyor
hu|A nevetésük már tíz perce ... a játszószobát, és még mindig tart.|betölti|betöltötte|betölti
MEDIA 4344 | meaning: a warm feeling of liking someone
E 36592 | B1 type 36 Future Continuous | style chill | options 3 | SEL
en|This time tomorrow, the two women ... their affection with another big hug.|will be showing|will show|show
de|Morgen um diese Zeit ... die beiden Frauen ihre Zuneigung mit einer weiteren großen Umarmung.|zeigen|zeigen|zeigen
ua|Завтра в цей час ці дві жінки ... свою прихильність ще одними великими обіймами.|проявлятимуть|проявлять|проявляють
es|Mañana a esta hora, las dos mujeres ... su cariño con otro gran abrazo.|estarán mostrando|mostrarán|muestran
fr|Demain à la même heure, les deux femmes ... leur affection par un autre gros câlin.|seront en train de montrer|montreront|montrent
tr|Yarın bu saatte iki kadın büyük bir sarılmayla daha sevgilerini ...|gösteriyor olacak|gösterecek|gösteriyor
hu|Holnap ilyenkor a két nő egy újabb nagy öleléssel ... a szeretetét.|fogja kimutatni|mutatja ki|mutatja ki
MEDIA 4346 | meaning: to jump lightly
E 40086 | B1 type 35 Past Perfect Simple | style chill | options 3 | SEL
en|By the time the man looked back, the kangaroos ... past him.|had hopped|have hopped|hop
de|Als der Mann sich umsah, ... die Kängurus schon an ihm vorbeigehüpft.|waren|sind|hüpfen
ua|Поки чоловік озирнувся, кенгуру вже ... повз нього.|пострибали|пострибали|стрибають
es|Para cuando el hombre miró atrás, los canguros ya ... junto a él.|habían pasado saltando|han pasado saltando|pasan saltando
fr|Au moment où l'homme s'est retourné, les kangourous ... devant lui en sautant.|étaient passés|sont passés|passent
tr|Adam arkasına baktığında kangurular çoktan yanından zıplayarak ...|geçmişti|geçti|geçer
