MEDIA 5209 | meaning: to sit or lie back comfortably doing nothing
E 40734 | B1 type 37 Future Simple or Continuos | style ironic | options 3 | SEL
fr|Clairement un chef-d'œuvre : ce panneau ... à la main il y a environ cent ans.|a été peint|est peint|a peint
tr|Açıkça bir başyapıt: bu tabela yaklaşık yüz yıl önce elle ...|boyandı|boyanır|boyadı
hu|Egyértelműen mestermű: ezt az útjelző táblát kb. száz éve kézzel ...|festették|festik|festette
MEDIA 5284 | meaning: made of metal
E 40968 | B1 type 32 Present Perfect Continuous | style chill | options 3 | SEL
en|The knight ... in his heavy metal armour for hours.|has been standing|is standing|stands
de|Der Ritter ... schon seit Stunden in seiner schweren Metallrüstung.|steht|steht gerade|steht
ua|Лицар ... у своїх важких металевих обладунках уже кілька годин.|стоїть|стоїть|стоїть
es|El caballero ... con su pesada armadura de metal durante horas.|ha estado de pie|está de pie|está de pie
fr|Le chevalier ... dans sa lourde armure en métal depuis des heures.|se tient debout|se tient debout|se tient debout
tr|Şövalye saatlerdir ağır metal zırhının içinde ...|duruyor|duruyor|durur
hu|A lovag órák óta ... a nehéz fémpáncéljában.|áll|áll|áll
MEDIA 5289 | meaning: wetness caused by water
E 41078 | B1 type 33 Past Simple or Continuos | style chill | options 3 | SEL
en|The artist ... the dry skin when she added a drop of moisture to the picture.|was painting|painted|has painted
de|Die Künstlerin ... gerade die trockene Haut, als sie dem Bild einen Tropfen Feuchtigkeit hinzufügte.|malte|malte|hat gemalt
ua|Художниця ... суху шкіру, коли додала до малюнка краплю вологи.|малювала|намалювала|намалювала
es|La artista ... la piel seca cuando añadió una gota de humedad al cuadro.|estaba pintando|pintó|ha pintado
fr|L'artiste ... la peau sèche quand elle a ajouté une goutte d'humidité au tableau.|peignait|a peint|a peint
tr|Sanatçı resme bir damla nem eklediğinde kuru cildi ...|çiziyordu|çizdi|çizmiş
hu|A művész éppen a száraz bőrt ..., amikor egy csepp nedvességet adott a képhez.|festette|megfestette|megfestette
MEDIA 5290 | meaning: a very tall city building with many floors
E 43079 | B1 type 44 Relative clauses | style flirt | options 3 | SEL
en|Honestly, your trench coat looks iconic under a skyscraper ... top touches the sky.|whose|which|who
de|Ehrlich, dein Trenchcoat sieht ikonisch aus unter einem Wolkenkratzer, ... Spitze den Himmel berührt.|dessen|der|wer
ua|Чесно, твій тренч виглядає легендарно під хмарочосом, ... вершина торкається неба.|чия|який|хто
es|Sinceramente, tu gabardina se ve icónica bajo un rascacielos ... cima toca el cielo.|cuya|que|quien
fr|Franchement, ton trench-coat a l'air iconique sous un gratte-ciel ... le sommet touche le ciel.|dont|qui|qui
tr|Açıkçası, trençkotun ... tepesi gökyüzüne değen bir gökdelenin altında ikonik görünüyor.|||
hu|Őszintén, a ballonkabátod ikonikusan néz ki egy felhőkarcoló alatt, ... csúcsa az eget érinti.|amelynek a|amely|aki
E 43087 | B2 type 52 Future Perfect Continuous | style nerd | options 3 | SEL
en|By noon, the visitor ... the skyscraper facades for approximately two hours.|will have been observing|will be observing|has observed
de|Bis Mittag wird der Besucher die Fassaden des Wolkenkratzers etwa zwei Stunden lang ...|beobachtet haben|beobachten|beobachtet
ua|До полудня відвідувач ... фасади хмарочоса приблизно дві години.|спостерігатиме|спостерігатиме|спостерігав
es|Para el mediodía, el visitante ... las fachadas del rascacielos durante aproximadamente dos horas.|habrá estado observando|estará observando|ha observado
fr|D'ici midi, le visiteur ... les façades du gratte-ciel pendant environ deux heures.|aura observé|sera en train d'observer|a observé
tr|Öğlene kadar ziyaretçi gökdelen cephelerini yaklaşık iki saattir ...|gözlemliyor olacak|gözlemliyor olacak|gözlemledi
hu|Délre a látogató körülbelül két órája ... a felhőkarcoló homlokzatait.|fogja figyelni|fogja figyelni|figyelte
MEDIA 5292 | meaning: producing a lot of work
E 41884 | B1 type 48 Question tags | style clueless | options 3 | SEL
en|He is asleep on his book, so he isn't very productive, ...?|is he?|isn't he?|does he?
de|Er schläft auf seinem Buch, also ist er nicht sehr produktiv, ...?|oder|nicht wahr|tut er
ua|Він спить на своїй книжці, тож він не дуже продуктивний, ...?|так|чи не так|хіба
es|Él está dormido sobre su libro, así que no es muy productivo, ¿...?|verdad|no|sí
fr|Il dort sur son livre, donc il n'est pas très productif, ... ?|hein|n'est-ce pas|si
tr|O kitabının üstünde uyuyor, yani pek verimli değil, ...?|öyle mi|değil mi|mi
hu|Ő a könyvén alszik, szóval nem túl produktív, ...?|ugye|nem igaz|igaz
E 41889 | B2 type 57 Modals in past | style gossip | options 3 | SEL
en|Girl, apparently he ... slept at all last night; nobody that tired is productive.|can't have|mustn't have|shouldn't have
de|Süße, anscheinend ... er letzte Nacht überhaupt nicht geschlafen haben; niemand, der so müde ist, ist produktiv.|kann|darf|sollte
ua|Подруго, він, мабуть, ... вночі зовсім; ніхто такий втомлений не буває продуктивним.|не міг спати|не мав права спати|не мав би спати
es|Tía, al parecer él ... dormido nada anoche; nadie tan cansado es productivo.|no puede haber|no debe haber|no debería haber
fr|Meuf, apparemment il ... dormi du tout la nuit dernière ; personne d'aussi fatigué n'est productif.|ne peut pas avoir|ne doit pas avoir|n'aurait pas dû
tr|Kızım, duyduğuma göre o dün gece hiç ...; o kadar yorgun olan kimse verimli değildir.|uyumuş olamaz|uyumuş olmamalı|uyumamalıydı
hu|Csajszi, ő állítólag tegnap éjjel egyáltalán ...; senki sem produktív, aki ennyire fáradt.|nem aludhatott|nem volt szabad aludnia|nem kellett volna aludnia
MEDIA 5295 | meaning: a thing you blow to make a loud noise
E 40118 | B1 type 34 Present Perfect Simple or Continuos | style chill | options 3 | SEL
en|The shepherd ... his horn on the hillside since early morning.|has been blowing|has blown|blows
de|Der Hirte ... sein Horn am Hang schon seit dem frühen Morgen.|bläst|hat geblasen|bläst
ua|Пастух ... у свій ріг на схилі з раннього ранку.|сурмить|засурмив|сурмить
es|El pastor ... su cuerno en la ladera desde primera hora de la mañana.|lleva tocando|ha tocado|toca
fr|Le berger ... dans sa corne sur la colline depuis tôt ce matin.|souffle|a soufflé|souffle
tr|Çoban sabahın erken saatlerinden beri yamaçta borusunu ...|çalıyor|çaldı|çalar
hu|A pásztor kora reggel óta ... a kürtjét a domboldalon.|fújja|megfújta|fújja
MEDIA 5297 | meaning: a state of total destruction
E 42554 | B2 type 61 Relative clauses | style chill | options 3 | SEL
en|The castle, ... walls are now a ruin, stands on a hill above the town.|whose|which|that
de|Die Burg, ... Mauern jetzt eine Ruine sind, steht auf einem Hügel über der Stadt.|deren|die|die
ua|Замок, ... стіни тепер руїна, стоїть на пагорбі над містом.|чиї|який|що
es|El castillo, ... muros son ahora una ruina, se alza sobre una colina por encima del pueblo.|cuyos|que|que
fr|Le château, ... les murs sont aujourd'hui en ruine, se dresse sur une colline au-dessus de la ville.|dont|qui|que
tr|... duvarları artık yıkıntı olan kale, kasabanın üstündeki bir tepede duruyor.|||
hu|A vár, ... falai mára romok, egy dombon áll a város felett.|amelynek a|amely|ami
MEDIA 5298 | meaning: a smart, formal jacket worn over a shirt
E 37226 | B1 type 44 Relative clauses | style chill | options 3 | SEL
en|The woman ... blazer is beige smells a paper test strip.|whose|who|which
de|Die Frau, ... Blazer beige ist, riecht an einem Papierteststreifen.|deren|die|welche
ua|Жінка, ... блейзер бежевий, нюхає паперову тест-смужку.|чий|яка|який
es|La mujer ... blazer es beige huele una tira de papel de prueba.|cuyo|que|el cual
fr|La femme ... le blazer est beige sent une mouillette en papier.|dont|qui|lequel
tr|... blazerı bej olan kadın bir kâğıt test şeridini kokluyor.|||
hu|A nő, ... a blézere bézs, egy papír tesztcsíkot szagol.|akinek|aki|amely
E 37230 | B2 type 65 All Present Tenses | style ironic | options 3 | SEL
en|She ... her third bottle in that blazer right now. Mildly indecisive.|is sniffing|sniffs|has sniffed
de|Sie ... gerade in diesem Blazer an ihrer dritten Flasche. Leicht unentschlossen.|riecht|riecht|hat gerochen
ua|Вона ... свій третій флакон у цьому блейзері прямо зараз. Трохи нерішуча.|нюхає|нюхає|понюхала
es|Ella ... su tercer frasco con ese blazer ahora mismo. Levemente indecisa.|está oliendo|huele|ha olido
fr|Elle ... son troisième flacon dans ce blazer en ce moment. Légèrement indécise.|est en train de sentir|sent|a senti
tr|O şu anda o blazerla ... üçüncü şişesini. Hafif kararsız.|kokluyor|koklar|kokladı
hu|Ő éppen most ... a harmadik üvegét abban a blézerben. Enyhén határozatlan.|szagolja|szagolja|megszagolta
MEDIA 5300 | meaning: something that is a source of danger
E 44043 | B1 type 37 Future Simple or Continuos | style chill | options 3 | SEL
en|The snake is a real threat, and it ... anyone who comes closer.|will bite|will be biting|is biting
de|Die Schlange ist eine echte Bedrohung, und sie ... jeden, der näher kommt.|beißt|wird beißen|beißt gerade
ua|Змія — справжня загроза, і вона ... кожного, хто підійде ближче.|вкусить|кусатиме|кусає
es|La serpiente es una amenaza real, y ... a cualquiera que se acerque.|morderá|estará mordiendo|está mordiendo
fr|Le serpent est une vraie menace, et il ... quiconque s'approche.|mordra|sera en train de mordre|mord
tr|Yılan gerçek bir tehdit ve yaklaşan herkesi ...|ısıracak|ısırıyor olacak|ısırıyor
hu|A kígyó igazi fenyegetés, és ... bárkit, aki közelebb jön.|meg fog marni|marni fog|mar
MEDIA 5302 | meaning: a flower on a tree, like cherry blossom
E 37273 | B1 type 48 Question tags | style chill | options 3 | SEL
en|The blossom makes him sneeze, ...?|doesn't it?|isn't it?|don't they?
de|Die Blüte bringt ihn zum Niesen, ...?|oder|nicht|nicht wahr
ua|Цвіт змушує його чхати, ...?|чи не так|хіба ні|правда
es|La flor lo hace estornudar, ¿...?|verdad|no|cierto
fr|La floraison le fait éternuer, ... ?|n'est-ce pas|non|hein
tr|Çiçekler onu hapşırtıyor, ...?|değil mi|değil mi|değil mi
hu|A virágzás tüsszentésre készteti, ...?|ugye|nem igaz|igaz
E 37281 | B2 type 61 Relative clauses | style business | options 3 | SEL
en|The cherry tree, ... blossom brings 2,000 visitors a week, is the park's revenue driver.|whose|which|who
de|Der Kirschbaum, ... Blüte 2.000 Besucher pro Woche bringt, ist der Umsatztreiber des Parks.|dessen|der|wer
ua|Вишня, ... цвіт приносить 2 000 відвідувачів на тиждень, — головне джерело доходу парку.|чий|яка|хто
es|El cerezo, ... flor atrae a 2.000 visitantes por semana, es el motor de ingresos del parque.|cuya|que|quien
fr|Le cerisier, ... la floraison attire 2 000 visiteurs par semaine, est le moteur de revenus du parc.|dont|qui|qui
tr|... çiçekleri haftada 2.000 ziyaretçi getiren kiraz ağacı, parkın gelir kaynağı.|||
hu|A cseresznyefa, ... virágzása heti 2000 látogatót vonz, a park bevételi motorja.|amelynek a|amely|aki
MEDIA 5304 | meaning: the state of being covered with unclean things
E 43236 | B1 type 32 Present Perfect Continuous | style gossip | options 3 | SEL
en|Wait, she told me she ... the dirt off her hands for ten minutes.|has been scrubbing|is scrubbing|scrubs
de|Warte, sie hat mir gesagt, dass sie schon zehn Minuten den Dreck von ihren Händen ...|schrubbt|schrubbt|schrubbt
ua|Чекай, вона сказала мені, що ... бруд із рук уже десять хвилин.|відтирає|відтирає|відтирає
es|Espera, ella me dijo que ... la suciedad de las manos durante diez minutos.|ha estado frotando|está frotando|frota
fr|Attends, elle m'a dit qu'elle ... la saleté de ses mains depuis dix minutes.|frotte|est en train de frotter|frotte
tr|Dur, o bana on dakikadır ellerindeki kiri ... söyledi.|ovduğunu|ovduğunu|ovduğunu
hu|Várj, ő azt mondta nekem, hogy tíz perce ... a koszt a kezéről.|súrolja|súrolja|súrolja
E 43245 | B2 type 67 All Future Tenses | style chill | options 3 | SEL
en|By the time she dries her hands, the soap ... all the dirt.|will have removed|will remove|removes
de|Bis sie sich die Hände abtrocknet, wird die Seife den ganzen Dreck ...|entfernt haben|entfernen|entfernt
ua|Поки вона витре руки, мило ... весь бруд.|вже видалить|видалить|видаляє
es|Para cuando ella se seque las manos, el jabón ... toda la suciedad.|habrá quitado|quitará|quita
fr|D'ici à ce qu'elle se sèche les mains, le savon ... toute la saleté.|aura enlevé|enlèvera|enlève
tr|O ellerini kuruladığında sabun bütün kiri ...|çıkarmış olacak|çıkaracak|çıkarıyor
hu|Mire ő megszárítja a kezét, a szappan ... az összes koszt.|már eltávolítja|el fogja távolítani|eltávolítja
MEDIA 5307 | meaning: having a lot of open room inside
E 43306 | B1 type 44 Relative clauses | style dramatic | options 3 | SEL
en|The spacious sofa ... he wanted for himself was completely invaded!|which|who|where
de|Das geräumige Sofa, ... er für sich allein wollte, wurde komplett erobert!|das|der|wo
ua|Простора канапа, ... він хотів лише для себе, була повністю захоплена!|яку|хто|де
es|¡El sofá espacioso ... él quería para sí mismo fue completamente invadido!|que|quien|donde
fr|Le canapé spacieux ... voulait pour lui tout seul a été complètement envahi !|qu'il|qui|où il
tr|... onun kendisi için istediği geniş kanepe tamamen işgal edildi!|||
hu|A tágas kanapé, ... ő magának akart, teljesen megszállás alá került!|amit|aki|ahol
E 43313 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|He ... alone on the spacious sofa for a minute before his friends ran in.|had been sitting|has been sitting|is sitting
de|Er ... eine Minute allein auf dem geräumigen Sofa, bevor seine Freunde hereinstürmten.|saß|sitzt schon|sitzt
ua|Він ... сам на просторій канапі хвилину, перш ніж забігли друзі.|сидів|сидить|сидить
es|Él ... solo en el sofá espacioso durante un minuto antes de que entraran corriendo sus amigos.|había estado sentado|ha estado sentado|está sentado
fr|Il ... seul sur le canapé spacieux pendant une minute avant que ses amis n'entrent en courant.|était resté assis|est resté assis|est assis
tr|Arkadaşları koşarak içeri girmeden önce o bir dakika boyunca geniş kanepede yalnız ...|oturuyordu|oturuyor|oturuyor
hu|Ő egy percig egyedül ... a tágas kanapén, mielőtt a barátai berohantak.|ült|ül|ül
MEDIA 5311 | meaning: relaxed and not agitated or upset
E 37496 | B1 type 31 Past Continuous | style flirt | options 3 | SEL
en|You ... her hand when she suddenly went calm. Honestly, that's actually cool.|were holding|held|have held
de|Du ... ihre Hand, als sie plötzlich ruhig wurde. Ehrlich, das ist echt cool.|hieltest gerade|hieltest|hast gehalten
ua|Ти ... її за руку, коли вона раптом заспокоїлася. Чесно, це реально круто.|тримав|взяв|взяв
es|Tú le ... la mano cuando de repente se calmó. Sinceramente, eso es muy guay.|estabas cogiendo|cogiste|has cogido
fr|Tu lui ... la main quand elle s'est soudain calmée. Franchement, c'est vraiment cool.|tenais|as tenu|as tenu
tr|O aniden sakinleştiğinde sen ... onun elini. Açıkçası, bu gerçekten havalı.|tutuyordun|tuttun|tuttun
hu|Te ... a kezét, amikor hirtelen megnyugodott. Őszintén, ez tényleg menő.|fogtad|megfogtad|megfogtad
E 37506 | B2 type 67 All Future Tenses | style flirt | options 3 | SEL
en|Honestly, by midnight you ... her calm again; you're kind of amazing at this.|will have made|will make|make
de|Ehrlich, bis Mitternacht wirst du sie wieder ...; du bist darin irgendwie genial.|beruhigt haben|beruhigen|beruhigst
ua|Чесно, до півночі ти знову її ...; ти в цьому якийсь неймовірний.|заспокоїш|заспокоїш|заспокоюєш
es|Sinceramente, para medianoche tú la ... otra vez; eres increíble en esto.|habrás calmado|calmarás|calmas
fr|Franchement, d'ici minuit, tu ... de nouveau ; t'es grave doué pour ça.|l'auras calmée|la calmeras|la calmes
tr|Açıkçası, gece yarısına kadar sen onu yine ...; bu konuda resmen harikasın.|sakinleştirmiş olacaksın|sakinleştireceksin|sakinleştiriyorsun
hu|Őszintén, éjfélre te újra ... őt; valahogy elképesztő vagy ebben.|megnyugtatod|meg fogod nyugtatni|megnyugtatod
MEDIA 5312 | meaning: the open ground at the back of a house
E 36968 | B1 type 34 Present Perfect Simple or Continuos | style chill | options 3 | SEL
en|He ... four skewers in the backyard so far.|has grilled|has been grilling|is grilling
de|Er hat bisher vier Spieße im Garten ...|gegrillt|gegrillt|am Grillen
ua|Він уже ... чотири шашлички на подвір'ї.|засмажив|смажив|смажить
es|Él ... cuatro brochetas en el patio hasta ahora.|ha asado|ha estado asando|está asando
fr|Il ... quatre brochettes dans le jardin jusqu'ici.|a grillé|a grillé|grille
tr|O şimdiye kadar arka bahçede dört şiş ...|pişirdi|pişirip duruyor|pişiriyor
hu|Ő eddig négy nyársat ... a hátsó udvarban.|grillezett meg|grillezett|grillez
E 36974 | B2 type 65 All Present Tenses | style flirt | options 3 | SEL
en|Right now you ... the best sausage in this backyard, honestly.|are grilling|grill|have grilled
de|Gerade ... du die beste Wurst in diesem Garten, ehrlich.|grillst|grillst|hast gegrillt
ua|Прямо зараз ти ... найкращу ковбаску на цьому подвір'ї, чесно.|смажиш|смажиш|засмажив
es|Ahora mismo tú ... la mejor salchicha de este patio, de verdad.|estás asando|asas|has asado
fr|En ce moment, tu ... la meilleure saucisse de ce jardin, franchement.|grilles|grilles|as grillé
tr|Şu anda sen bu bahçedeki en iyi sosisi ..., açıkçası.|pişiriyorsun|pişirirsin|pişirdin
hu|Épp most te ... a legjobb kolbászt ebben a hátsó udvarban, őszintén.|grillezed|grillezed|grillezted
MEDIA 5313 | meaning: glowing with bright electric colors at night
E 41230 | B1 type 40 2. Conditional | style ironic | options 3 | SEL
en|If the neon signs were any brighter, she ... sunglasses at midnight. Flawless lighting.|would need|will need|needs
de|Wenn die Neonschilder noch heller wären, ... sie um Mitternacht eine Sonnenbrille. Perfekte Beleuchtung.|bräuchte|wird brauchen|braucht
ua|Якби неонові вивіски були ще яскравішими, вона ... сонцезахисних окулярів опівночі. Бездоганне освітлення.|потребувала б|потребуватиме|потребує
es|Si los letreros de neón fueran aún más brillantes, ella ... gafas de sol a medianoche. Iluminación impecable.|necesitaría|necesitará|necesita
fr|Si les enseignes au néon étaient encore plus lumineuses, elle ... de lunettes de soleil à minuit. Éclairage impeccable.|aurait besoin|aura besoin|a besoin
tr|Neon tabelalar biraz daha parlak olsaydı, o gece yarısı ... güneş gözlüğüne. Kusursuz aydınlatma.|ihtiyaç duyardı|ihtiyaç duyacak|ihtiyaç duyuyor
hu|Ha a neonfeliratok még fényesebbek lennének, ő ... napszemüvegre éjfélkor. Hibátlan világítás.|szorulna|szorul majd|szorul
E 41236 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|The street was bright ... the late hour, thanks to the neon signs.|despite|owing to|provided
de|Die Straße war ... der späten Stunde hell, dank der Neonschilder.|trotz|wegen|vorausgesetzt
ua|Вулиця була яскравою ... пізню годину завдяки неоновим вивіскам.|попри|через|за умови
es|La calle estaba iluminada ... la hora tardía, gracias a los letreros de neón.|a pesar de|debido a|siempre que
fr|La rue était lumineuse ... l'heure tardive, grâce aux enseignes au néon.|malgré|en raison de|pourvu que
tr|Neon tabelalar sayesinde sokak geç saate ... aydınlıktı.|rağmen|bağlı olarak|koşuluyla
hu|Az utca a késői óra ... világos volt, a neonfeliratoknak köszönhetően.|ellenére|miatt|feltéve
MEDIA 5316 | meaning: having hair that grows in curls, not straight
E 38389 | B1 type 43 Modal verbs Probability | style chill | options 3 | SEL
en|Her hair forms tight rings, so it ... be naturally curly.|must|can't|shouldn't
de|Ihre Haare bilden feste Ringe, also ... sie von Natur aus lockig sein.|müssen|können nicht|sollten nicht
ua|Її волосся утворює тугі кільця, тож воно ... бути від природи кучерявим.|має|не може|не повинно
es|Su pelo forma rizos apretados, así que ... ser rizado natural.|debe de|no puede|no debería
fr|Ses cheveux forment des boucles serrées, donc ils ... être naturellement bouclés.|doivent|ne peuvent pas|ne devraient pas
tr|Saçları sıkı halkalar oluşturuyor, yani doğal olarak kıvırcık ...|olmalı|olamaz|olmamalı
hu|A haja szoros gyűrűket formál, szóval ... természetesen göndör.|biztosan|nem lehet|nem kellene
MEDIA 5317 | meaning: a strip of frilly fabric that decorates clothes
E 42532 | B1 type 31 Past Continuous | style ironic | options 3 | SEL
en|Flawless timing: the ruffles ... around her legs when the two women started clapping.|were swirling|swirled|have swirled
de|Perfektes Timing: Die Rüschen ... um ihre Beine, als die zwei Frauen zu klatschen begannen.|wirbelten|wirbelten|sind gewirbelt
ua|Бездоганний таймінг: волани ... навколо її ніг, коли дві жінки почали плескати.|кружляли|закружляли|закружляли
es|Timing perfecto: los volantes ... alrededor de sus piernas cuando las dos mujeres empezaron a aplaudir.|giraban|giraron|han girado
fr|Timing parfait : les volants ... autour de ses jambes quand les deux femmes ont commencé à applaudir.|tourbillonnaient|ont tourbillonné|ont tourbillonné
tr|Kusursuz zamanlama: iki kadın alkışlamaya başladığında fırfırlar bacaklarının etrafında ...|savruluyordu|savruldu|savrulmuş
hu|Tökéletes időzítés: a fodrok ... a lába körül, amikor a két nő tapsolni kezdett.|kavarogtak|megpördültek|megpördültek
E 42542 | B2 type 67 All Future Tenses | style flirt | options 3 | SEL
en|Honestly, by your final spin, you ... every ruffle on that dress fly.|will have made|will make|make
de|Ehrlich, bis zu deiner letzten Drehung ... du jede Rüsche an diesem Kleid fliegen lassen.|hast|wirst|lässt
ua|Чесно, до твого останнього оберту ти ... злетіти кожен волан на цій сукні.|змусиш|змусиш|змушуєш
es|Sinceramente, para tu último giro, tú ... volar cada volante de ese vestido.|habrás hecho|harás|haces
fr|Franchement, d'ici ton dernier tour, tu ... voler chaque volant de cette robe.|auras fait|feras|fais
tr|Açıkçası, son dönüşüne kadar sen o elbisedeki her fırfırı ...|uçurmuş olacaksın|uçuracaksın|uçuruyorsun
hu|Őszintén, az utolsó pörgésedig te ... a ruha minden fodrát.|már felrepíted|fel fogod repíteni|felrepíted
MEDIA 5320 | meaning: to show something to an audience
E 38493 | B1 type 49 So, Neither, Nor | style dramatic | options 3 | SEL
en|She never demonstrates a stretch halfway, and ... he. Absolutely never!|neither does|so does|neither is
de|Sie zeigt eine Dehnung nie nur halb vor, und ... er. Absolut nie!|genauso wenig|genauso|genauso wenig
ua|Вона ніколи не показує розтяжку наполовину, і ... він. Абсолютно ніколи!|ані|так само|ані
es|Ella nunca demuestra un estiramiento a medias, y ... él. ¡Absolutamente nunca!|tampoco|también|tampoco
fr|Elle ne montre jamais un étirement à moitié, et lui ..., absolument jamais !|non plus|aussi|non plus
tr|O bir esnemeyi asla yarım yamalak göstermez, o da ...! Kesinlikle asla!|göstermez|gösterir|göstermez
hu|Ő soha nem mutat be félig egy nyújtást, és ő ..., abszolút soha!|sem|is|sem
E 38497 | B2 type 53 3. Conditional | style chill | options 3 | SEL
en|If she hadn't demonstrated the stretch, he ... his arms the wrong way.|would have raised|would raise|raised
de|Wenn sie die Dehnung nicht vorgemacht hätte, ... er die Arme falsch gehoben.|hätte|würde|hat
ua|Якби вона не показала розтяжку, він ... руки неправильно.|підняв би|підняв би|підняв
es|Si no hubiera demostrado el estiramiento, él ... los brazos de forma incorrecta.|habría levantado|levantaría|levantó
fr|Si elle n'avait pas montré l'étirement, il ... les bras de travers.|aurait levé|lèverait|a levé
tr|Esnemeyi göstermeseydi, o kollarını yanlış ...|kaldırmış olurdu|kaldırırdı|kaldırdı
hu|Ha nem mutatta volna be a nyújtást, ő rosszul ... a karját.|emelte volna fel|emelné fel|emelte fel
MEDIA 5322 | meaning: to eject saliva from your mouth
E 43427 | B1 type 42 Passive or Active | style nerd | options 3 | SEL
en|The green soup ... out by the subject, which indicates strong dislike.|was spat|spat|spitting
de|Die grüne Suppe wurde vom Subjekt ..., was auf starke Abneigung hinweist.|ausgespuckt|ausspuckte|ausspuckend
ua|Зелений суп ... суб'єктом, що вказує на сильну відразу.|був виплюнутий|виплюнув|випльовуючи
es|La sopa verde ... por el sujeto, lo cual indica un fuerte rechazo.|fue escupida|escupió|escupiendo
fr|La soupe verte ... par le sujet, ce qui indique un fort dégoût.|a été recrachée|a recraché|recrachant
tr|Yeşil çorba denek tarafından ..., bu da güçlü bir hoşnutsuzluğa işaret ediyor.|tükürüldü|tükürdü|tükürerek
hu|A zöld levest az alany ..., ami erős ellenszenvre utal.|kiköpte|kiköpték|kiköpve
MEDIA 5325 | meaning: a person's partner in marriage
E 43450 | B1 type 47 Gerund vs Infinitive | style flirt | options 3 | SEL
en|Honestly, you and your spouse clearly enjoy ... everything as a team.|doing|to do|do
de|Ehrlich, du und dein Ehepartner genießt es offensichtlich, alles als Team ...|zu machen|zu machen|machen
ua|Чесно, ти і твій чоловік явно любите ... все разом як команда.|робити|робити|робите
es|Sinceramente, tú y tu pareja claramente disfrutáis ... todo en equipo.|haciendo|hacer|hacéis
fr|Franchement, toi et ton conjoint, vous aimez clairement ... tout en équipe.|faire|faire|faites
tr|Açıkçası sen ve eşin belli ki her şeyi takım olarak ... seviyorsunuz.|yapmayı|yapmayı|yapıyorsunuz
hu|Őszintén, te és a házastársad láthatóan szerettek mindent csapatként ...|csinálni|csinálni|csináltok
E 43451 | B2 type 65 All Present Tenses | style flirt | options 3 | SEL
en|You and your spouse ... as a team since the day you got married, and honestly, respect.|have worked|are working|work
de|Du und dein Ehepartner ... seit dem Tag eurer Hochzeit als Team, und ehrlich, Respekt.|arbeitet|arbeitet gerade|arbeitet
ua|Ти і твій чоловік ... як команда з дня весілля, і, чесно, респект.|працюєте|працюєте|працюєте
es|Tú y tu pareja ... en equipo desde el día en que os casasteis y, sinceramente, respeto.|habéis trabajado|estáis trabajando|trabajáis
fr|Toi et ton conjoint, vous ... en équipe depuis le jour de votre mariage, et franchement, respect.|travaillez|êtes en train de travailler|travaillez
tr|Sen ve eşin evlendiğiniz günden beri takım olarak ... ve açıkçası, saygı.|çalışıyorsunuz|çalışıyorsunuz|çalışırsınız
hu|Te és a házastársad az esküvőtök napja óta csapatként ..., és őszintén, respekt.|dolgoztok|dolgoztok|dolgoztok
MEDIA 5327 | meaning: a sleeveless garment like a short cloak
E 37579 | B2 type 59 Causative HAVE/GET | style gossip | options 3 | SEL
en|Guess what, she had her hair ... in that black cape, apparently.|done|do|doing
de|Rate mal, sie hat sich anscheinend in diesem schwarzen Umhang die Haare ... lassen.|machen|machen|machend
ua|Уяви, вона, кажуть, ... зачіску в тій чорній накидці.|зробила|зробила|робила
es|Adivina qué: al parecer ella se mandó ... el pelo con esa capa negra.|arreglar|arreglar|arreglando
fr|Devine quoi, elle s'est fait ... les cheveux avec cette cape noire, apparemment.|coiffer|coiffer|coiffant
tr|Bil bakalım, duyduğuma göre o, siyah pelerinin içinde saçını ...|yaptırmış|yapmış|yaparak
hu|Képzeld, ő állítólag abban a fekete beterítőben ... a haját.|megcsináltatta|megcsinálta|csinálva
MEDIA 5331 | meaning: good physical condition
E 39303 | B1 type 45 Reported speech | style gossip | options 3 | SEL
en|Listen, she told me her fitness routine ... at 5 a.m. the day before.|had started|has started|starts
de|Hör zu, sie hat mir erzählt, dass ihr Fitnessprogramm am Tag davor um 5 Uhr morgens ...|begonnen hatte|begonnen hat|beginnt
ua|Слухай, вона сказала мені, що її фітнес-режим ... о 5 ранку напередодні.|почався|почався|починається
es|Escucha, ella me dijo que su rutina de ejercicio ... a las 5 de la mañana el día anterior.|había empezado|ha empezado|empieza
fr|Écoute, elle m'a dit que sa routine sportive ... à 5 h du matin la veille.|avait commencé|a commencé|commence
tr|Dinle, o bana fitness rutininin bir gün önce sabah 5'te ... söyledi.|başlamış olduğunu|başladığını|başladığını
hu|Figyelj, ő azt mondta nekem, hogy az edzésrutinja előző nap hajnali 5-kor ...|kezdődött|kezdődött|kezdődik
MEDIA 5332 | meaning: being one undivided whole
E 44407 | B1 type 43 Modal verbs Probability | style chill | options 3 | SEL
en|They cheer as one group, so their unity ... be very strong.|must|can't|should
de|Sie jubeln als eine Gruppe, also ... ihr Zusammenhalt sehr stark sein.|muss|kann nicht|sollte
ua|Вони вболівають як одна група, тож їхня єдність ... бути дуже сильною.|мусить|не може|повинна
es|Ellos animan como un solo grupo, así que su unidad ... ser muy fuerte.|debe de|no puede|debería
fr|Ils applaudissent comme un seul groupe, donc leur unité ... être très forte.|doit|ne peut pas|devrait
