MEDIA 4415 | meaning: a remark expressing praise or admiration
E 37968 | B1 type 49 So, Neither, Nor | style flirt | options 3 | SEL
hu|A férfi ... a bőröndjeit a szalagra, miközben az útlevelét a szájában tartotta.|feltette|fel lett téve|feltéve
E 40667 | B2 type 65 All Present Tenses | style business | options 3 | SEL
en|Currently, the traveller ... his 23-kilogram holdall onto the belt, on schedule.|is loading|loads|has loaded
de|Aktuell ... der Reisende seine 23-Kilo-Reisetasche aufs Band, im Zeitplan.|lädt|lädt|lud
ua|Наразі мандрівник ... свою 23-кілограмову сумку на стрічку, за графіком.|вантажить|вантажить|завантажив
es|Actualmente, el viajero ... su bolsa de 23 kilos en la cinta, según lo previsto.|está cargando|carga|ha cargado
fr|Actuellement, le voyageur ... son sac de 23 kilos sur le tapis, dans les temps.|est en train de charger|charge|a chargé
tr|Şu anda yolcu 23 kiloluk çantasını plana uygun şekilde banda ...|yüklüyor|yükler|yükledi
hu|Jelenleg az utazó ... a 23 kilós táskáját a szalagra, az ütemterv szerint.|teszi fel|teszi fel|tette fel
MEDIA 4511 | meaning: work done by one person that benefits another
E 42778 | B2 type 59 Causative HAVE/GET | style dramatic | options 3 | SEL
en|What service! He got his bag ... in ten seconds, a complete miracle!|tagged|tag|to tag
de|Was für ein Service! Er hat seine Tasche in zehn Sekunden ... bekommen, ein echtes Wunder!|etikettiert|etikettieren|zu etikettieren
ua|Оце сервіс! Він отримав свою сумку ... за десять секунд, справжнє диво!|з биркою|з биркою|з биркою
es|¡Qué servicio! Él consiguió que le ... la bolsa en diez segundos, ¡un milagro total!|etiquetaran|etiquetar|a etiquetar
fr|Quel service ! Il a fait ... son sac en dix secondes, un vrai miracle !|étiqueter|étiqueter|à étiqueter
tr|Ne hizmet ama! O çantasını on saniyede ..., tam bir mucize!|etiketletti|etiketle|etiketlemek
hu|Micsoda kiszolgálás! Ő tíz másodperc alatt ... a táskáját, igazi csoda!|felcímkéztette|felcímkéz|felcímkézni
MEDIA 4516 | meaning: dried grass used as food for animals
E 39947 | B1 type 41 Passive | style chill | options 3 | SEL
en|The hen's nest ... from dried yellow hay in the barn.|was built|built|was building
de|Das Nest der Henne ... in der Scheune aus trockenem gelbem Heu gebaut.|wurde|baute|baute gerade
ua|Гніздо курки ... в сараї із сухого жовтого сіна.|було збудоване|збудувало|будувало
es|El nido de la gallina ... con heno amarillo seco en el granero.|fue construido|construyó|estaba construyendo
fr|Le nid de la poule ... avec du foin jaune séché dans la grange.|a été construit|a construit|construisait
tr|Tavuğun yuvası ahırda kuru sarı samandan ...|yapıldı|yaptı|yapıyordu
hu|A tyúk fészkét száraz sárga szénából ... a pajtában.|építették|épített|építette éppen
MEDIA 4517 | meaning: the act of pulling something toward you
E 41933 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|With one strong pull on the rope, the sweep ... the brush down the chimney.|dragged|was dragged|dragging
de|Mit einem kräftigen Zug am Seil ... der Schornsteinfeger die Bürste den Kamin hinunter.|zog|wurde gezogen|ziehend
ua|Одним сильним ривком за мотузку сажотрус ... щітку вниз по димарю.|стягнув|був стягнутий|стягуючи
es|Con un fuerte tirón de la cuerda, el deshollinador ... el cepillo chimenea abajo.|arrastró|fue arrastrado|arrastrando
fr|D'un bon coup sur la corde, le ramoneur ... la brosse dans la cheminée.|a tiré|a été tiré|tirant
tr|İpe tek bir güçlü asılışla baca temizleyicisi fırçayı bacadan aşağı ...|çekti|çekildi|çekerek
hu|Egy erős rántással a kötélen a kéményseprő ... a kefét a kéményben.|lehúzta|le lett húzva|lehúzva
MEDIA 4519 | meaning: what remains when something is burned
E 36860 | B1 type 39 1. Conditional | style ironic | options 3 | SEL
en|If he keeps the fire going all night, there ... even more ash. Delightful.|will be|would be|was
de|Wenn er das Feuer die ganze Nacht am Laufen hält, ... es noch mehr Asche. Herrlich.|gibt|gäbe|gab
ua|Якщо він підтримуватиме вогонь усю ніч, ... ще більше попелу. Чудово.|буде|було б|було
es|Si él mantiene el fuego toda la noche, ... todavía más ceniza. Encantador.|habrá|habría|hubo
fr|S'il entretient le feu toute la nuit, il y ... encore plus de cendres. Délicieux.|aura|aurait|avait
tr|O ateşi bütün gece yanık tutarsa, daha da fazla kül ...! Harika.|olacak|olurdu|oldu
hu|Ha ő egész éjjel égve tartja a tüzet, ... még több hamu. Csodás.|lesz|lenne|volt
E 36865 | B2 type 67 All Future Tenses | style gossip | options 3 | SEL
en|Listen, he told me that by tomorrow those logs ... into ash.|will have turned|will turn|will be turning
de|Hör mal, er hat mir gesagt, dass diese Holzscheite bis morgen zu Asche ...|geworden sind|werden|gerade werden
ua|Слухай, він сказав мені, що до завтра ці поліна ... на попіл.|перетворяться|перетворяться|перетворюватимуться
es|Oye, él me dijo que para mañana esos troncos se ... en ceniza.|habrán convertido|convertirán|estarán convirtiendo
fr|Écoute, il m'a dit que d'ici demain ces bûches ... en cendres.|se seront transformées|se transformeront|seront en train de se transformer
tr|Dinle, o bana yarına kadar o kütüklerin küle ... söyledi.|dönmüş olacağını|döneceğini|dönüyor olacağını
hu|Figyelj, ő azt mondta nekem, hogy holnapra azok a fahasábok hamuvá ...|válnak|válnak|fognak éppen válni
MEDIA 4520 | meaning: to spread over a large, long area
E 43653 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|The wall ... to stretch much further before parts of it fell down.|used|would|was used
de|Die Mauer ... früher viel weiter, bevor Teile davon einstürzten.|reichte|reichte|war gewohnt zu reichen
ua|Колись мур ... значно далі, перш ніж частини його обвалилися.|простягався|простягався|звик простягатися
es|La muralla ... extenderse mucho más lejos antes de que partes de ella se derrumbaran.|solía|solía|estaba acostumbrada a
fr|La muraille ... beaucoup plus loin avant que certaines parties s'effondrent.|s'étendait autrefois|s'étendait autrefois|avait l'habitude de s'étendre
tr|Sur, bazı kısımları çökmeden önce eskiden çok daha uzağa ...|uzanırdı|uzanırdı|uzanmaya alışkındı
hu|A fal régen sokkal messzebbre ..., mielőtt egyes részei leomlottak.|nyúlt|nyúlt|volt szokva nyúlni
MEDIA 4521 | meaning: a far away region
E 38669 | B2 type 51 Future Perfect Simple | style chill | options 3 | SEL
en|By the time she reaches the camera, the towers in the distance ... into the mist.|will have disappeared|will disappear|disappear
de|Bis sie die Kamera erreicht, ... die Türme in der Ferne im Nebel.|verschwinden|verschwinden|verschwinden
ua|Поки вона дійде до камери, вежі вдалині ... в тумані.|зникнуть|зникнуть|зникають
  ~soft: length ratio 0.59
es|Para cuando ella llegue a la cámara, las torres a lo lejos ... en la niebla.|habrán desaparecido|desaparecerán|desaparecen
fr|D'ici à ce qu'elle atteigne la caméra, les tours au loin ... dans la brume.|auront disparu|disparaîtront|disparaissent
tr|O kameraya ulaştığında uzaktaki kuleler sisin içinde ...|kaybolmuş olacak|kaybolacak|kayboluyor
hu|Mire ő a kamerához ér, a távoli tornyok ... a ködben.|eltűnnek|el fognak tűnni|eltűnnek
  ~soft: length ratio 0.59
MEDIA 4524 | meaning: to bend so that one part covers the other
E 39480 | B1 type 48 Question tags | style dramatic | options 3 | SEL
en|Grandma folded dozens of dumplings in one afternoon, ...? Absolutely unbelievable!|didn't she?|wasn't she?|doesn't she?
de|Oma hat an einem Nachmittag Dutzende Dumplings gefaltet, ...? Absolut unglaublich!|oder|oder|oder
ua|Бабуся за один день зліпила десятки дамплінгів, ...? Абсолютно неймовірно!|правда|правда|правда
es|La abuela dobló decenas de dumplings en una sola tarde, ¿...? ¡Absolutamente increíble!|verdad|verdad|verdad
fr|Mamie a plié des dizaines de dumplings en un seul après-midi, ... ? Absolument incroyable !|n'est-ce pas|n'est-ce pas|n'est-ce pas
tr|Büyükanne bir öğleden sonrada onlarca dumpling katladı, ...? Kesinlikle inanılmaz!|değil mi|değil mi|değil mi
hu|A nagyi egyetlen délután alatt dumplingok tucatjait hajtogatta meg, ...? Teljesen hihetetlen!|ugye|ugye|ugye
E 39488 | B2 type 61 Relative clauses | style chill | options 3 | SEL
en|The woman ... red cardigan is covered in flour folds each dumpling into pleats.|whose|who|which
de|Die Frau, ... rote Strickjacke voller Mehl ist, faltet jeden Dumpling in Falten.|deren|die|welche
ua|Жінка, ... червоний кардиган увесь у борошні, складає кожен дамплінг у складочки.|чий|яка|який
es|La mujer ... chaqueta roja está cubierta de harina dobla cada dumpling en pliegues.|cuya|que|la cual
fr|La femme ... le gilet rouge est couvert de farine plie chaque dumpling en petits plis.|dont|qui|lequel
tr|Kırmızı hırkası una bulanmış ... kadın her dumpling'i kıvrım kıvrım katlıyor.|||
hu|Az a nő, ... piros kardigánja csupa liszt, minden dumplingot redőkbe hajtogat.|akinek a|aki|ami
MEDIA 4526 | meaning: a vote to choose a winner for a position
E 38872 | B1 type 45 Reported speech | style chill | options 3 | SEL
en|She said she ... not decided how to vote in the election yet.|had|has|have
de|Sie sagte, sie ... noch nicht entschieden, wie sie bei der Wahl abstimmen soll.|habe|hat|haben
ua|Вона сказала, що ще не ..., як голосувати на виборах.|вирішила|вирішила|вирішила
es|Ella dijo que todavía no ... decidido cómo votar en las elecciones.|había|ha|han
fr|Elle a dit qu'elle ... pas encore décidé comment voter à l'élection.|n'avait|n'a|n'ont
tr|O, seçimde nasıl oy vereceğine henüz karar ... söyledi.|vermediğini|vermediğini|vermediklerini
hu|Ő azt mondta, hogy még nem ..., hogyan szavazzon a választáson.|döntött|döntött|döntöttek
E 38876 | B2 type 66 All Past Tenses | style business | options 3 | SEL
en|By noon, 200 voters ... their election papers, well ahead of the deadline.|had submitted|have submitted|were submitting
de|Bis Mittag ... 200 Wähler ihre Wahlzettel abgegeben, deutlich vor der Frist.|hatten|haben|waren
ua|До полудня 200 виборців ... свої бюлетені, значно раніше за дедлайн.|здали|здали|здавали
es|A mediodía, 200 votantes ya ... sus papeletas, muy por delante del plazo.|habían entregado|han entregado|estaban entregando
fr|À midi, 200 électeurs ... leurs bulletins, bien avant la date limite.|avaient déposé|ont déposé|déposaient
tr|Öğlene kadar 200 seçmen oy pusulalarını son tarihten çok önce ...|teslim etmişti|teslim etti|teslim ediyordu
hu|Délre 200 választó ... a szavazólapját, jóval a határidő előtt.|leadta|leadta|adta le éppen
MEDIA 4528 | meaning: a place in the ground where a dead body is buried
E 39867 | B1 type 43 Modal verbs Probability | style chill | options 3 | SEL
en|The stone markers lean so much that each grave ... be very old.|must|can't|should
de|Die Grabsteine sind so schief, dass jedes Grab sehr alt sein ...|muss|kann nicht|sollte
ua|Надгробки так нахилилися, що кожна могила ... бути дуже старою.|мусить|не може|мала б
es|Las lápidas están tan inclinadas que cada tumba ... ser muy antigua.|debe de|no puede|debería
fr|Les pierres tombales penchent tellement que chaque tombe ... être très ancienne.|doit|ne peut pas|devrait
tr|Mezar taşları o kadar eğik ki her mezar çok eski ...|olmalı|olamaz|olması gerekir
hu|A sírkövek annyira dőlnek, hogy minden sír ... nagyon régi.|biztosan|nem lehet|elvileg
MEDIA 4532 | meaning: worthless material to be thrown away
E 44266 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|She ... trash off the grass when the picker dropped a plastic bottle.|was picking|picked|has picked
de|Sie ... gerade Müll vom Rasen auf, als der Greifer eine Plastikflasche fallen ließ.|sammelte|sammelte|sammelte
ua|Вона ... сміття з трави, коли з хапалки випала пластикова пляшка.|збирала|зібрала|зібрала
es|Ella ... basura del césped cuando la pinza soltó una botella de plástico.|estaba recogiendo|recogió|ha recogido
fr|Elle ... des déchets sur la pelouse quand la pince a lâché une bouteille en plastique.|ramassait|a ramassé|a ramassé
tr|Tutucu plastik bir şişeyi düşürdüğünde o çimlerden çöp ...|topluyordu|topladı|topladı
hu|Ő éppen ... a szemetet a fűről, amikor a szemétszedő csipesz leejtett egy műanyag palackot.|szedte|szedte|szedte
E 44272 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|She picked up the trash herself ... it was not her job.|even though|despite|in case
de|Sie hob den Müll selbst auf, ... es nicht ihr Job war.|obwohl|trotz|falls
ua|Вона сама підібрала сміття, ... це не була її робота.|хоча|попри|на випадок, якщо
es|Ella misma recogió la basura, ... no era su trabajo.|aunque|a pesar de|por si
fr|Elle a ramassé les déchets elle-même, ... ce n'était pas son travail.|même si|malgré|au cas où
tr|O çöpleri kendisi topladı, ... bu onun işi değildi.|gerçi|rağmen|belki diye
hu|Ő maga szedte fel a szemetet, ... nem az ő dolga volt.|pedig|annak ellenére|arra az esetre, ha
MEDIA 4533 | meaning: a room in which a law court sits
E 38188 | B2 type 52 Future Perfect Continuous | style chill | options 3 | SEL
en|By next month, she ... to this court for her papers for two years.|will have been coming|will be coming|will have come
de|Nächsten Monat ... sie schon zwei Jahre lang wegen ihrer Papiere in diesen Gerichtssaal.|kommt|kommt|kommt
ua|До наступного місяця вона ... до цієї зали суду через свої документи вже два роки.|ходитиме|ходитиме|прийде
es|Para el mes que viene, ella ... a este tribunal por sus papeles durante dos años.|llevará viniendo|estará viniendo|habrá venido
fr|Le mois prochain, cela fera deux ans qu'elle ... dans ce tribunal pour ses papiers.|vient|vient|sera venue
tr|Gelecek aya kadar o, belgeleri için iki yıldır bu mahkeme salonuna ...|geliyor olacak|geliyor olacak|gelmiş olacak
hu|Jövő hónapra ő már két éve ... ebbe a tárgyalóterembe a papírjai miatt.|jár|jár|el fog jönni
MEDIA 4534 | meaning: a worker who holds an office
E 41279 | B1 type 35 Past Perfect Simple | style flirt | options 3 | SEL
en|Not gonna lie, you were the smoothest official; she ... never smiled like that before.|had|has|was
de|Ganz ehrlich, du warst der charmanteste Beamte; sie ... noch nie so gelächelt.|hatte|hat|war
ua|Не брехатиму, ти був найчарівнішим чиновником; вона ... ніколи раніше так не усміхалася.|||
es|No voy a mentir, tú eras el funcionario más encantador; ella nunca ... sonreído así antes.|había|ha|estaba
fr|Je vais pas mentir, t'étais le fonctionnaire le plus charmant ; elle ... jamais souri comme ça avant.|n'avait|n'a|n'était
tr|Yalan yok, sen en tatlı dilli memurdun; o daha önce hiç böyle ... gülümsememişti.|||
hu|Nem hazudok, te voltál a legsármosabb hivatalnok; ő még soha ... nem mosolygott így.|||
E 41283 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|After the last certificate, the official went back to ... at the town hall.|work|the work|a work
de|Nach der letzten Urkunde kehrte der Beamte ... im Rathaus zurück.|zur Arbeit|zur Arbeit|zu einer Arbeit
ua|Після останнього свідоцтва чиновник повернувся до ... в ратуші.|роботи|роботи|роботи
es|Después del último certificado, el funcionario volvió a ... en el ayuntamiento.|trabajar|el trabajo|un trabajo
fr|Après le dernier certificat, le fonctionnaire est retourné ... à la mairie.|au travail|au travail|à un travail
tr|Son belgeden sonra memur belediye binasında ... başına döndü.|işinin|işinin|bir işin
hu|Az utolsó oklevél után a hivatalnok visszament ... a városházán.|dolgozni|a munkához|egy munkához
MEDIA 4536 | meaning: the skilled practice of a practical job
E 38230 | B2 type 53 3. Conditional | style chill | options 3 | SEL
en|If the potter had not learned the craft, this pot ... on the wheel.|wouldn't have taken shape|won't take shape|didn't take shape
de|Hätte der Töpfer das Handwerk nicht gelernt, ... dieser Topf auf der Scheibe keine Form angenommen.|hätte|wird|hat
ua|Якби гончар не навчився ремесла, цей горщик ... на крузі.|не набув би форми|не набуде форми|не набув форми
es|Si el alfarero no hubiera aprendido el oficio, esta vasija ... en el torno.|no habría tomado forma|no tomará forma|no tomó forma
fr|Si le potier n'avait pas appris le métier, ce pot ... sur le tour.|n'aurait pas pris forme|ne prendra pas forme|n'a pas pris forme
tr|Çömlekçi bu zanaatı öğrenmemiş olsaydı, bu çömlek çarkta ...|şekil almazdı|şekil almayacak|şekil almadı
hu|Ha a fazekas nem tanulta volna meg a mesterséget, ez a fazék nem ... formát a korongon.|öltött volna|fog ölteni|öltött
MEDIA 4537 | meaning: to rid a place of obstructions
E 37832 | B1 type 49 So, Neither, Nor | style chill | options 3 | SEL
en|The shelves have been cleared, and ...|so has the floor.|so is the floor.|so did the floor.
de|Die Regale sind ausgeräumt, und ...|der Boden auch.|der Boden ist es auch.|der Boden auch.
ua|Полиці розчищені, і ...|підлога теж.|підлога теж є.|підлога теж.
es|Las estanterías están despejadas, y ...|el suelo también.|el suelo también lo está.|el suelo también.
fr|Les étagères ont été vidées, et ...|le sol aussi.|le sol l'est aussi.|le sol aussi.
tr|Raflar boşaltıldı ve ...|zemin de.|zemin de öyle.|zemin de.
  ~soft: length ratio 0.58
hu|A polcokat kipakolták, és ...|a padlót is.|a padló is az.|a padlót is.
E 37838 | B2 type 63 Advanced linkers | style dramatic | options 3 | SEL
en|She cleared the whole flat ... it nearly destroyed her!|even though|in case|owing to
de|Sie hat die ganze Wohnung ausgeräumt, ... es sie fast zerstört hat!|obwohl|falls|wegen
ua|Вона розчистила всю квартиру, ... це її мало не знищило!|хоча|на випадок, якщо|через те, що
es|¡Ella despejó todo el piso ... casi acabó con ella!|aunque|por si|debido a que
fr|Elle a vidé tout l'appart ... ça a failli la détruire !|même si|au cas où|à cause du fait que
tr|O bütün daireyi boşalttı, ... bu neredeyse onu mahvetti!|gerçi|olur da|yüzünden
hu|Ő kipakolta az egész lakást, ... ez majdnem tönkretette!|pedig|arra az esetre, ha|amiatt, hogy
MEDIA 4538 | meaning: freedom from work or activity
E 42270 | B1 type 36 Future Continuous | style slang | options 3 | SEL
en|This time tomorrow she ... a rest on that sofa again, no cap, bro.|will be having|is having|has
de|Morgen um diese Zeit ... sie wieder auf dem Sofa Pause, ohne Witz, Bro.|macht gerade|macht|macht
ua|Завтра в цей час вона знову ... на тому дивані, без жартів, бро.|відпочиватиме|відпочиває|відпочиває
es|Mañana a esta hora ella ... en ese sofá otra vez, sin mentir, bro.|estará descansando|está descansando|descansa
fr|Demain à la même heure, elle ... encore sur ce canapé, sans mentir, frère.|se reposera|se repose|se repose
tr|Yarın bu saatte o yine o kanepede ..., yalan yok kanka.|dinleniyor olacak|dinleniyor|dinlenir
hu|Holnap ilyenkor ő megint ... azon a kanapén, nem kamu, tesó.|pihenni fog|pihen|pihen
E 42280 | B2 type 66 All Past Tenses | style slang | options 3 | SEL
en|Bro, she ... for hours, so that rest on the sofa was kinda deserved.|had been cleaning|has been cleaning|is cleaning
de|Bro, sie ... stundenlang geputzt, also war die Pause auf dem Sofa schon irgendwie verdient.|hatte|hat|putzt
ua|Бро, вона ... годинами, тож той відпочинок на дивані був цілком заслужений.|прибирала|прибирає|прибирає
es|Bro, ella ... durante horas, así que ese descanso en el sofá fue bastante merecido.|había estado limpiando|ha estado limpiando|está limpiando
fr|Frère, elle ... pendant des heures, donc cette pause sur le canapé était un peu méritée.|avait fait le ménage|a fait le ménage|fait le ménage
tr|Kanka, o saatlerce ..., yani kanepedeki o mola baya hak edilmişti.|temizlik yapmıştı|temizlik yapıyor|temizlik yapıyor
hu|Tesó, ő órák óta ..., szóval az a kanapés pihenő elég megérdemelt volt.|takarított|takarít|takarít
MEDIA 4540 | meaning: the things needed to do a job or service
E 38968 | B1 type 40 2. Conditional | style chill | options 3 | SEL
en|If the woman had better equipment, she ... the worktop much faster.|would clean|will clean|cleans
de|Wenn die Frau bessere Ausrüstung hätte, ... sie die Arbeitsplatte viel schneller.|putzte|putzt|putzt
ua|Якби жінка мала краще обладнання, вона ... стільницю набагато швидше.|почистила б|почистить|чистить
es|Si la mujer tuviera un mejor equipo, ella ... la encimera mucho más rápido.|limpiaría|limpiará|limpia
fr|Si la femme avait un meilleur équipement, elle ... le plan de travail beaucoup plus vite.|nettoierait|nettoiera|nettoie
tr|Kadının daha iyi ekipmanı olsaydı, o tezgâhı çok daha hızlı ...|temizlerdi|temizleyecek|temizliyor
hu|Ha a nőnek jobb felszerelése lenne, ő sokkal gyorsabban ... a munkalapot.|megtisztítaná|meg fogja tisztítani|megtisztítja
E 38973 | B2 type 62 Articles advanced | style nerd | options 3 | SEL
en|... this window cleaner uses consists of a harness, a hard hat and a squeegee.|The equipment|An equipment|The equipments
de|..., die dieser Fensterputzer benutzt, besteht aus einem Gurt, einem Helm und einem Abzieher.|Die Ausrüstung|Eine Ausrüstung|Die Ausrüstungen
ua|..., яке використовує цей мийник вікон, складається з запобіжного пояса, каски та скребка.|Спорядження|Спорядження|Спорядження
es|... que usa este limpiacristales consiste en un arnés, un casco y una rasqueta.|El equipo|Un equipo|Los equipos
fr|... qu'utilise ce laveur de vitres se compose d'un harnais, d'un casque et d'une raclette.|L'équipement|Un équipement|Les équipements
tr|Bu cam temizleyicinin kullandığı ... bir emniyet kemeri, bir baret ve bir silecekten oluşuyor.|ekipman|bir ekipman|ekipmanlar
hu|..., amelyet ez az ablaktisztító használ, egy hevederből, egy védősisakból és egy lehúzóból áll.|A felszerelés|Egy felszerelés|A felszerelések
MEDIA 4541 | meaning: disgustingly dirty
E 39243 | B1 type 33 Past Simple or Continuos | style chill | options 3 | SEL
en|He was rinsing the cloth when he ... more hair on the filthy mirror.|noticed|was noticing|has noticed
de|Er spülte gerade den Lappen aus, als er noch mehr Haare auf dem dreckigen Spiegel ...|bemerkte|bemerkte gerade|hat bemerkt
ua|Він полоскав ганчірку, коли ... ще більше волосся на брудному дзеркалі.|помітив|помічав|помітив
es|Él estaba enjuagando el trapo cuando ... más pelos en el espejo asqueroso.|vio|estaba viendo|ha visto
fr|Il rinçait le chiffon quand il ... encore des cheveux sur le miroir crasseux.|a remarqué|remarquait|a remarqué
tr|O bezi durularken pis aynada daha fazla saç ...|fark etti|fark ediyordu|fark etmiş
hu|Ő éppen öblítette a rongyot, amikor ... még több hajszálat a koszos tükrön.|észrevett|vett észre éppen|észrevett
E 39251 | B2 type 66 All Past Tenses | style flirt | options 3 | SEL
en|You ... that filthy mirror for ten minutes before it finally shone. Respect.|had been wiping|have been wiping|are wiping
de|Du ... diesen dreckigen Spiegel zehn Minuten lang geputzt, bevor er endlich glänzte. Respekt.|hattest|hast|putzt
ua|Ти ... те брудне дзеркало десять хвилин, поки воно нарешті не засяяло. Респект.|тер|тер|треш
es|Tú ... ese espejo asqueroso durante diez minutos antes de que por fin brillara. Respeto.|habías estado limpiando|has estado limpiando|estás limpiando
fr|Tu ... ce miroir crasseux pendant dix minutes avant qu'il brille enfin. Respect.|avais frotté|as frotté|frottes
tr|Sen o pis aynayı on dakika boyunca ..., sonunda parladı. Saygılar.|silmiştin|siliyorsun|siliyorsun
hu|Te tíz percig ... azt a koszos tükröt, mire végre csillogott. Respekt.|törölgetted|törölgeted|törölgeted
MEDIA 4542 | meaning: a statement of promises exchanged
E 36596 | B1 type 38 0 Conditional | style chill | options 3 | SEL
en|If both sides shake hands on an agreement, it ... them to keep their promises.|requires|required|would require
de|Wenn beide Seiten per Handschlag eine Vereinbarung treffen, ... sie sie, ihre Versprechen zu halten.|verpflichtet|verpflichtete|verpflichtete
ua|Якщо обидві сторони тиснуть руки на знак угоди, вона ... їх дотримуватися обіцянок.|зобов'язує|зобов'язувала|зобов'язувала б
es|Si ambas partes se dan la mano en un acuerdo, este les ... cumplir sus promesas.|exige|exigía|exigiría
fr|Si les deux parties se serrent la main sur un accord, celui-ci les ... à tenir leurs promesses.|oblige|obligeait|obligerait
tr|İki taraf bir anlaşma için el sıkışırsa, anlaşma onların sözlerini tutmasını ...|gerektirir|gerektirdi|gerektirirdi
hu|Ha mindkét fél kezet ráz egy megállapodásra, az ... őket, hogy betartsák az ígéreteiket.|kötelezi|kötelezte|kötelezné
MEDIA 4543 | meaning: a source of danger, a chance of loss
E 42377 | B1 type 47 Gerund vs Infinitive | style chill | options 3 | SEL
en|The climber accepts the risk of ... halfway down the cliff.|falling|to fall|fall
de|Der Kletterer nimmt das Risiko in Kauf, auf halber Höhe der Klippe ...|abzustürzen|abstürzend|abstürzen
ua|Скелелаз приймає ризик ... посеред скелі.|падіння|впасти|впасти
es|El escalador acepta el riesgo de ... a mitad del acantilado.|caerse|caerse|caer
fr|Le grimpeur accepte le risque de ... à mi-hauteur de la falaise.|tomber|tomber|tomber
tr|Tırmanıcı uçurumun ortasında ... riskini kabul ediyor.|düşme|düşmek|düş
hu|A mászó vállalja a ... kockázatát a szikla felénél.|zuhanás|zuhanni|zuhan
MEDIA 4546 | meaning: a room where you see a doctor or dentist
E 43830 | B1 type 48 Question tags | style chill | options 3 | SEL
en|The boy has been in the surgery for ten minutes, ...|hasn't he?|isn't he?|didn't he?
de|Der Junge ist seit zehn Minuten in der Praxis, ...|oder?|oder?|oder?
ua|Хлопець уже десять хвилин у кабінеті лікаря, ...|правда?|правда?|правда?
es|El chico lleva diez minutos en la consulta, ...|¿verdad?|¿verdad?|¿verdad?
fr|Le garçon est dans le cabinet depuis dix minutes, ...|n'est-ce pas ?|n'est-ce pas ?|n'est-ce pas ?
tr|Çocuk on dakikadır muayenehanede, ...|değil mi?|değil mi?|değil mi?
hu|A fiú már tíz perce bent van a rendelőben, ...|ugye?|ugye?|ugye?
MEDIA 4547 | meaning: a room with seats where people wait
E 44606 | B1 type 38 0 Conditional | style clueless | options 3 | SEL
en|If you sit in a waiting room, you ... because that is what the room is for.|wait|waited|will wait
de|Wenn du in einem Wartezimmer sitzt, ... du, weil das Zimmer genau dafür da ist.|wartest|hast gewartet|wirst warten
ua|Якщо ти сидиш у залі очікування, ти ..., бо саме для цього ця кімната.|чекаєш|чекав|чекатимеш
es|Si tú te sientas en una sala de espera, ..., porque para eso es la sala.|esperas|esperaste|esperarás
fr|Si tu t'assois dans une salle d'attente, tu ..., parce que c'est à ça que sert la salle.|attends|attendais|attendras
tr|Sen bir bekleme odasında oturursan ..., çünkü oda bunun için var.|beklersin|bekledin|bekleyeceksin
hu|Ha te egy váróteremben ülsz, akkor ..., mert arra való a terem.|vársz|vártál|várni fogsz
E 44613 | B2 type 60 Wish clauses | style chill | options 3 | SEL
en|The boy wishes the waiting room ... a TV instead of old magazines.|had|has|will have
de|Der Junge wünscht sich, das Wartezimmer ... einen Fernseher statt alter Zeitschriften.|hätte|hat|wird haben
ua|Хлопець хотів би, щоб у залі очікування ... телевізор замість старих журналів.|був|є|буде
es|El chico desearía que la sala de espera ... una tele en vez de revistas viejas.|tuviera|tiene|tendrá
fr|Le garçon aimerait que la salle d'attente ... une télé au lieu de vieux magazines.|ait|a|aura
tr|Çocuk, bekleme odasında eski dergiler yerine bir televizyon ... istiyor.|olmasını|var|olacak
hu|A fiú azt szeretné, ha a váróteremben ... tévé a régi magazinok helyett.|lenne|van|lesz
MEDIA 4549 | meaning: a substance burned to produce energy
E 39650 | B1 type 44 Relative clauses | style chill | options 3 | SEL
en|The black lumps ... fall off the shovel are fuel for a stove.|that|who|whose
de|Die schwarzen Brocken, ... von der Schaufel fallen, sind Brennstoff für einen Ofen.|die|die|deren
ua|Чорні грудки, ... падають із лопати, — це паливо для печі.|які|хто|чиї
es|Los trozos negros ... caen de la pala son combustible para una estufa.|que|quienes|cuyos
fr|Les morceaux noirs ... tombent de la pelle sont du combustible pour un poêle.|qui|qui|dont
tr|Kürekten düşen ... siyah parçalar bir soba için yakıt.|||
hu|A fekete darabok, ... leesnek a lapátról, egy kályha tüzelőjét adják.|amelyek|akik|amelyeknek a
MEDIA 4554 | meaning: the burning of a fire, giving heat and light
E 39332 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|The man ... the hot dogs when a wall of flame leapt off the grill.|was turning|turned|has turned
de|Der Mann ... gerade die Hotdogs um, als eine Flammenwand vom Grill hochschoss.|drehte|drehte|drehte
ua|Чоловік ... хот-доги, коли з гриля вирвалася стіна полум'я.|перевертав|перевернув|перевернув
es|El hombre ... los perritos calientes cuando un muro de llamas saltó de la parrilla.|estaba girando|giró|ha girado
fr|L'homme ... les hot-dogs quand un mur de flammes a jailli du gril.|retournait|a retourné|a retourné
tr|Izgaradan bir alev duvarı fışkırdığında adam sosisli sandviçleri ...|çeviriyordu|çevirdi|çevirmiş
