MEDIA 5029 | meaning: a motion of the hands or body to show a feeling
E 39783 | B2 type 58 Inversion basic | style chill | options 3 | SEL
ua|Бро, вона сказала, що ... мафіни, коли вони стануть золотистими, без жартів.|дістане|дістане|дістає
es|Bro, ella dijo que ... los muffins cuando se doraran, sin mentir.|sacaría|sacará|saca
fr|Frérot, elle a dit qu'elle ... les muffins quand ils seraient dorés, sans mentir.|sortirait|sortira|sort
tr|Kanka, o muffinleri altın rengine dönünce ... söyledi, yalan yok.|çıkaracağını|çıkaracağını|çıkardığını
hu|Tesó, ő azt mondta, hogy ... a muffinokat, amikor aranybarnák lesznek, komolyan.|kiveszi|ki fogja venni|kiveszi
E 42241 | B2 type 53 3. Conditional | style ironic | options 3 | SEL
en|Great plan: if he had removed the turkey an hour later, it ... charcoal.|would have turned into|will turn into|turned into
de|Toller Plan: Hätte er den Truthahn eine Stunde später rausgeholt, ... er zu Holzkohle geworden.|wäre|wird|wurde
ua|Чудовий план: якби він дістав індичку на годину пізніше, вона ... на вугілля.|перетворилася б|перетвориться|перетворилася
es|Gran plan: si él hubiera sacado el pavo una hora más tarde, ... en carbón.|se habría convertido|se convertirá|se convirtió
fr|Super plan : s'il avait sorti la dinde une heure plus tard, elle ... en charbon.|se serait transformée|se transformera|s'est transformée
tr|Harika plan: o hindiyi bir saat sonra çıkarsaydı, hindi kömüre ...|dönerdi|dönecek|döndü
hu|Remek terv: ha ő egy órával később vette volna ki a pulykát, ... szénné.|vált volna|válik|vált
MEDIA 5123 | meaning: to fill something too quickly and spill over
E 39431 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If he doesn't turn off the tap, the water ... the hallway too.|will flood|would flood|flooded
de|Wenn er den Wasserhahn nicht zudreht, ... das Wasser auch den Flur.|überflutet|würde überfluten|überflutete
ua|Якщо він не закрутить кран, вода ... і коридор.|затопить|затопила б|затопила
es|Si él no cierra el grifo, el agua ... también el pasillo.|inundará|inundaría|inundó
fr|S'il ne ferme pas le robinet, l'eau ... aussi le couloir.|inondera|inonderait|a inondé
tr|O musluğu kapatmazsa, su koridoru da ...|basacak|basardı|bastı
hu|Ha ő nem zárja el a csapot, a víz a folyosót is ...|elárasztja|elárasztaná|elárasztotta
E 39435 | B2 type 66 All Past Tenses | style slang | options 3 | SEL
en|Yo, the kitchen ... already when he ran in, and the bath was next, dude.|had flooded|has flooded|floods
de|Yo, die Küche ... schon überflutet, als er reinrannte, und die Badewanne war als Nächstes dran, Alter.|war|ist|überflutet
ua|Йо, кухню вже ..., коли він забіг, а ванна була наступною, чувак.|затопило|затопило|затоплює
es|Oye, la cocina ya ... cuando él entró corriendo, y la bañera era la siguiente, tío.|se había inundado|se ha inundado|se inunda
fr|Yo, la cuisine ... déjà inondée quand il est entré en courant, et la baignoire était la suivante, mec.|était|est|inonde
tr|Yo, o koşarak girdiğinde mutfağı çoktan su ..., sırada küvet vardı, kanka.|basmıştı|bastı|basıyor
hu|Figyu, a konyhát már ... a víz, amikor ő beszaladt, és a kád volt a következő, tesó.|elárasztotta|elárasztotta|elárasztja
MEDIA 5124 | meaning: a very long, hard effort you must finish
E 40848 | B1 type 46 Used to, Would | style slang | options 3 | SEL
en|Bro, he ... hate running, now he's doing a whole marathon, no cap.|used to|would|was used to
de|Bro, er ... Laufen gehasst, jetzt läuft er einen ganzen Marathon, ohne Witz.|hat früher|würde|war gewohnt
ua|Бро, він ... бігати, а тепер біжить цілий марафон, без жартів.|колись ненавидів|ненавидів би|звик ненавидіти
es|Bro, él ... odiar correr, ahora está corriendo un maratón entero, sin mentir.|solía|solía|estaba acostumbrado a
fr|Frérot, il ... la course, maintenant il fait un marathon entier, sans mentir.|détestait|détestait|avait l'habitude de détester
tr|Kanka, o eskiden koşmaktan ..., şimdi koca bir maraton koşuyor, yalan yok.|nefret ederdi|nefret ederdi|nefret etmeye alışkındı
hu|Tesó, ő ... utálta a futást, most egy egész maratont fut, komolyan.|régen|régen|megszokta, hogy
E 40850 | B2 type 62 Articles advanced | style business | options 3 | SEL
en|The city budget of 2 million euros covers ... held in the old town.|the marathon|a marathon|marathon
de|Das Stadtbudget von 2 Millionen Euro deckt ..., der in der Altstadt stattfindet.|den Marathon|einen Marathon|Marathon
ua|Міський бюджет у 2 мільйони євро покриває ..., що проходить у старому місті.|марафон|марафон|марафон
es|El presupuesto municipal de 2 millones de euros cubre ... celebrado en el casco antiguo.|el maratón|un maratón|maratón
fr|Le budget municipal de 2 millions d'euros couvre ... organisé dans la vieille ville.|le marathon|un marathon|marathon
tr|2 milyon avroluk şehir bütçesi, eski şehirde düzenlenen ... kapsıyor.|maratonu|bir maratonu|maratonu
hu|A 2 millió eurós városi költségvetés fedezi ..., amelyet az óvárosban tartanak.|a maratont|egy maratont|maratont
MEDIA 5132 | meaning: a substance of two or more things mixed together
E 41039 | B1 type 48 Question tags | style ironic | options 3 | SEL
en|That mixture is obviously far too thick, ...?|isn't it?|doesn't it?|wasn't it?
de|Diese Mischung ist natürlich viel zu dick, ...?|oder|nicht wahr|oder
ua|Ця суміш, звісно, занадто густа, ...?|так|правда|так
es|Esa mezcla está obviamente demasiado espesa, ¿...?|verdad|no|verdad
fr|Ce mélange est évidemment beaucoup trop épais, ... ?|non|hein|non
tr|O karışım tabii ki fazlasıyla koyu, ...?|değil mi|değil mi|değil mi
hu|Ez a keverék nyilván túl sűrű, ...?|ugye|nem|ugye
E 41048 | B2 type 62 Articles advanced | style ironic | options 3 | SEL
en|Great job: ... in the pan is exactly as thick as he wanted.|the mixture|a mixture|mixture
de|Tolle Arbeit: ... in der Pfanne ist genau so dick, wie er wollte.|Die Mischung|Eine Mischung|Mischung
ua|Чудова робота: ... на пательні саме така густа, як він хотів.|суміш|суміш|суміш
es|Buen trabajo: ... de la sartén está exactamente tan espesa como él quería.|la mezcla|una mezcla|mezcla
fr|Beau travail : ... dans la poêle est exactement aussi épais qu'il le voulait.|le mélange|un mélange|mélange
tr|Harika iş: tavadaki ... tam da onun istediği kadar koyu.|karışım|bir karışım|karışım
hu|Szép munka: ... a serpenyőben pontosan olyan sűrű, amilyet ő akart.|a keverék|egy keverék|keverék
MEDIA 5133 | meaning: to let out a sudden loud cry
E 42691 | B2 type 61 Relative clauses | style gossip | options 3 | SEL
en|Girl, apparently the woman in black, ... scream was the loudest, won the game.|whose|who|which
de|Girl, angeblich hat die Frau in Schwarz, ... Schrei am lautesten war, das Spiel gewonnen.|deren|die|welche
ua|Подруго, кажуть, жінка в чорному, ... крик був найгучнішим, виграла гру.|чий|яка|котрий
es|Tía, al parecer la mujer de negro, ... grito fue el más fuerte, ganó el juego.|cuyo|que|el cual
fr|Meuf, apparemment la femme en noir, ... le cri était le plus fort, a gagné le jeu.|dont|qui|lequel
tr|Kızım, anlaşılan ... çığlığı en yüksek olan siyahlı kadın oyunu kazandı.|||
hu|Csajszi, állítólag a feketébe öltözött nő, ... sikolya volt a leghangosabb, megnyerte a játékot.|akinek a|aki|amely
MEDIA 5135 | meaning: an area kept for one particular purpose
E 43281 | B1 type 35 Past Perfect Simple | style chill | options 3 | SEL
en|By the time she shut the door, the car ... into the space completely.|had settled|has settled|settles
de|Als sie die Tür schloss, ... sich das Auto schon komplett in die Parklücke eingefügt.|hatte|hat|fügt
ua|Коли вона зачинила двері, авто вже повністю ... на місце.|стало|стало|стає
es|Para cuando ella cerró la puerta, el coche ya ... completamente en el hueco.|se había colocado|se ha colocado|se coloca
fr|Quand elle a fermé la portière, la voiture ... complètement dans la place.|s'était installée|s'est installée|s'installe
tr|O kapıyı kapattığında, araba park yerine tamamen ...|yerleşmişti|yerleşti|yerleşiyor
hu|Mire ő becsukta az ajtót, az autó már teljesen ... a helyre.|beállt|beállt|beáll
E 43287 | B2 type 67 All Future Tenses | style slang | options 3 | SEL
en|Bro, by the time we get there, she ... the only space on the street, no cap.|will have taken|will take|takes
de|Bro, bis wir da sind, ... sie den einzigen Parkplatz in der Straße schon genommen haben, ohne Witz.|wird|wird|nimmt
ua|Бро, поки ми туди доберемося, вона вже ... єдине місце на вулиці, без жартів.|займе|займатиме|займає
es|Bro, para cuando lleguemos, ella ... el único sitio de la calle, sin mentir.|habrá pillado|pillará|pilla
fr|Frérot, le temps qu'on arrive, elle ... la seule place de la rue, sans mentir.|aura pris|prendra|prend
tr|Kanka, biz oraya varana kadar o sokaktaki tek yeri ..., yalan yok.|kapmış olacak|kapacak|kapıyor
  ~soft: no diacritics at all
hu|Tesó, mire odaérünk, ő ... az egyetlen helyet az utcában, komolyan.|elfoglalja|el fogja foglalni|elfoglalja
MEDIA 5137 | meaning: the assembly that makes a country's laws
E 41427 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|A man ... from the podium while the parliament listened.|was speaking|spoke|has spoken
de|Ein Mann ... vom Rednerpult aus, während das Parlament zuhörte.|sprach|sprach|hat gesprochen
ua|Чоловік ... з трибуни, поки парламент слухав.|виступав|виступив|виступив
es|Un hombre ... desde el atril mientras el parlamento escuchaba.|estaba hablando|habló|ha hablado
fr|Un homme ... depuis la tribune pendant que le parlement écoutait.|parlait|a parlé|a parlé
tr|Meclis dinlerken bir adam kürsüden ...|konuşuyordu|konuştu|konuştu
hu|Egy férfi ... a pulpitusról, miközben a parlament hallgatta.|beszélt|felszólalt|felszólalt
E 41437 | B2 type 67 All Future Tenses | style nerd | options 3 | SEL
en|Parliament ... the new law by the end of the session, as the vote indicates.|will have passed|will be passing|passes
de|Das Parlament ... das neue Gesetz bis Ende der Sitzung verabschiedet haben, wie die Abstimmung zeigt.|wird|wird|verabschiedet
ua|Парламент ... новий закон до кінця сесії, як свідчить голосування.|ухвалить|ухвалюватиме|ухвалює
es|El Parlamento ... la nueva ley antes del final de la sesión, como indica la votación.|habrá aprobado|estará aprobando|aprueba
fr|Le Parlement ... la nouvelle loi d'ici la fin de la session, comme l'indique le vote.|aura adopté|sera en train d'adopter|adopte
tr|Oylamanın gösterdiği gibi, meclis yeni yasayı oturumun sonuna kadar ...|kabul etmiş olacak|kabul ediyor olacak|kabul ediyor
hu|A parlament az ülés végére ... az új törvényt, ahogy a szavazás mutatja.|elfogadja|el fogja fogadni|elfogadja
MEDIA 5140 | meaning: to give someone permission to do something
E 36673 | B2 type 51 Future Perfect Simple | style slang | options 3 | SEL
en|Bro, by noon that officer ... like 200 people into the country, fr.|will have allowed|will allow|will be allowing
de|Bro, bis Mittag ... dieser Beamte so 200 Leute ins Land gelassen haben, echt.|wird|wird|wird gerade
ua|Бро, до полудня той офіцер ... десь 200 людей у країну, чесно.|пропустить|пропустить|пропускатиме
es|Bro, para el mediodía ese agente ... entrar a como 200 personas en el país, en serio.|habrá dejado|dejará|estará dejando
fr|Frérot, d'ici midi, cet agent ... genre 200 personnes à entrer dans le pays, sérieux.|aura autorisé|autorisera|sera en train d'autoriser
tr|Kanka, öğlene kadar o memur ülkeye 200 kadar kişiyi ..., cidden.|almış olacak|alacak|alıyor olacak
hu|Tesó, délre az a tiszt ... vagy 200 embert az országba, komolyan.|beenged|be fog engedni|be fog engedni
MEDIA 5142 | meaning: the region around where you live
E 41209 | B1 type 47 Gerund vs Infinitive | style chill | options 3 | SEL
en|Every house in the neighborhood agreed ... the street together.|to decorate|decorating|decorate
de|Jedes Haus im Viertel war einverstanden, die Straße gemeinsam zu ...|schmücken|schmücken|schmücken
ua|Кожен будинок у районі погодився ... вулицю разом.|прикрасити|прикрашання|прикрасити
es|Todas las casas del barrio acordaron ... la calle juntas.|decorar|decorando|decorar
fr|Toutes les maisons du quartier ont accepté de ... la rue ensemble.|décorer|décorant|décorer
tr|Mahalledeki her ev sokağı birlikte ... kabul etti.|süslemeyi|süsleme|süsle
hu|A környék minden háza beleegyezett, hogy együtt ... az utcát.|feldíszítik|díszítés|díszít
E 41211 | B2 type 66 All Past Tenses | style slang | options 3 | SEL
en|Dude, the neighborhood ... flags all morning before that hand-on-chest moment, bro.|had been hanging|has been hanging|hangs
de|Alter, das Viertel ... den ganzen Vormittag Flaggen aufgehängt, vor diesem Hand-aufs-Herz-Moment, Bro.|hatte|hat|hängt
ua|Чувак, район ... прапори весь ранок до того моменту з рукою на серці, бро.|вішав|вішає|вішає
es|Tío, el barrio ... banderas toda la mañana antes de ese momento de la mano en el pecho, bro.|había estado colgando|ha estado colgando|cuelga
fr|Mec, le quartier ... des drapeaux toute la matinée avant ce moment main sur le cœur, frérot.|avait accroché|a accroché|accroche
tr|Kanka, mahalle o elin kalpte olduğu andan önce bütün sabah bayrak ..., kardeşim.|asıyordu|asıyor|asar
hu|Tesó, a környék egész délelőtt ... a zászlókat a kéz-a-szíven pillanat előtt, haver.|aggatta|aggatja|aggatja
MEDIA 5144 | meaning: the white bird of peace, a kind of pigeon
E 38773 | B1 type 32 Present Perfect Continuous | style dramatic | options 3 | SEL
en|Those doves ... in baskets all morning! Absolutely desperate to fly!|have been sitting|are sitting|sit
de|Diese Tauben ... den ganzen Vormittag in Körben! Sie wollen unbedingt fliegen!|sitzen|sitzen|sitzen
ua|Ці голуби ... в кошиках увесь ранок! Відчайдушно хочуть летіти!|сидять|сидять|сидять
es|¡Esas palomas ... en cestas toda la mañana! ¡Desesperadas por volar!|llevan sentadas|están sentadas|se sientan
fr|Ces colombes ... dans des paniers toute la matinée ! Elles meurent d'envie de voler !|sont restées|sont|restent
tr|O güvercinler bütün sabah sepetlerde ...! Uçmak için can atıyorlar!|oturuyor|oturuyor|oturur
hu|Azok a galambok egész délelőtt ... a kosarakban! Teljesen kétségbeesetten akarnak repülni!|ülnek|ülnek|ülnek
E 38782 | B2 type 67 All Future Tenses | style nerd | options 3 | SEL
en|The released doves presumably ... to their loft by evening.|will have returned|will return|return
de|Die freigelassenen Tauben ... vermutlich bis zum Abend in ihren Schlag zurückgekehrt sein.|werden|werden|kehren
ua|Випущені голуби, імовірно, ... до своєї голуб'ятні до вечора.|повернуться|повертатимуться|повертаються
es|Las palomas liberadas probablemente ... a su palomar antes de la noche.|habrán vuelto|volverán|vuelven
fr|Les colombes relâchées ... probablement à leur pigeonnier d'ici ce soir.|seront revenues|reviendront|reviennent
tr|Salınan güvercinler muhtemelen akşama kadar kümeslerine ...|dönmüş olacak|dönecek|döner
hu|Az elengedett galambok valószínűleg estére ... a dúcukba.|visszatérnek|vissza fognak térni|visszatérnek
MEDIA 5146 | meaning: a long narrow piece of something
E 43670 | B1 type 37 Future Simple or Continuos | style gossip | options 3 | SEL
en|Girl, apparently she promised: "I ... the longest strip in the village."|will cut|will be cutting|am cutting
de|Girl, angeblich hat sie versprochen: „Ich ... den längsten Streifen im Dorf schneiden.“|werde|werde gerade|schneide
ua|Подруго, кажуть, вона пообіцяла: «Я ... найдовшу смужку в селі».|відріжу|різатиму|ріжу
es|Tía, al parecer ella prometió: «... la tira más larga del pueblo».|Cortaré|Estaré cortando|Estoy cortando
fr|Meuf, apparemment elle a promis : « Je ... la plus longue bande du village. »|couperai|serai en train de couper|coupe
tr|Kızım, anlaşılan o söz verdi: “Köydeki en uzun şeridi ben ...”|keseceğim|kesiyor olacağım|kesiyorum
hu|Csajszi, állítólag ő megígérte: „... a leghosszabb csíkot a faluban.”|Levágom|Vágni fogom|Vágom
E 43679 | B2 type 66 All Past Tenses | style dramatic | options 3 | SEL
en|She ... for ten whole minutes before she dared to look up from that strip! Unbelievable!|had been peeling|was peeling|has been peeling
de|Sie ... zehn ganze Minuten lang geschält, bevor sie es wagte, von diesem Streifen aufzublicken! Unglaublich!|hatte|war|hat
ua|Вона ... цілих десять хвилин, перш ніж наважилася підвести очі від тієї смужки! Неймовірно!|чистила|чистила|чистить
es|¡Ella ... durante diez minutos enteros antes de atreverse a levantar la vista de esa tira! ¡Increíble!|había estado pelando|estaba pelando|ha estado pelando
fr|Elle ... pendant dix bonnes minutes avant d'oser lever les yeux de cette bande ! Incroyable !|avait épluché|épluchait|a épluché
tr|O, o şeritten başını kaldırmaya cesaret etmeden önce tam on dakika ...! İnanılmaz!|soymuştu|soyuyordu|soyuyor
hu|Ő tíz teljes percig ..., mielőtt fel mert nézni arról a csíkról! Hihetetlen!|hámozott|hámozott|hámoz
MEDIA 5150 | meaning: directions a doctor writes down beforehand
E 41816 | B1 type 36 Future Continuous | style chill | options 3 | SEL
en|This time tomorrow he ... the medicine from this prescription.|will be taking|will take|takes
de|Morgen um diese Zeit ... er das Medikament von diesem Rezept nehmen.|wird|wird|nimmt
ua|Завтра в цей час він ... ліки за цим рецептом.|прийматиме|прийме|приймає
es|Mañana a esta hora él ... la medicina de esta receta.|estará tomando|tomará|toma
fr|Demain à cette heure-ci, il ... le médicament de cette ordonnance.|sera en train de prendre|prendra|prend
tr|Yarın bu saatte o bu reçetedeki ilacı ...|alıyor olacak|alacak|alıyor
hu|Holnap ilyenkor ő ... a gyógyszert erről a receptről.|szedni fogja|beveszi|szedi
MEDIA 5154 | meaning: a plant kept indoors in a pot as decoration
E 40135 | B1 type 48 Question tags | style clueless | options 3 | SEL
en|It is in a house, so it is a houseplant, ...?|isn't it?|doesn't it?|is it?
de|Sie steht in einem Haus, also ist sie eine Zimmerpflanze, ...?|oder|nicht wahr|ja
ua|Вона в будинку, отже, це кімнатна рослина, ...?|так|правда|так
es|Ella está en una casa, así que es una planta de interior, ¿...?|verdad|no|sí
fr|Elle est dans une maison, donc c'est une plante d'intérieur, ... ?|non|hein|oui
tr|O bir evde, yani ev bitkisi, ...?|değil mi|değil mi|öyle mi
hu|Ő egy házban van, szóval szobanövény, ...?|ugye|nem|igaz
E 40144 | B2 type 57 Modals in past | style slang | options 3 | SEL
en|Dude, he ... bought fewer houseplants, there's no space, bro.|should have|must have|would
de|Alter, er ... weniger Zimmerpflanzen kaufen sollen, es gibt keinen Platz, Bro.|hätte|muss|würde
ua|Чувак, він ... купити менше кімнатних рослин, тут немає місця, бро.|мав би|мабуть мусив|би
es|Tío, él ... comprado menos plantas de interior, no hay espacio, bro.|debería haber|debe de haber|habría
fr|Mec, il ... acheté moins de plantes d'intérieur, il n'y a pas de place, frérot.|aurait dû|a dû|aurait
tr|Kanka, o daha az ev bitkisi ..., yer yok, kardeşim.|almalıydı|almış olmalı|alırdı
hu|Tesó, ő ... kevesebb szobanövényt, nincs hely, haver.|inkább vett volna|biztos vett|venne
MEDIA 5156 | meaning: to go down and rest on your knees
E 40386 | B1 type 31 Past Continuous | style dramatic | options 3 | SEL
en|He ... on the grass, screaming, when his teammate crashed into him!|was kneeling|knelt|has knelt
de|Er ... schreiend auf dem Rasen, als sein Mitspieler in ihn krachte!|kniete|kniete sich hin|hat gekniet
ua|Він ... на траві, кричачи, коли в нього врізався товариш по команді!|стояв на колінах|став на коліна|став на коліна
es|¡Él ... en el césped, gritando, cuando su compañero chocó contra él!|estaba arrodillado|se arrodilló|se ha arrodillado
fr|Il ... sur la pelouse en hurlant quand son coéquipier lui est rentré dedans !|était à genoux|s'est agenouillé|s'est agenouillé
tr|Takım arkadaşı ona çarptığında o çimlerde bağırarak ...!|diz çökmüş duruyordu|diz çöktü|diz çöktü
hu|Ő ... a füvön, üvöltve, amikor a csapattársa nekirohant!|térdelt|letérdelt|letérdelt
E 40390 | B2 type 60 Wish clauses | style chill | options 3 | SEL
en|The defender wishes he ... the ball before the striker could kneel and celebrate.|had stopped|stopped|would stop
de|Der Verteidiger wünscht sich, er ... den Ball gestoppt, bevor der Stürmer knien und feiern konnte.|hätte|stoppte|würde
ua|Захисник хотів би, щоб ... м'яч, перш ніж нападник зміг стати на коліна й святкувати.|зупинив|зупинив|зупиняв
es|El defensa desearía que él ... el balón antes de que el delantero pudiera arrodillarse y celebrarlo.|hubiera parado|parara|pararía
fr|Le défenseur aimerait ... le ballon avant que l'attaquant puisse s'agenouiller et célébrer.|avoir arrêté|arrêter|arrêter
tr|Defans oyuncusu, forvet diz çöküp kutlama yapmadan önce topu ... diliyor.|durdurmuş olmayı|durdurmayı|durdurmayı
hu|A védő azt kívánja, bárcsak ... a labdát, mielőtt a csatár letérdelhetett és ünnepelhetett.|megállította volna|megállította|megállítaná
MEDIA 5157 | meaning: the nearby area around where you live
E 41223 | B1 type 45 Reported speech | style dramatic | options 3 | SEL
en|The big man shouted that the neighbourhood ... remember this match forever!|would|will|is
de|Der große Mann schrie, dass sich das Viertel für immer an dieses Spiel erinnern ...!|würde|wird|ist
ua|Великий чоловік вигукнув, що район ... цей матч назавжди!|пам'ятатиме|пам'ятатиме|є
es|¡El hombre grande gritó que el barrio ... este partido para siempre!|recordaría|recordará|es
fr|Le grand homme a crié que le quartier se ... de ce match pour toujours !|souviendrait|souviendra|est
tr|İri adam, mahallenin bu maçı sonsuza kadar ... bağırdı!|hatırlayacağını|hatırlayacağını|
hu|A nagydarab férfi azt kiabálta, hogy a környék örökre ... erre a meccsre!|emlékezni fog|emlékezni fog|
E 41224 | B2 type 62 Articles advanced | style dramatic | options 3 | SEL
en|Nobody in the neighbourhood went to ... early that night; the match was absolutely epic!|bed|the bed|a bed
de|Niemand im Viertel ging in dieser Nacht früh ...; das Spiel war absolut episch!|ins Bett|in das Bett|in ein Bett
ua|Ніхто в районі не ліг ... рано тієї ночі; матч був абсолютно епічний!|спати|у ліжко|у ліжко
es|Nadie del barrio se fue ... temprano esa noche; ¡el partido fue absolutamente épico!|a la cama|a la cama|a una cama
fr|Personne dans le quartier n'est allé ... tôt ce soir-là ; le match était absolument épique !|au lit|au lit|dans un lit
tr|O gece mahallede kimse erkenden ...; maç kesinlikle efsaneydi!|yatmadı|yatağa gitmedi|bir yatağa gitmedi
hu|Aznap este senki sem ment a környéken korán ...; a meccs abszolút epikus volt!|aludni|az ágyba|egy ágyba
MEDIA 5158 | meaning: to fasten two or more pieces together
E 38006 | B1 type 45 Reported speech | style flirt | options 3 | SEL
en|You said you ... every cable in ten minutes, and honestly, you did.|would connect|will connect|are connecting
de|Du hast gesagt, du ... jedes Kabel in zehn Minuten anschließen, und ehrlich, du hast es geschafft.|würdest|wirst|schließt
ua|Ти сказав, що ... кожен кабель за десять хвилин, і, чесно, ти це зробив.|підключиш|підключиш|підключаєш
es|Tú dijiste que ... todos los cables en diez minutos, y la verdad, lo hiciste.|conectarías|conectarás|estás conectando
fr|Tu as dit que tu ... chaque câble en dix minutes, et franchement, tu l'as fait.|brancherais|brancheras|branches
tr|Sen her kabloyu on dakikada ... söyledin ve açıkçası, yaptın da.|bağlayacağını|bağlayacağını|bağladığını
hu|Te azt mondtad, hogy tíz perc alatt ... minden kábelt, és őszintén, sikerült.|bekötöd|be fogod kötni|kötöd be
E 38009 | B2 type 65 All Present Tenses | style ironic | options 3 | SEL
en|Right now he ... cables behind the desk in a dark room. Flawless planning.|is connecting|connects|has connected
de|Gerade ... er Kabel hinter dem Schreibtisch in einem dunklen Zimmer an. Perfekte Planung.|schließt|schließt|hat
ua|Просто зараз він ... кабелі за столом у темній кімнаті. Бездоганне планування.|підключає|підключає|підключив
es|Ahora mismo él ... cables detrás del escritorio en una habitación a oscuras. Planificación impecable.|está conectando|conecta|ha conectado
fr|En ce moment, il ... des câbles derrière le bureau dans une pièce sombre. Organisation parfaite.|branche|branche|a branché
tr|Şu anda o karanlık bir odada masanın arkasında kablo ...; kusursuz planlama.|bağlıyor|bağlar|bağladı
hu|Épp most ő kábeleket ... az asztal mögött egy sötét szobában. Hibátlan tervezés.|köt be|köt be|kötött be
MEDIA 5159 | meaning: to make something wet
E 44739 | B2 type 67 All Future Tenses | style chill | options 3 | SEL
en|By the time the plumber closes the pipe, the water ... his whole shirt.|will have wet|will wet|wets
de|Bis der Klempner das Rohr schließt, ... das Wasser sein ganzes Hemd durchnässt haben.|wird|wird|durchnässt
ua|Поки сантехнік перекриє трубу, вода ... всю його сорочку.|намочить|намочить|мочить
es|Para cuando el fontanero cierre la tubería, el agua ... toda su camisa.|habrá mojado|mojará|moja
fr|Le temps que le plombier ferme le tuyau, l'eau ... toute sa chemise.|aura mouillé|mouillera|mouille
tr|Tesisatçı boruyu kapatana kadar su bütün gömleğini ...|ıslatmış olacak|ıslatacak|ıslatıyor
hu|Mire a vízvezeték-szerelő elzárja a csövet, a víz ... az egész ingét.|eláztatja|el fogja áztatni|áztatja
MEDIA 5160 | meaning: to run or move very quickly
E 38414 | B1 type 33 Past Simple or Continuos | style chill | options 3 | SEL
en|While the man ... across the wet square, a dozen pigeons flew up.|was dashing|dashed|has dashed
de|Während der Mann über den nassen Platz ..., flog ein Dutzend Tauben auf.|rannte|rannte|ist gerannt
ua|Поки чоловік ... мокрою площею, десяток голубів злетіли вгору.|мчав|промчав|промчав
es|Mientras el hombre ... por la plaza mojada, una docena de palomas echó a volar.|corría|corrió|ha corrido
fr|Pendant que l'homme ... la place mouillée, une douzaine de pigeons s'est envolée.|traversait en courant|a traversé en courant|a traversé en courant
tr|Adam ıslak meydanda ..., bir düzine güvercin havalandı.|koşarken|koştuğunda|koşmuşken
hu|Miközben a férfi ... a nedves téren, egy tucat galamb felrepült.|rohant át|átrohant|átrohant
MEDIA 5161 | meaning: a very large and important church
E 37646 | B1 type 49 So, Neither, Nor | style ironic | options 3 | SEL
en|He didn't stop to look at the cathedral, and ... the pigeons. Great sightseeing.|neither did|so did|neither were
de|Er blieb nicht stehen, um sich die Kathedrale anzusehen, und die Tauben ...; tolles Sightseeing.|auch nicht|auch|auch nicht
ua|Він не зупинився, щоб подивитися на собор, і голуби ...; чудова екскурсія.|так само ні|так само|так само ні
es|Él no se paró a mirar la catedral, y ... las palomas. Gran turismo.|tampoco|también|tampoco
fr|Il ne s'est pas arrêté pour regarder la cathédrale, et les pigeons ... ; super visite.|non plus|aussi|non plus
tr|O katedrale bakmak için durmadı, güvercinler de ...; harika gezi.|durmadı|durdu|durmadı
hu|Ő nem állt meg, hogy megnézze a katedrálist, és a galambok ...; remek városnézés.|sem|is|sem
E 37647 | B2 type 51 Future Perfect Simple | style ironic | options 3 | SEL
en|By dinner, he ... one cathedral, one lake and one plate of dumplings. Truly exhausting.|will have seen|will see|will be seeing
de|Bis zum Abendessen ... er eine Kathedrale, einen See und einen Teller Dumplings gesehen haben. Echt anstrengend.|wird|wird|wird gerade
ua|До вечері він ... один собор, одне озеро й одну тарілку дамплінгів. Справді виснажливо.|побачить|побачить|бачитиме
es|Para la cena, él ... una catedral, un lago y un plato de dumplings. Agotador de verdad.|habrá visto|verá|estará viendo
fr|D'ici le dîner, il ... une cathédrale, un lac et une assiette de dumplings. Vraiment épuisant.|aura vu|verra|sera en train de voir
tr|Akşam yemeğine kadar o bir katedral, bir göl ve bir tabak dumpling ...; gerçekten yorucu.|görmüş olacak|görecek|görüyor olacak
hu|Vacsorára ő ... egy katedrálist, egy tavat és egy tányér dumplingot. Tényleg kimerítő.|már látott|látni fog|látni fog
MEDIA 5163 | meaning: a leader who works in government
E 41696 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|The two politicians ... at each other when the huge gavel came down.|were shouting|have shouted|shout
de|Die beiden Politiker ... sich gerade an, als der riesige Hammer niedersauste.|schrien|haben|schreien
ua|Двоє політиків ... один на одного, коли впав величезний молоток.|кричали|накричали|кричать
es|Los dos políticos se ... cuando cayó el enorme mazo.|estaban gritando|han gritado|gritan
fr|Les deux politiciens se ... dessus quand l'énorme marteau est tombé.|criaient|sont crié|crient
tr|Kocaman tokmak indiğinde iki politikacı birbirine ...|bağırıyordu|bağırdı|bağırır
hu|A két politikus éppen ... egymásra, amikor lecsapott a hatalmas kalapács.|kiabált|kiabált|kiabál
MEDIA 5164 | meaning: a race between candidates for office
E 37536 | B1 type 32 Present Perfect Continuous | style flirt | options 3 | SEL
en|Honestly, you ... campaign posters since 6 a.m., and your energy is unreal.|have been pasting|are pasting|paste
de|Ehrlich, du ... seit 6 Uhr morgens Wahlplakate, und deine Energie ist unfassbar.|klebst|klebst|klebst
