MEDIA 5374 | meaning: not deep, lacking much depth
E 42823 | B1 type 31 Past Continuous | style dramatic | options 3 | SEL
de|Wenn es geregnet hätte, ... die Gäste nicht im Innenhof gegessen.|hätten|werden|hatten
ua|Якби пішов дощ, гості ... вечері у дворику.|не мали б|не матимуть|не мали
es|Si hubiera llovido, los invitados ... en el patio.|no habrían cenado|no cenarán|no cenaron
fr|S'il avait plu, les invités ... dans la cour.|n'auraient pas dîné|ne dîneront pas|n'ont pas dîné
tr|Yağmur yağsaydı misafirler avluda akşam yemeği ...|yemezlerdi|yemeyecek|yemedi
hu|Ha esett volna az eső, a vendégek ... az udvaron.|nem vacsoráztak volna|nem fognak vacsorázni|nem vacsoráztak
MEDIA 5438 | meaning: any material that fills a space or container
E 39222 | B1 type 31 Past Continuous | style gossip | options 3 | SEL
en|Ok so, apparently she ... the filling into the dough when the boy grabbed a spoon.|was folding|folded|has folded
de|Okay, also angeblich ... sie gerade die Füllung in den Teig, als der Junge einen Löffel schnappte.|wickelte|wickelte|wickelt
ua|Коротше, кажуть, вона ... начинку в тісто, коли хлопчик схопив ложку.|загортала|загорнула|загорнула
es|Vale, al parecer ella ... el relleno en la masa cuando el niño agarró una cuchara.|estaba envolviendo|envolvió|ha envuelto
fr|Bon, apparemment elle ... la garniture dans la pâte quand le garçon a attrapé une cuillère.|enfermait|a enfermé|a enfermé
tr|Tamam yani, anlaşılan oğlan kaşığı kaptığında o dolguyu hamura ...|sarıyordu|sardı|sarmış
hu|Szóval, állítólag ő éppen ... a tölteléket a tésztába, amikor a fiú elkapott egy kanalat.|hajtogatta|behajtotta|behajtotta
E 39231 | B2 type 63 Advanced linkers | style chill | options 3 | SEL
en|She presses every edge shut ... the filling leaks out in the pan.|in case|so that|owing to
de|Sie drückt jeden Rand fest zu, ... die Füllung in der Pfanne ausläuft.|falls|damit|wegen
ua|Вона щільно закриває кожен край, ... начинка витече на сковорідці.|на випадок, якщо|щоб|через
es|Ella cierra bien cada borde ... el relleno se salga en la sartén.|por si|para que|debido a
fr|Elle pince chaque bord ... la garniture coulerait dans la poêle.|au cas où|pour que|en raison de
tr|O, dolgu tavada dışarı sızar ... her kenarı sıkıca kapatıyor.|diye|ki|yüzünden
hu|Ő minden szélét szorosan összenyomja, ... a töltelék kifolyik a serpenyőben.|arra az esetre, ha|hogy|miatt
MEDIA 5440 | meaning: the son of your brother or sister
E 41240 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If the wind stays strong, his nephew's kite ... even higher.|will fly|would fly|flew
de|Wenn der Wind stark bleibt, ... der Drachen seines Neffen noch höher.|fliegt|flöge|flog
ua|Якщо вітер залишиться сильним, повітряний змій його племінника ... ще вище.|полетить|полетів би|полетів
es|Si el viento sigue fuerte, la cometa de su sobrino ... aún más alto.|volará|volaría|voló
fr|Si le vent reste fort, le cerf-volant de son neveu ... encore plus haut.|volera|volerait|a volé
tr|Rüzgâr güçlü kalırsa yeğeninin uçurtması daha da yükseğe ...|uçacak|uçardı|uçtu
hu|Ha a szél erős marad, az unokaöccse sárkánya még magasabbra ...|száll|szállna|szállt
MEDIA 5442 | meaning: the part of a garment that covers the arm
E 43108 | B2 type 59 Causative HAVE/GET | style chill | options 3 | SEL
en|He could get a friend ... the tight fleece sleeves off his arms.|to pull|pull|pulling
de|Er könnte einen Freund dazu bringen, ihm die engen Fleeceärmel von den Armen ...|zu ziehen|ziehen|ziehend
ua|Він міг би попросити друга ... тісні флісові рукави з його рук.|стягнути|стягнути|стягування
es|Él podría conseguir que un amigo le ... las mangas ajustadas del forro polar.|quitara|quite|quitando
fr|Il pourrait demander à un ami ... les manches serrées de sa polaire.|de lui retirer|lui retirer|lui retirant
tr|O, dar polar kollarını kollarından ... bir arkadaşını ikna edebilirdi.|çekmesi için|çeksin diye|çekerek
hu|Ő megkérhetne egy barátot, hogy ... le a szűk polárujjakat a karjáról.|húzza|húzza|húzva
MEDIA 5443 | meaning: a union of purposes among members of a group
E 43248 | B1 type 40 2. Conditional | style chill | options 3 | SEL
en|If the whole city showed this solidarity, the human chain ... for miles.|would stretch|will stretch|stretches
de|Wenn die ganze Stadt diese Solidarität zeigen würde, ... sich die Menschenkette kilometerweit.|erstreckte|erstreckt|erstreckt
ua|Якби все місто проявило таку солідарність, живий ланцюг ... на кілометри.|розтягнувся б|розтягнеться|тягнеться
es|Si toda la ciudad mostrara esta solidaridad, la cadena humana ... durante kilómetros.|se extendería|se extenderá|se extiende
fr|Si toute la ville montrait cette solidarité, la chaîne humaine ... sur des kilomètres.|s'étendrait|s'étendra|s'étend
tr|Bütün şehir bu dayanışmayı gösterse, insan zinciri kilometrelerce ...|uzanırdı|uzanacak|uzanıyor
hu|Ha az egész város ilyen szolidaritást mutatna, az élőlánc kilométereken át ...|nyúlna|fog nyúlni|nyúlik
MEDIA 5444 | meaning: to work together on a common project
E 38073 | B1 type 45 Reported speech | style gossip | options 3 | SEL
en|Girl, one guy told me they ... with total strangers the whole time.|had cooperated|have cooperated|cooperate
de|Mädel, ein Typ hat mir erzählt, dass sie die ganze Zeit mit völlig Fremden ...|zusammengearbeitet hatten|zusammengearbeitet haben|zusammenarbeiten
ua|Подруго, один хлопець сказав мені, що вони весь час ... з абсолютно незнайомими людьми.|співпрацювали|співпрацювали|співпрацюють
es|Amiga, un chico me dijo que ellos ... con completos desconocidos todo el tiempo.|habían cooperado|han cooperado|cooperan
fr|Meuf, un mec m'a dit qu'ils ... avec de parfaits inconnus tout le temps.|avaient coopéré|ont coopéré|coopèrent
tr|Kızım, bir çocuk bana onların baştan sona tamamen yabancılarla ... söyledi.|iş birliği yaptıklarını|iş birliği yaptıklarını|iş birliği yaptıklarını
hu|Csajszi, egy srác azt mondta, hogy ők végig teljesen idegenekkel ...|működtek együtt|működtek együtt|működnek együtt
MEDIA 5445 | meaning: having no beneficial use, not working usefully
E 44454 | B1 type 41 Passive | style chill | options 3 | SEL
en|The umbrella ... inside out by the wind, so now it is useless.|was blown|blew|is blowing
de|Der Schirm ... vom Wind auf links gedreht, also ist er jetzt nutzlos.|wurde|hat|wird
ua|Парасольку ... вітром навиворіт, тож тепер вона марна.|вивернуло|вивернула|вивертає
es|El paraguas ... del revés por el viento, así que ahora es inútil.|fue volteado|volteó|está volteando
fr|Le parapluie ... retourné par le vent, alors maintenant il est inutile.|a été|a|est
tr|Şemsiye rüzgârla ters ..., o yüzden artık işe yaramaz.|çevrildi|çevirdi|çeviriyor
hu|Az esernyőt a szél ..., így most használhatatlan.|kifordította|kifordította|fordítja ki
MEDIA 5446 | meaning: covered with thin fog, hard to see far
E 41034 | B1 type 46 Used to, Would | style dramatic | options 3 | SEL
en|Misty hills ... be her worst nightmare, but now she walks through them in the rain!|used to|would|were used to
de|Nebelige Hügel ... ihr schlimmster Albtraum, aber jetzt wandert sie im Regen durch sie hindurch!|waren früher|waren|waren gewohnt
ua|Туманні пагорби ... її найгіршим кошмаром, а тепер вона гуляє ними під дощем!|колись були|були б|звикли бути
es|¡Las colinas brumosas ... ser su peor pesadilla, pero ahora ella camina por ellas bajo la lluvia!|solían|solían|estaban acostumbradas a
fr|Autrefois, les collines brumeuses ... son pire cauchemar, mais maintenant elle les traverse sous la pluie !|étaient|étaient|avaient l'habitude d'être
tr|Sisli tepeler eskiden onun en büyük kâbusu ..., ama şimdi o yağmurda aralarında yürüyor!|olurdu|olurdu|olmaya alışkındı
hu|A ködös dombok régen a legrosszabb rémálmai ..., de most ő az esőben sétál köztük!|voltak|lettek volna|voltak megszokva
MEDIA 5448 | meaning: a large outdoor signboard
E 37173 | B1 type 35 Past Perfect Simple | style dramatic | options 3 | SEL
en|By the time he left the crossing, the billboards ... his mind forever!|had blown|have blown|blow
de|Als er die Kreuzung verließ, hatten ihn die Werbetafeln für immer ...!|umgehauen|umgehauen|umhauen
ua|Поки він пішов з перехрестя, білборди назавжди ... йому мізки!|винесли|винесли|виносять
es|¡Para cuando él dejó el cruce, las vallas publicitarias le ... la cabeza para siempre!|habían volado|han volado|vuelan
fr|Le temps qu'il quitte le carrefour, les panneaux publicitaires lui ... la tête pour toujours !|avaient retourné|ont retourné|retournent
tr|O kavşaktan ayrıldığında reklam panoları aklını sonsuza dek ...!|almıştı|aldı|alıyor
hu|Mire ő elhagyta a kereszteződést, az óriásplakátok örökre ... az agyát!|eldobták|eldobták|dobják el
E 37179 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|He ... the billboards in the city before he took the ferry.|had seen|has seen|sees
de|Er ... die Werbetafeln in der Stadt, bevor er die Fähre nahm.|sah|sah|sieht
ua|Він ... білборди в місті ще до того, як сів на пором.|бачив|бачив|бачить
es|Él ... las vallas publicitarias de la ciudad antes de tomar el ferri.|había visto|ha visto|ve
fr|Il ... les panneaux publicitaires en ville avant de prendre le ferry.|avait vu|a vu|voit
tr|O vapura binmeden önce şehirdeki reklam panolarını ...|görmüştü|gördü|görüyor
hu|Ő ... az óriásplakátokat a városban, mielőtt kompra szállt.|látta|látta|látja
MEDIA 5449 | meaning: the opening in a wall where a door is
E 38740 | B1 type 47 Gerund vs Infinitive | style chill | options 3 | SEL
en|She manages ... the heavy doors apart and stands in the doorway.|to pull|pulling|pull
de|Sie schafft es, die schweren Türen ..., und stellt sich in den Türrahmen.|aufzuziehen|aufziehend|aufziehen
ua|Вона примудряється ... важкі двері й стає в дверному прорізі.|розсунути|розсування|розсунути
es|Ella consigue ... las pesadas puertas y se queda en el umbral.|abrir|abriendo|abrir
fr|Elle parvient à ... les lourdes portes et se tient dans l'embrasure.|écarter|écartant|écarter
tr|O ağır kapıları ... başarıyor ve kapı aralığında duruyor.|açmayı|açarak|aç
hu|Neki sikerül ... a nehéz ajtókat, és ő megáll az ajtónyílásban.|széthúznia|széthúzva|széthúz
E 38743 | B2 type 50 Past Perfect Continuous | style ironic | options 3 | SEL
en|She ... with the locks for ages before she reached the doorway. A quick visit, obviously.|had been struggling|has been struggling|was struggling
de|Sie ... sich ewig mit den Schlössern ab, bevor sie den Eingang erreichte. Ein kurzer Besuch, logisch.|mühte|müht|mühte
ua|Вона ... із замками цілу вічність, перш ніж дісталася до входу. Швидкий візит, очевидно.|воювала|воює|воювала
es|Ella ... con las cerraduras una eternidad antes de llegar a la entrada. Una visita rápida, obviamente.|había estado peleándose|ha estado peleándose|estaba peleándose
fr|Elle ... avec les serrures pendant une éternité avant d'atteindre l'entrée. Une visite rapide, évidemment.|avait bataillé|a bataillé|bataillait
tr|O girişe varmadan önce kilitlerle uzun süre ...; hızlı bir ziyaret, tabii ki.|uğraşmıştı|uğraşıyor|uğraşıyordu
hu|Ő egy örökkévalóságig ... a zárakkal, mielőtt elérte a bejáratot. Gyors látogatás, nyilván.|küszködött|küszködik|küszködött
MEDIA 5450 | meaning: a thing invented for a particular purpose
E 38585 | B2 type 51 Future Perfect Simple | style dramatic | options 3 | SEL
en|By midnight, she ... every single device in the flat. Absolutely everything goes dark!|will have unplugged|will unplug|unplugs
de|Bis Mitternacht wird sie jedes einzelne Gerät in der Wohnung ...! Absolut alles wird dunkel!|ausgesteckt haben|ausstecken|aussteckt
ua|До півночі вона ... кожен пристрій у квартирі. Абсолютно все згасне!|відключить|відключатиме|відключає
es|Para medianoche, ella ... todos y cada uno de los aparatos del piso. ¡Absolutamente todo se apaga!|habrá desenchufado|desenchufará|desenchufa
fr|D'ici minuit, elle ... chaque appareil de l'appartement. Absolument tout s'éteint !|aura débranché|débranchera|débranche
tr|Gece yarısına kadar o evdeki her bir cihazın fişini ...! Kesinlikle her şey kararıyor!|çekmiş olacak|çekecek|çekiyor
hu|Éjfélre ő ... a lakás minden egyes készülékét. Abszolút minden elsötétül!|már kihúzta|ki fogja húzni|kihúzza
MEDIA 5451 | meaning: a substance pushed into the body under pressure
E 40224 | B1 type 49 So, Neither, Nor | style ironic | options 3 | SEL
en|A real hero: he didn't cry at the injection, and ... the other patients.|neither did|so did|neither were
de|Ein echter Held: Er hat bei der Spritze nicht geweint, und die anderen Patienten ...|auch nicht|auch|waren auch nicht
ua|Справжній герой: він не плакав під час уколу, і інші пацієнти ...|теж ні|теж|теж ні
es|Todo un héroe: él no lloró con la inyección, y ... los otros pacientes.|tampoco|también|tampoco
fr|Un vrai héros : il n'a pas pleuré pendant la piqûre, et les autres patients ...|non plus|aussi|non plus
tr|Gerçek bir kahraman: o iğnede ağlamadı, diğer hastalar ...|da ağlamadı|da ağladı|da değildi
hu|Igazi hős: ő nem sírt az injekciónál, és a többi beteg ...|sem|is|sem
E 40232 | B2 type 57 Modals in past | style flirt | options 3 | SEL
en|Honestly, you ... nervous at all; you smiled through the whole injection.|can't have been|mustn't have been|shouldn't have been
de|Ehrlich, du ... überhaupt nicht nervös gewesen sein; du hast die ganze Spritze über gelächelt.|kannst|darfst|solltest
ua|Чесно, ти ... нервувати взагалі; ти усміхався весь укол.|не міг|не мусив|не мав би
es|Sinceramente, tú ... nada nervioso; sonreíste durante toda la inyección.|no pudiste estar|no debiste estar|no deberías haber estado
fr|Franchement, tu ... nerveux du tout ; tu as souri pendant toute la piqûre.|n'as pas pu être|n'as pas dû être|n'aurais pas dû être
tr|Açıkçası sen hiç gergin ...; bütün iğne boyunca gülümsedin.|olmuş olamazsın|olmamış olmalısın|olmamalıydın
hu|Őszintén, te ... egyáltalán ideges; végig mosolyogtál az injekció alatt.|nem lehettél|nem kellett lenned|nem kellett volna lenned
MEDIA 5453 | meaning: a container you put flowers in
E 44474 | B1 type 32 Present Perfect Continuous | style nerd | options 3 | SEL
en|The subject ... flowers to the vase one by one for approximately five minutes.|has been adding|is adding|adds
de|Das Subjekt ... der Vase seit etwa fünf Minuten nacheinander Blumen hinzu.|fügt|fügt|fügt
ua|Суб'єкт ... квіти у вазу одну за одною приблизно п'ять хвилин.|додає|додає|додає
es|El sujeto ... flores al jarrón una a una durante aproximadamente cinco minutos.|ha estado añadiendo|está añadiendo|añade
fr|Le sujet ... des fleurs au vase une par une depuis environ cinq minutes.|ajoute|ajoute|ajoute
tr|Denek yaklaşık beş dakikadır vazoya çiçekleri tek tek ...|ekliyor|ekliyor|ekler
hu|Az alany körülbelül öt perce ... a virágokat a vázába egyenként.|teszi|teszi|teszi
E 44483 | B2 type 67 All Future Tenses | style business | options 3 | SEL
en|By the deadline, she ... 12 flowers in the vase.|will have arranged|will arrange|arranges
de|Bis zur Deadline wird sie 12 Blumen in der Vase ...|arrangiert haben|arrangieren|arrangiert
ua|До дедлайну вона ... 12 квітів у вазі.|розставить|розставлятиме|розставляє
es|Para la fecha límite, ella ... 12 flores en el jarrón.|habrá colocado|colocará|coloca
fr|D'ici la date limite, elle ... 12 fleurs dans le vase.|aura arrangé|arrangera|arrange
tr|Son teslim tarihine kadar o vazoya 12 çiçek ...|yerleştirmiş olacak|yerleştirecek|yerleştiriyor
hu|A határidőre ő ... 12 virágot a vázába.|már elrendezett|el fog rendezni|elrendez
MEDIA 5454 | meaning: a liquid used for printing or writing
E 40250 | B1 type 40 2. Conditional | style chill | options 3 | SEL
en|If the stamp had no ink, it ... any mark on the passport.|wouldn't leave|won't leave|doesn't leave
de|Wenn der Stempel keine Tinte hätte, ... er keinen Abdruck im Pass.|hinterließe|hinterlässt|hinterlässt
ua|Якби штамп не мав чорнила, він ... жодного сліду в паспорті.|не залишив би|не залишить|не залишає
es|Si no tuviera tinta, el sello ... ninguna marca en el pasaporte.|no dejaría|no dejará|no deja
fr|Si le tampon n'avait pas d'encre, il ... aucune marque sur le passeport.|ne laisserait|ne laissera|ne laisse
tr|Damganın mürekkebi olmasaydı, damga pasaportta hiç iz ...|bırakmazdı|bırakmayacak|bırakmıyor
hu|Ha nem lenne tinta benne, a pecsét ... semmilyen nyomot az útlevélen.|nem hagyna|nem fog hagyni|nem hagy
MEDIA 5455 | meaning: the official act of approving something
E 36781 | B1 type 35 Past Perfect Simple | style slang | options 3 | SEL
en|Bro, the crowd ... their 10 cards ready before the approval even came, fr.|had got|have got|get
de|Bro, die Menge ... ihre 10er-Karten schon bereit, bevor die Genehmigung überhaupt kam, echt.|hatte|hat|hat
ua|Бро, натовп ... свої картки з 10 напоготові ще до того, як взагалі прийшло схвалення, реально.|мав|має|має
es|Bro, la gente ... sus carteles de 10 listos antes de que llegara siquiera la aprobación, en serio.|tenía|tiene|tiene
fr|Frère, la foule ... ses cartons 10 prêts avant même que l'approbation arrive, sérieux.|avait|a|a
tr|Kanka, onay daha gelmeden kalabalık 10 kartlarını hazır ..., cidden.|etmişti|etti|ediyor
hu|Tesó, a tömeg már a jóváhagyás előtt ... a 10-es kártyáit, komolyan.|előkészítette|előkészítette|előkészíti
E 36786 | B2 type 66 All Past Tenses | style dramatic | options 3 | SEL
en|He ... for approval for months before this unbelievable moment!|had been waiting|has been waiting|is waiting
de|Monatelang ... er vor diesem unglaublichen Moment auf die Genehmigung!|wartete|wartet|wartet
ua|Він ... схвалення місяцями перед цією неймовірною миттю!|чекав|чекає|чекає
es|¡Él ... la aprobación durante meses antes de este momento increíble!|había estado esperando|ha estado esperando|está esperando
fr|Il ... l'approbation depuis des mois avant ce moment incroyable !|attendait|attend|attend
tr|O bu inanılmaz andan önce aylarca onayı ...!|beklemişti|bekliyor|bekliyor
hu|Ő hónapokig ... a jóváhagyásra e hihetetlen pillanat előtt!|várt|vár|vár
MEDIA 5458 | meaning: a substance your body needs in small amounts
E 44552 | B1 type 37 Future Simple or Continuos | style clueless | options 3 | SEL
en|She thinks she ... another vitamin tomorrow, because this one is already gone.|will take|will be taking|is taking
de|Sie denkt, dass sie morgen noch ein Vitamin ..., weil dieses schon weg ist.|nehmen wird|nehmen wird|nimmt
ua|Вона думає, що завтра ... ще один вітамін, бо цей уже зник.|вип'є|питиме|п'є
es|Ella cree que mañana ... otra vitamina, porque esta ya no está.|tomará|estará tomando|está tomando
fr|Elle pense qu'elle ... une autre vitamine demain, parce que celle-ci a déjà disparu.|prendra|sera en train de prendre|prend
tr|O yarın bir vitamin daha ... düşünüyor, çünkü bu çoktan bitti.|alacağını|alıyor olacağını|aldığını
hu|Ő azt hiszi, hogy holnap ... még egy vitamint, mert ez már elfogyott.|bevesz|be fog venni|bevesz
E 44559 | B2 type 53 3. Conditional | style ironic | options 3 | SEL
en|If she hadn't dropped the vitamin in, the water ... orange. What a loss, obviously.|wouldn't have turned|won't turn|didn't turn
de|Wenn sie das Vitamin nicht reingeworfen hätte, ... das Wasser nicht orange geworden. Was für ein Verlust, logisch.|wäre|wird|wurde
ua|Якби вона не кинула туди вітамін, вода ... помаранчевою. Яка втрата, очевидно.|не стала б|не стане|не стала
es|Si ella no hubiera echado la vitamina, el agua ... naranja. Qué pérdida, obviamente.|no se habría vuelto|no se volverá|no se volvió
fr|Si elle n'avait pas mis la vitamine, l'eau ... orange. Quelle perte, évidemment.|ne serait pas devenue|ne deviendra pas|n'est pas devenue
tr|O vitamini atmasaydı su turuncuya ...; ne kayıp ama, tabii ki.|dönmezdi|dönmeyecek|dönmedi
hu|Ha ő nem dobta volna bele a vitamint, a víz ... narancssárga. Micsoda veszteség, nyilván.|nem lett volna|nem lesz|nem lett
MEDIA 5459 | meaning: melted rock that flows out of a volcano
E 40493 | B1 type 41 Passive | style chill | options 3 | SEL
en|The cracked ground at the foot of the volcano ... by glowing lava.|is covered|covers|was covering
de|Der rissige Boden am Fuß des Vulkans ... von glühender Lava bedeckt.|ist|bedeckt|bedeckte
ua|Потріскана земля біля підніжжя вулкана ... розпеченою лавою.|вкрита|вкриває|вкривала
es|El suelo agrietado al pie del volcán ... de lava incandescente.|está cubierto|cubre|estaba cubriendo
fr|Le sol craquelé au pied du volcan ... de lave incandescente.|est couvert|couvre|couvrait
tr|Yanardağın eteğindeki çatlak zemin parlayan lavla ...|kaplanmış|kaplıyor|kaplıyordu
hu|A vulkán lábánál a repedezett talaj ... izzó lávával.|be van borítva|borít|borított
MEDIA 5460 | meaning: when your body cannot function normally
E 42983 | B1 type 32 Present Perfect Continuous | style dramatic | options 3 | SEL
en|This sickness ... every rider for an hour now! Total nightmare!|has been hitting|is hitting|hits
de|Diese Übelkeit ... jetzt schon seit einer Stunde jeden Fahrgast! Totaler Albtraum!|erwischt|erwischt|erwischt
ua|Ця нудота ... кожного пасажира вже годину! Повний кошмар!|накриває|накриває|накриває
es|¡Este mareo ... a cada pasajero desde hace una hora! ¡Una pesadilla total!|ha estado afectando|está afectando|afecta
fr|Ce malaise ... chaque passager depuis une heure maintenant ! Cauchemar total !|frappe|frappe|frappe
tr|Bu mide bulantısı bir saattir her yolcuyu ...! Tam bir kâbus!|tutuyor|tutuyor|tutar
hu|Ez a rosszullét már egy órája ... minden utast! Totális rémálom!|leteríti|leteríti|leteríti
E 42987 | B2 type 59 Causative HAVE/GET | style flirt | options 3 | SEL
en|You got your friend ... you water when the sickness hit. Smart move, honestly.|to bring|bring|bringing
de|Du hast deinen Freund dazu gebracht, dir Wasser ..., als die Übelkeit kam. Schlauer Move, ehrlich.|zu bringen|bringen|bringend
ua|Ти попросив друга ... тобі води, коли накрила нудота. Розумний хід, чесно.|принести|принести|приносячи
es|Tú conseguiste que tu amigo te ... agua cuando llegó el mareo. Buena jugada, sinceramente.|trajera|trajera|trayendo
fr|Tu as demandé à ton pote ... de l'eau quand le malaise a frappé. Bien joué, franchement.|de t'apporter|t'apporter|t'apportant
tr|Mide bulantısı bastırınca sen arkadaşına su ...; akıllıca hamle, açıkçası.|getirttin|getirttin|getirterek
hu|Te megkérted a barátodat, hogy ... neked vizet, amikor rád tört a rosszullét. Okos húzás, őszintén.|hozzon|hozzon|hozva
MEDIA 5461 | meaning: a document listing the choices you vote for
E 37048 | B1 type 44 Relative clauses | style ironic | options 3 | SEL
en|A clear box ... hides every ballot perfectly. Truly genius design.|that|who|where
de|Eine durchsichtige Box, ... jeden Stimmzettel perfekt versteckt. Wirklich geniales Design.|die|wer|wo
ua|Прозора скринька, ... ідеально ховає кожен бюлетень. Справді геніальний дизайн.|яка|хто|де
es|Una caja transparente ... esconde cada papeleta a la perfección. Un diseño realmente genial.|que|quien|donde
fr|Une boîte transparente ... cache parfaitement chaque bulletin. Un design vraiment génial.|qui|qui|où
tr|... her oy pusulasını kusursuzca gizleyen şeffaf bir kutu. Gerçekten dâhiyane bir tasarım.|||
hu|Egy átlátszó doboz, ... tökéletesen elrejt minden szavazólapot. Igazán zseniális dizájn.|amely|aki|ahol
E 37053 | B2 type 66 All Past Tenses | style dramatic | options 3 | SEL
en|They ... ballots for hours when the queue suddenly exploded into chaos!|had been posting|have been posting|posted
de|Stundenlang ... sie Stimmzettel in die Box, als die Schlange plötzlich im Chaos explodierte!|steckten|stecken|steckten
ua|Вони годинами ... бюлетені, коли черга раптом вибухнула хаосом!|вкидали|вкидають|вкинули
es|¡Ellos ... papeletas durante horas cuando la fila de repente estalló en caos!|habían estado metiendo|han estado metiendo|metieron
fr|Ils ... des bulletins depuis des heures quand la file a soudain explosé dans le chaos !|glissaient|glissent|ont glissé
tr|Kuyruk aniden kaosa dönüştüğünde onlar saatlerdir oy pusulası ...!|atıyorlardı|atıyorlar|attılar
hu|Ők órák óta ... a szavazólapokat, amikor a sor hirtelen káoszba robbant!|dobálták be|dobálják be|bedobták
MEDIA 5462 | meaning: a system where citizens elect their leaders
E 38478 | B1 type 36 Future Continuous | style gossip | options 3 | SEL
en|Girl, apparently this time next week they ... democracy with a huge party.|will be celebrating|will celebrate|celebrate
de|Mädel, angeblich ... sie nächste Woche um diese Zeit die Demokratie mit einer riesigen Party.|feiern|feiern|feiern
ua|Подруго, кажуть, наступного тижня в цей час вони ... демократію величезною вечіркою.|святкуватимуть|відсвяткують|святкують
es|Amiga, al parecer la semana que viene a esta hora ellos ... la democracia con una fiesta enorme.|estarán celebrando|celebrarán|celebran
fr|Meuf, apparemment la semaine prochaine à cette heure-ci, ils ... la démocratie avec une énorme fête.|seront en train de célébrer|célébreront|célèbrent
tr|Kızım, anlaşılan önümüzdeki hafta bu saatlerde onlar demokrasiyi dev bir partiyle ...|kutluyor olacaklar|kutlayacaklar|kutluyorlar
hu|Csajszi, állítólag jövő héten ilyenkor ők egy óriási bulival ... a demokráciát.|fogják ünnepelni|megünneplik|ünneplik
E 38484 | B2 type 53 3. Conditional | style chill | options 3 | SEL
en|If nobody had come to vote, democracy ... in this hall today.|wouldn't have worked|won't work|didn't work
de|Wenn niemand zum Wählen gekommen wäre, ... die Demokratie heute in diesem Saal nicht funktioniert.|hätte|wird|hat
ua|Якби ніхто не прийшов голосувати, демократія ... в цій залі сьогодні.|не спрацювала б|не спрацює|не спрацювала
es|Si nadie hubiera venido a votar, la democracia ... en esta sala hoy.|no habría funcionado|no funcionará|no funcionó
fr|Si personne n'était venu voter, la démocratie ... dans cette salle aujourd'hui.|n'aurait pas fonctionné|ne fonctionnera pas|n'a pas fonctionné
tr|Kimse oy vermeye gelmeseydi, demokrasi bugün bu salonda ...|işlemezdi|işlemeyecek|işlemedi
hu|Ha senki sem jött volna el szavazni, a demokrácia ma ... ebben a teremben.|nem működött volna|nem fog működni|nem működött
MEDIA 5463 | meaning: a daily written record of your experiences
E 40331 | B1 type 31 Past Continuous | style dramatic | options 3 | SEL
en|He ... in his journal when the cliffs appeared. Absolutely unbelievable!|was writing|wrote|has written
de|Er ... gerade in sein Tagebuch, als die Klippen auftauchten. Absolut unglaublich!|schrieb|schrieb|hat geschrieben
ua|Він ... у свій щоденник, коли з'явилися скелі. Абсолютно неймовірно!|писав|написав|написав
es|Él ... en su diario cuando aparecieron los acantilados. ¡Absolutamente increíble!|estaba escribiendo|escribió|ha escrito
fr|Il ... dans son carnet quand les falaises sont apparues. Absolument incroyable !|écrivait|a écrit|a écrit
tr|Uçurumlar göründüğünde o günlüğüne ...; kesinlikle inanılmaz!|yazıyordu|yazdı|yazdı
hu|Ő éppen ... a naplójába, amikor feltűntek a sziklák. Abszolút hihetetlen!|írt|írt|írt
E 40339 | B2 type 65 All Present Tenses | style ironic | options 3 | SEL
en|Clearly a boring view: right now he ... in his journal non-stop.|is writing|writes|has written
de|Eindeutig ein langweiliger Ausblick: Gerade ... er pausenlos in sein Tagebuch.|schreibt|schreibt|hat geschrieben
ua|Явно нудний краєвид: просто зараз він ... у щоденник без упину.|пише|пише|написав
es|Claramente una vista aburrida: ahora mismo él ... en su diario sin parar.|está escribiendo|escribe|ha escrito
fr|Clairement une vue ennuyeuse : en ce moment, il ... dans son carnet sans arrêt.|écrit|écrit|a écrit
tr|Belli ki sıkıcı bir manzara: şu anda o durmadan günlüğüne ...|yazıyor|yazar|yazdı
hu|Egyértelműen unalmas kilátás: ő épp most megállás nélkül ... a naplójába.|ír|ír|írt
MEDIA 5465 | meaning: the narrow middle of the body above the hips
E 44598 | B1 type 42 Passive or Active | style gossip | options 3 | SEL
en|Wait, I heard the tailor ... her waist in five seconds.|measured|was measured|measuring
de|Warte, ich hab gehört, der Schneider ... ihre Taille in fünf Sekunden.|maß|wurde gemessen|messend
ua|Стоп, я чула, що кравець ... її талію за п'ять секунд.|виміряв|був виміряний|вимірюючи
es|Espera, oí que el sastre le ... la cintura en cinco segundos.|midió|fue medido|midiendo
fr|Attends, j'ai entendu dire que le tailleur ... son tour de taille en cinq secondes.|a mesuré|a été mesuré|mesurant
tr|Dur, duydum ki terzi onun belini beş saniyede ...|ölçmüş|ölçülmüş|ölçerek
hu|Várj, azt hallottam, hogy a szabó öt másodperc alatt ... a derekát.|lemérte|le lett mérve|mérve
MEDIA 5466 | meaning: following the established rules, like formal dress
E 39556 | B1 type 42 Passive or Active | style chill | options 3 | SEL
en|The waiter ... in a formal uniform with a black bow tie.|is dressed|dresses|dressing
de|Der Kellner ... in einer formellen Uniform mit schwarzer Fliege.|ist gekleidet|kleidet sich|sich kleidend
