MEDIA 4817 | meaning: a long time with a shortage of rain
E 38824 | B2 type 64 Future in past | style chill | options 3 | SEL
hu|Teljes káosz! Az oktató sosem pihen, és ...|a tanítványai sem.|a tanítványai sem.|a tanítványai is.
E 40287 | B2 type 57 Modals in past | style chill | options 3 | SEL
en|One student kicked too late; he ... watched the instructor more closely.|should have|must have|can't have
de|Ein Schüler hat zu spät getreten; er ... die Trainerin genauer beobachten sollen.|hätte|muss|kann nicht
ua|Один учень ударив запізно; він ... уважніше стежити за інструкторкою.|мав|мусив|не міг
es|Un alumno dio la patada demasiado tarde; él ... observado a la instructora con más atención.|debería haber|debe de haber|no puede haber
fr|Un élève a donné son coup trop tard ; il ... regarder la prof plus attentivement.|aurait dû|a dû|n'a pas pu
tr|Bir öğrenci tekmeyi çok geç attı; o eğitmeni daha dikkatli ...|izlemeliydi|izlemiş olmalı|izlemiş olamaz
hu|Az egyik tanítvány túl későn rúgott; neki ... az oktatót.|jobban kellett volna figyelnie|biztosan jobban figyelte|nem figyelhette jobban
MEDIA 4913 | meaning: a band wrapped around the wrist
E 37336 | B1 type 45 Reported speech | style chill | options 3 | SEL
en|Her friend said that the bracelet ... too loose, so she adjusted it.|was|is|will be
de|Ihre Freundin sagte, das Armband ... zu locker, also stellte sie es enger.|war|ist|wird
ua|Її подруга сказала, що браслет ... занадто вільний, тож вона його поправила.|був|є|буде
es|Su amiga dijo que la pulsera ... demasiado floja, así que se la ajustó.|estaba|está|estará
fr|Son amie a dit que le bracelet ... trop lâche, alors elle l'a ajusté.|était|est|sera
tr|Arkadaşı bileziğin çok bol ... söyledi, o da onu ayarladı.|olduğunu|olduğunu|olacağını
hu|A barátnője azt mondta, hogy a karkötő túl laza ..., ezért megigazította.|volt||lesz
E 37340 | B2 type 65 All Present Tenses | style slang | options 3 | SEL
en|Bro, she ... the bracelet on her bestie's wrist right now, no cap.|is fastening|fastens|has fastened
de|Bro, sie ... gerade das Armband an das Handgelenk ihrer Bestie, kein Witz.|bindet|bindet|hat gebunden
ua|Бро, вона прямо зараз ... браслет на зап'ясті своєї найкращої подруги, без брехні.|застібає|застібає|застебнула
es|Bro, ella ... la pulsera en la muñeca de su mejor amiga ahora mismo, en serio.|está abrochando|abrocha|ha abrochado
fr|Frérot, elle ... le bracelet au poignet de sa meilleure pote en ce moment, sans mentir.|attache|attache|a attaché
tr|Kanka, o şu anda kankasının bileğine bilekliği ..., yemin ederim.|takıyor|takar|taktı
hu|Tesó, ő épp most ... a karkötőt a legjobb barátnője csuklójára, nem kamu.|csatolja|csatolja|csatolta
MEDIA 4918 | meaning: a flight of steps
E 43505 | B1 type 44 Relative clauses | style gossip | options 3 | SEL
en|Listen, apparently the guy ... carried her bags up the stairs was just jogging past.|who|which|whose
de|Hör mal, der Typ, ... ihre Taschen die Treppe hochgetragen hat, ist angeblich nur vorbeigejoggt.|der|das|dessen
ua|Слухай, кажуть, хлопець, ... заніс її сумки сходами, просто пробігав повз.|який|що|чий
es|Oye, al parecer el chico ... le subió las bolsas por las escaleras solo pasaba corriendo.|que|el cual|cuyo
fr|Écoute, apparemment le mec ... a monté ses sacs dans l'escalier passait juste en joggant.|qui|que|dont
tr|Dinle, güya çantalarını merdivenlerden ... çıkaran çocuk sadece koşarken oradan geçiyormuş.|||
hu|Figyelj, állítólag a srác, ... felvitte a szatyrait a lépcsőn, csak arra kocogott.|aki|ami|akinek a
MEDIA 4919 | meaning: being a member of a group
E 40930 | B1 type 32 Present Perfect Continuous | style nerd | options 3 | SEL
en|Approximately forty students ... for membership at the club fair since noon.|have been applying|are applying|apply
de|Ungefähr vierzig Studierende ... seit Mittag auf der Clubmesse eine Mitgliedschaft.|beantragen|beantragen|beantragen
ua|Приблизно сорок студентів ... на членство на клубному ярмарку від обіду.|подають заявки|подають заявки|подають заявки
es|Aproximadamente cuarenta estudiantes ... la membresía en la feria de clubes desde mediodía.|han estado solicitando|están solicitando|solicitan
fr|Environ quarante étudiants ... leur adhésion au salon des clubs depuis midi.|demandent|sont en train de demander|demandent
tr|Yaklaşık kırk öğrenci öğleden beri kulüp fuarında üyelik için ...|başvuruyor|başvuruyor|başvurur
hu|Körülbelül negyven hallgató dél óta ... tagságért a klubvásáron.|jelentkezik|jelentkezik|jelentkezik
E 40939 | B2 type 67 All Future Tenses | style chill | options 3 | SEL
en|By the end of the fair, the club ... thirty new membership forms.|will have received|will receive|receives
de|Bis zum Ende der Messe ... der Club dreißig neue Mitgliedsanträge bekommen haben.|wird|wird|bekommt
ua|До кінця ярмарку клуб ... тридцять нових заявок на членство.|отримає|отримає|отримує
es|Para el final de la feria, el club ... treinta nuevas solicitudes de membresía.|habrá recibido|recibirá|recibe
fr|D'ici la fin du salon, le club ... trente nouveaux formulaires d'adhésion.|aura reçu|recevra|reçoit
tr|Fuarın sonuna kadar kulüp otuz yeni üyelik formu ...|almış olacak|alacak|alıyor
hu|A vásár végére a klub ... harminc új tagsági űrlapot.|megkap|meg fog kapni|kap
MEDIA 4920 | meaning: a group of people living in one local area
E 37922 | B1 type 41 Passive | style nerd | options 3 | SEL
en|Initially, a seedling ... into the raised bed by three members of the community.|was pressed|is pressed|pressed
de|Zunächst ... ein Setzling von drei Mitgliedern der Gemeinschaft in das Hochbeet gedrückt.|wurde|wird|drückte
ua|Спочатку розсаду ... в підняту грядку трьома членами громади.|було вдавлено|вдавлюють|вдавила
es|Inicialmente, un plantón ... en el bancal elevado por tres miembros de la comunidad.|fue presionado|es presionado|presionó
fr|Au départ, un semis ... dans le bac surélevé par trois membres de la communauté.|a été enfoncé|est enfoncé|a enfoncé
tr|Başlangıçta bir fide topluluğun üç üyesi tarafından yükseltilmiş yatağa ...|bastırıldı|bastırılıyor|bastırdı
hu|Kezdetben egy palántát ... a magaságyásba a közösség három tagja.|nyomott bele|nyom bele|belenyomta
MEDIA 4921 | meaning: a rough path through wild or hilly country
E 44201 | B1 type 47 Gerund vs Infinitive | style dramatic | options 3 | SEL
en|This trail is a nightmare! I literally keep ... for air on every root!|gasping|to gasp|gasp
de|Dieser Trail ist ein Albtraum! Ich ... buchstäblich an jeder Wurzel ständig nach Luft!|schnappe|schnappe|schnappe
ua|Ця стежка — жах! Я буквально весь час ... повітря на кожному корені!|хапаю|хапаю|хапаю
es|¡Este sendero es una pesadilla! ¡Yo literalmente sigo ... en cada raíz!|jadeando|jadear|jadear
fr|Ce sentier est un cauchemar ! Je passe littéralement mon temps à ... mon souffle à chaque racine !|chercher|chercher|chercher
tr|Bu patika tam bir kâbus! Ben resmen her kökte soluk soluğa ... devam ediyorum!|kalmaya|kalmak|kal
hu|Ez az ösvény egy rémálom! Én szó szerint minden gyökérnél folyton ... levegő után!|kapkodok|kapkodni|kapkodj
E 44205 | B2 type 51 Future Perfect Simple | style flirt | options 3 | SEL
en|By the time I catch up, you ... the whole trail. Honestly impressive.|will have finished|will finish|have finished
de|Bis ich dich einhole, ... du den ganzen Trail schon geschafft haben. Ehrlich beeindruckend.|wirst|wirst|hast
ua|Поки я тебе наздожену, ти ... всю стежку. Чесно, вражає.|пройдеш|пройдеш|пройшов
es|Para cuando te alcance, tú ... todo el sendero. Sinceramente impresionante.|habrás terminado|terminarás|has terminado
fr|Le temps que je te rattrape, tu ... tout le sentier. Franchement impressionnant.|auras fini|finiras|as fini
tr|Ben sana yetişene kadar sen bütün patikayı ...; cidden etkileyici.|bitirmiş olacaksın|bitireceksin|bitirdin
hu|Mire utolérlek, te ... az egész ösvényt. Őszintén lenyűgöző.|végigjárod|végig fogod járni|végigjártad
MEDIA 4925 | meaning: to look after someone who needs care
E 37593 | B1 type 49 So, Neither, Nor | style chill | options 3 | SEL
en|The nurse cares for the patient, and ...|so do her colleagues.|so are her colleagues.|neither do her colleagues.
de|Die Pflegerin kümmert sich um den Patienten, und ...|ihre Kollegen auch.|ihre Kollegen auch.|ihre Kollegen auch nicht.
ua|Медсестра доглядає пацієнта, і ...|її колеги теж.|її колеги теж.|її колеги теж ні.
es|La enfermera cuida al paciente, y ...|sus compañeros también.|sus compañeros también.|sus compañeros tampoco.
fr|L'infirmière s'occupe du patient, et ...|ses collègues aussi.|ses collègues aussi.|ses collègues non plus.
tr|Hemşire hastaya bakıyor, ...|meslektaşları da öyle.|meslektaşları da öyle.|meslektaşları da bakmıyor.
hu|Az ápolónő gondozza a beteget, és ...|a kollégái is.|a kollégái is.|a kollégái sem.
E 37596 | B2 type 52 Future Perfect Continuous | style gossip | options 3 | SEL
en|Girl, apparently by Friday she ... for this patient for a whole month.|will have been caring|will care|will be caring
de|Girl, angeblich ... sie sich bis Freitag schon einen ganzen Monat um diesen Patienten gekümmert haben.|wird|wird|wird
ua|Подруго, кажуть, до п'ятниці вона ... цього пацієнта цілий місяць.|доглядатиме|доглядатиме|доглядатиме
es|Tía, al parecer para el viernes ella ... a este paciente durante un mes entero.|habrá estado cuidando|cuidará|estará cuidando
fr|Meuf, apparemment d'ici vendredi, elle ... ce patient depuis un mois entier.|aura soigné|soignera|sera en train de soigner
tr|Kızım, güya cumaya kadar o bu hastaya tam bir aydır ...|bakıyor olacak|bakacak|bakıyor olacak
hu|Csajszi, állítólag péntekre ő már egy teljes hónapja ... ezt a beteget.|ápolja|ápolni fogja|ápolni fogja
MEDIA 4928 | meaning: to put something broken back together
E 39319 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|While he ... the leaking pipe, the bucket caught the drips.|was fixing|fixed|has fixed
de|Während er das undichte Rohr ..., fing der Eimer die Tropfen auf.|reparierte|reparierte|hat repariert
ua|Поки він ... протікаючу трубу, відро збирало краплі.|лагодив|полагодив|полагодив
es|Mientras él ... la tubería que goteaba, el cubo recogía las gotas.|arreglaba|arregló|ha arreglado
fr|Pendant qu'il ... le tuyau qui fuyait, le seau récupérait les gouttes.|réparait|répara|a réparé
tr|O sızdıran boruyu ..., kova damlaları topluyordu.|tamir ederken|tamir etti|tamir etmiş
hu|Amíg ő ... a csöpögő csövet, a vödör felfogta a cseppeket.|javította|megjavította|megjavította
E 39323 | B2 type 60 Wish clauses | style gossip | options 3 | SEL
en|Bestie, he told me he wishes he ... that sink last week, not today.|had fixed|fixed|would fix
de|Bestie, er hat mir gesagt, er wünscht, er ... das Waschbecken schon letzte Woche repariert, nicht heute.|hätte|hat|würde
ua|Подруго, він сказав мені, що хотів би, щоб ... ту раковину ще минулого тижня, а не сьогодні.|полагодив|полагодив|полагодив
es|Amiga, él me dijo que ojalá ... ese fregadero la semana pasada, no hoy.|hubiera arreglado|arregló|arreglara
fr|Bestie, il m'a dit qu'il aurait aimé ... cet évier la semaine dernière, pas aujourd'hui.|avoir réparé|réparer|réparer
tr|Kanka, o bana keşke o lavaboyu bugün değil, geçen hafta ... dedi.|tamir etseydim|tamir ettim|tamir etsem
hu|Csajszi, ő azt mondta, bárcsak már múlt héten ... azt a mosdót, nem ma.|megjavította volna|megjavította|megjavítaná
MEDIA 4930 | meaning: something you get for doing worthy acts
E 42309 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|While the girl ... her list, the teacher got the gold star reward ready.|was writing|wrote|has written
de|Während das Mädchen seine Liste ..., legte die Lehrerin den goldenen Stern als Belohnung bereit.|schrieb|schrieb|hat geschrieben
ua|Поки дівчинка ... свій список, учителька приготувала золоту зірочку як нагороду.|писала|написала|написала
es|Mientras la chica ... su lista, la profesora preparó la estrella dorada de premio.|escribía|escribió|ha escrito
fr|Pendant que la fille ... sa liste, la prof a préparé l'étoile dorée en récompense.|écrivait|écrivit|a écrit
tr|Kız listesini ..., öğretmen ödül olarak altın yıldızı hazırladı.|yazarken|yazdı|yazmış
hu|Amíg a lány ... a listáját, a tanárnő előkészítette jutalomnak az aranycsillagot.|írta|megírta|megírta
E 42319 | B2 type 67 All Future Tenses | style chill | options 3 | SEL
en|By the end of the term, she ... a gold star reward on every page.|will have collected|will collect|collects
de|Bis zum Ende des Halbjahres ... sie auf jeder Seite einen goldenen Stern als Belohnung gesammelt haben.|wird|wird|sammelt
ua|До кінця семестру вона ... золоту зірочку-нагороду на кожній сторінці.|збере|збере|збирає
es|Para el final del trimestre, ella ... una estrella dorada de premio en cada página.|habrá conseguido|conseguirá|consigue
fr|D'ici la fin du trimestre, elle ... une étoile dorée en récompense sur chaque page.|aura récolté|récoltera|récolte
tr|Dönem sonuna kadar o her sayfada ödül olarak bir altın yıldız ...|toplamış olacak|toplayacak|topluyor
hu|A félév végére ő ... egy aranycsillag-jutalmat minden oldalon.|összegyűjt|össze fog gyűjteni|gyűjt
MEDIA 4931 | meaning: a drawing that explains how something works
E 38606 | B1 type 43 Modal verbs Probability | style chill | options 3 | SEL
en|The diagram has labelled arrows and a formula, so it ... be part of a science lesson.|must|can't|should
de|Das Diagramm hat beschriftete Pfeile und eine Formel, also ... es Teil einer Naturwissenschaftsstunde sein.|muss|kann nicht|sollte
ua|Діаграма має підписані стрілки й формулу, тож вона ... бути частиною уроку природничих наук.|має|не може|повинна
es|El diagrama tiene flechas etiquetadas y una fórmula, así que ... ser parte de una clase de ciencias.|debe de|no puede|debería
fr|Le schéma a des flèches légendées et une formule, donc il ... faire partie d'un cours de sciences.|doit|ne peut pas|devrait
tr|Diyagramda etiketli oklar ve bir formül var, yani bir fen dersinin parçası ...|olmalı|olamaz|olması gerekir
hu|Az ábrán feliratozott nyilak és egy képlet van, szóval ... egy természettudományos óra része.|biztosan|nem lehet|kellene, hogy legyen
E 38608 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|She points at ... with the labelled arrows, not at the formula.|the diagram|a diagram|diagram
de|Sie zeigt auf ... mit den beschrifteten Pfeilen, nicht auf die Formel.|das Diagramm|ein Diagramm|Diagramm
ua|Вона показує на ... з підписаними стрілками, а не на формулу.|діаграму|діаграму|діаграму
es|Ella señala ... con las flechas etiquetadas, no la fórmula.|el diagrama|un diagrama|diagrama
fr|Elle montre ... avec les flèches légendées, pas la formule.|le schéma|un schéma|schéma
tr|O, formülü değil, etiketli okların olduğu ... gösteriyor.|diyagramı|bir diyagramı|diyagramı
hu|Ő ... mutat a feliratozott nyilakkal, nem a képletre.|az ábrára|egy ábrára|ábrára
MEDIA 4932 | meaning: to turn a wheel to control where a car goes
E 43555 | B1 type 41 Passive | style ironic | options 3 | SEL
en|Yesterday the cab ... with one hand through rush hour. Clearly the safest ride in town.|was steered|is steered|steered
de|Gestern ... das Taxi mit einer Hand durch den Berufsverkehr gesteuert. Klar die sicherste Fahrt der Stadt.|wurde|wird|hat
ua|Учора таксі ... однією рукою крізь годину пік. Явно найбезпечніша поїздка в місті.|було кероване|керується|кермувало
es|Ayer el taxi ... con una sola mano en hora punta. Claramente el viaje más seguro de la ciudad.|fue conducido|es conducido|condujo
fr|Hier, le taxi ... d'une seule main en pleine heure de pointe. Clairement la course la plus sûre de la ville.|a été conduit|est conduit|a conduit
tr|Dün taksi yoğun saatte tek elle ...; belli ki şehrin en güvenli yolculuğu.|sürüldü|sürülüyor|sürdü
hu|Tegnap a taxit egy kézzel ... a csúcsforgalomban. Nyilván a város legbiztonságosabb fuvarja.|vezették|vezetik|vezette
MEDIA 4934 | meaning: a device you wear over your ears or eyes
E 39963 | B1 type 34 Present Perfect Simple or Continuos | style flirt | options 3 | SEL
en|Not gonna lie, you ... that headset on and off ten times today, and it still looks iconic.|have put|have been putting|are putting
de|Ehrlich gesagt, du ... das Headset heute zehnmal auf- und abgesetzt, und es sieht immer noch ikonisch aus.|hast|hast|setzt
ua|Не брешу, ти сьогодні десять разів ... цю гарнітуру, і вона все одно виглядає культово.|надягала й знімала|надягала й знімала|надягаєш і знімаєш
es|No te voy a mentir, tú ... ese casco diez veces hoy, y sigue viéndose icónico.|te has puesto y quitado|te has estado poniendo y quitando|te estás poniendo y quitando
fr|Je vais pas mentir, tu ... ce casque dix fois aujourd'hui, et il a toujours l'air iconique.|as mis et enlevé|as mis et enlevé|mets et enlèves
tr|Yalan yok, sen bugün o başlığı on kez ... ve hâlâ efsane görünüyor.|takıp çıkardın|takıp çıkarıyordun|takıp çıkarıyorsun
hu|Nem hazudok, te ma tízszer ... azt a headsetet, és még mindig ikonikusan néz ki.|vetted fel és le|vetted fel és le|veszed fel és le
MEDIA 4935 | meaning: a tool with a needle that shows direction
E 37933 | B1 type 46 Used to, Would | style chill | options 3 | SEL
en|As a child, she ... have a toy compass in her bedroom.|used to|would|was used to
de|Als Kind ... sie einen Spielzeugkompass in ihrem Zimmer.|hatte|hatte|war gewohnt zu haben
ua|У дитинстві вона ... іграшковий компас у своїй спальні.|мала|мала|звикла мати
es|De niña, ella ... una brújula de juguete en su habitación.|solía tener|tenía|estaba acostumbrada a tener
fr|Enfant, elle ... une boussole jouet dans sa chambre.|avait|avait|avait l'habitude d'avoir
tr|Çocukken onun yatak odasında oyuncak bir pusulası ...|vardı|vardı|olmaya alışkındı
hu|Gyerekkorában neki ... egy játékiránytűje a hálószobájában.|volt|volt|hozzá volt szokva, hogy legyen
E 37939 | B2 type 66 All Past Tenses | style ironic | options 3 | SEL
en|She ... the compass only once before she sailed out. Flawless planning.|had checked|has checked|was checking
de|Sie ... den Kompass nur einmal, bevor sie hinausfuhr. Makellose Planung.|prüfte|prüfte|prüfte
ua|Вона ... компас лише раз, перш ніж вийти в море. Бездоганне планування.|перевірила|перевірила|перевіряла
es|Ella ... la brújula solo una vez antes de zarpar. Planificación impecable.|había revisado|ha revisado|estaba revisando
fr|Elle ... la boussole une seule fois avant de prendre la mer. Planification impeccable.|avait vérifié|a vérifié|vérifiait
tr|O, denize açılmadan önce pusulayı yalnızca bir kez ...; kusursuz planlama.|kontrol etmişti|kontrol etti|kontrol ediyordu
hu|Ő csak egyszer ... az iránytűt, mielőtt kihajózott. Hibátlan tervezés.|nézte meg|nézte meg|nézegette
MEDIA 4940 | meaning: a person whose job is cutting and selling meat
E 37451 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|While the butcher ... the steak, the customer waited at the counter.|was weighing|weighed|has weighed
de|Während der Metzger das Steak ..., wartete der Kunde an der Theke.|wog|wog|hat gewogen
ua|Поки м'ясник ... стейк, покупець чекав біля прилавка.|зважував|зважив|зважив
es|Mientras el carnicero ... el filete, el cliente esperaba en el mostrador.|pesaba|pesó|ha pesado
fr|Pendant que le boucher ... le steak, le client attendait au comptoir.|pesait|pesa|a pesé
tr|Kasap bifteği ..., müşteri tezgâhta bekledi.|tartarken|tarttı|tartmış
hu|Amíg a hentes ... a steaket, a vevő a pultnál várt.|mérte|lemérte|lemérte
E 37461 | B2 type 67 All Future Tenses | style chill | options 3 | SEL
en|By noon, the butcher ... all the steaks in the glass counter.|will have sold|will sell|sells
de|Bis Mittag ... der Metzger alle Steaks in der Glastheke verkauft haben.|wird|wird|verkauft
ua|До полудня м'ясник ... всі стейки з вітрини.|продасть|продаватиме|продає
es|Para el mediodía, el carnicero ... todos los filetes del mostrador de cristal.|habrá vendido|venderá|vende
fr|D'ici midi, le boucher ... tous les steaks de la vitrine.|aura vendu|vendra|vend
tr|Öğlene kadar kasap cam tezgâhtaki bütün biftekleri ...|satmış olacak|satacak|satıyor
hu|Délre a hentes ... az összes steaket az üvegpultból.|eladja|el fogja adni|árulja
MEDIA 4942 | meaning: bags you carry your things in when traveling
E 40759 | B1 type 37 Future Simple or Continuos | style ironic | options 3 | SEL
en|He promises he ... less luggage next time. Clearly a man of very few things.|will pack|will be packing|is packing
de|Er verspricht: Nächstes Mal ... er weniger Gepäck ein. Klar, ein Mann mit sehr wenig Zeug.|packt|packt|packt
ua|Він обіцяє, що наступного разу ... менше багажу. Явно людина дуже небагатьох речей.|спакує|пакуватиме|пакує
es|Él promete que la próxima vez ... menos equipaje. Claramente un hombre de muy pocas cosas.|llevará|estará llevando|lleva
fr|Il promet qu'il ... moins de bagages la prochaine fois. Clairement un homme de très peu de choses.|emportera|sera en train d'emporter|emporte
tr|O, bir dahaki sefere daha az bagaj ... söz veriyor; belli ki çok az eşyası olan biri.|toplayacağına|topluyor olacağına|topladığına
hu|Ő megígéri, hogy legközelebb ... kevesebb csomagot. Nyilván nagyon kevés cuccal utazó ember.|csomagol|csomagolni fog|csomagol
E 40764 | B2 type 53 3. Conditional | style chill | options 3 | SEL
en|If he had packed more luggage, he ... a second bag.|would have needed|will need|needed
de|Hätte er mehr Gepäck eingepackt, ... er eine zweite Tasche gebraucht.|hätte|wird|brauchte
ua|Якби він спакував більше багажу, йому ... друга сумка.|знадобилася б|знадобиться|знадобилася
es|Si él hubiera metido más equipaje, ... una segunda bolsa.|habría necesitado|necesitará|necesitó
fr|S'il avait emporté plus de bagages, il ... d'un deuxième sac.|aurait eu besoin|aura besoin|a eu besoin
tr|O daha fazla bagaj toplasaydı, ikinci bir çantaya ...|ihtiyaç duyardı|ihtiyaç duyacak|ihtiyaç duydu
hu|Ha ő több csomagot pakolt volna, ... egy második táskára.|szüksége lett volna|szüksége lesz|szüksége volt
MEDIA 4943 | meaning: words or clapping that show approval
E 41791 | B1 type 32 Present Perfect Continuous | style slang | options 3 | SEL
en|Bro, the crew ... him with praise for like ten minutes, he's lowkey glowing, fr.|have been showering|are showering|shower
de|Bro, die Crew ... ihn seit so zehn Minuten mit Lob, er strahlt lowkey, echt jetzt.|überschüttet|überschüttet|überschüttet
ua|Бро, команда ... його похвалою вже хвилин десять, він аж світиться, реально.|засипає|засипає|засипає
es|Bro, el equipo lo ... de elogios desde hace como diez minutos, está brillando, en serio.|ha estado colmando|está colmando|colma
fr|Frère, l'équipe le ... de compliments depuis genre dix minutes, il rayonne grave, sérieux.|couvre|couvre|couvre
tr|Kanka, ekip onu on dakikadır övgüye ..., çocuk resmen parlıyor, cidden.|boğuyor|boğuyor|boğar
hu|Tesó, a stáb vagy tíz perce ... dicsérettel, lowkey ragyog, komolyan.|halmozza el|halmozza el|elhalmozza
E 41796 | B2 type 60 Wish clauses | style dramatic | options 3 | SEL
en|He wishes the crew ... their praise forever! Never again silence!|would continue|will continue|continues
de|Er wünscht sich, dass die Crew für immer mit dem Lob ...! Nie wieder Stille!|weitermachen würde|weitermachen wird|weitermacht
ua|Він хоче, щоб команда ... хвалити його вічно! Більше ніколи тиші!|продовжувала|продовжить|продовжує
es|¡Él desea que el equipo ... con sus elogios para siempre! ¡Nunca más silencio!|siguiera|seguirá|sigue
fr|Il voudrait que l'équipe ... ses compliments pour toujours ! Plus jamais de silence !|continue|continuera|continue
tr|O, ekibin övgülerine sonsuza dek ... istiyor! Bir daha asla sessizlik yok!|devam etmesini|devam edeceğini|devam ettiğini
hu|Ő azt szeretné, ha a stáb örökké ... a dicsérettel! Soha többé csend!|folytatná|folytatni fogja|folytatja
MEDIA 4944 | meaning: a long formal dress for special occasions
E 39857 | B1 type 45 Reported speech | style chill | options 3 | SEL
en|She said that the gown ... too long for the narrow corridor.|was|is being|has been
de|Sie sagte, das Kleid ... zu lang für den schmalen Gang.|war|ist|ist gewesen
ua|Вона сказала, що сукня ... задовга для вузького коридору.|була|є|була
es|Ella dijo que el vestido ... demasiado largo para el pasillo estrecho.|era|está siendo|ha sido
fr|Elle a dit que la robe ... trop longue pour le couloir étroit.|était|est|a été
tr|O, gece elbisesinin dar koridor için fazla uzun ... söyledi.|olduğunu|olduğunu|olduğunu
hu|Ő azt mondta, hogy az estélyi ... túl hosszú a szűk folyosóhoz.|volt||volt
E 39860 | B2 type 65 All Present Tenses | style gossip | options 3 | SEL
en|Girl, apparently she ... in that gold gown on stage right now.|is standing|stands|has stood
de|Girl, angeblich ... sie gerade in dem goldenen Kleid auf der Bühne.|steht|steht|hat gestanden
ua|Подруго, кажуть, вона прямо зараз ... у тій золотій сукні на сцені.|стоїть|стоїть|стояла
es|Tía, al parecer ella ... con ese vestido dorado en el escenario ahora mismo.|está|está|ha estado
fr|Meuf, apparemment elle ... dans cette robe dorée sur scène en ce moment.|se tient|se tient|s'est tenue
tr|Kızım, güya o şu anda o altın elbiseyle sahnede ...|duruyormuş|durur|durdu
hu|Csajszi, állítólag ő épp most ... abban az arany estélyiben a színpadon.|áll|áll|állt
MEDIA 4946 | meaning: hair tied back so it hangs like a tail
E 41701 | B1 type 33 Past Simple or Continuos | style flirt | options 3 | SEL
en|Honestly, your ponytail ... wildly when you suddenly stopped, iconic.|was swinging|swung|has swung
de|Ehrlich, dein Pferdeschwanz ... wild hin und her, als du plötzlich stehen geblieben bist, ikonisch.|schwang|schwang|ist geschwungen
ua|Чесно, твій хвіст дико ..., коли ти раптом зупинилася, культово.|гойдався|гойднувся|гойднувся
es|La verdad, tu coleta ... como loca cuando de repente te paraste, icónico.|se balanceaba|se balanceó|se ha balanceado
fr|Honnêtement, ta queue-de-cheval ... dans tous les sens quand tu t'es arrêtée d'un coup, iconique.|se balançait|se balança|s'est balancée
tr|Açıkçası, sen aniden durduğunda at kuyruğun deli gibi ..., efsane.|sallanıyordu|sallandı|sallanmış
hu|Őszintén, a lófarkad vadul ..., amikor hirtelen megálltál, ikonikus.|lengett|meglendült|meglendült
MEDIA 4947 | meaning: a likeness of a person in paint or a photo
E 41756 | B1 type 47 Gerund vs Infinitive | style chill | options 3 | SEL
en|She stepped back ... the portrait from a distance.|to look at|look at|looked at
de|Sie trat zurück, um das Porträt aus der Ferne ...|anzusehen|ansehen|sah an
ua|Вона відступила назад, ... портрет здалеку.|щоб подивитися на|подивитися на|подивилася на
es|Ella dio un paso atrás ... el retrato de lejos.|para mirar|mirar|miró
fr|Elle a reculé ... le portrait de loin.|pour regarder|regarder|regarda
tr|O, portreye uzaktan ... geri çekildi.|bakmak için|bakmak|baktı
hu|Ő hátrébb lépett, ... a portrét messziről.|hogy megnézze|megnézni|megnézte
E 41759 | B2 type 50 Past Perfect Continuous | style nerd | options 3 | SEL
en|The artist ... paint for approximately two hours before the portrait appeared.|had been applying|has been applying|was applying
de|Die Künstlerin ... etwa zwei Stunden lang Farbe auf, bevor das Porträt sichtbar wurde.|trug|trägt|trug
ua|Художниця ... фарбу приблизно дві години, перш ніж з'явився портрет.|наносила|наносить|наносила
es|La artista ... pintura durante aproximadamente dos horas antes de que apareciera el retrato.|había estado aplicando|ha estado aplicando|estaba aplicando
fr|L'artiste ... de la peinture pendant environ deux heures avant que le portrait apparaisse.|appliquait|applique|appliquait
tr|Sanatçı, portre ortaya çıkmadan önce yaklaşık iki saat boyunca boya ...|sürüyordu|sürüyor|sürüyordu
hu|A művész körülbelül két órán át ... a festéket, mielőtt megjelent a portré.|hordta fel|hordja fel|hordta fel
MEDIA 4948 | meaning: the outline of a city's buildings against the sky
E 43067 | B1 type 37 Future Simple or Continuos | style ironic | options 3 | SEL
en|She promises she ... at the skyline right after the powder. Obviously.|will look|will be looking|is looking
de|Sie verspricht: Gleich nach dem Puder ... sie auf die Skyline. Natürlich.|schaut|wird schauen|schaut gerade
ua|Вона обіцяє, що ... на панораму міста одразу після пудри. Звісно.|подивиться|дивитиметься|дивиться
es|Ella promete que ... el horizonte de la ciudad justo después de los polvos. Obviamente.|mirará|estará mirando|está mirando
fr|Elle promet qu'elle ... la skyline juste après la poudre. Évidemment.|regardera|sera en train de regarder|regarde
tr|O, pudradan hemen sonra şehir silüetine ... söz veriyor; tabii ki.|bakacağına|bakıyor olacağına|baktığına
hu|Ő megígéri, hogy rögtön a púder után ... a városképre. Nyilván.|ránéz|nézni fog|néz
E 43075 | B2 type 65 All Present Tenses | style flirt | options 3 | SEL
en|Right now you ... your make-up with the whole skyline behind you. Iconic.|are doing|do|have done
de|Gerade ... du dein Make-up mit der ganzen Skyline hinter dir. Ikonisch.|machst|machst|hast gemacht
ua|Просто зараз ти ... макіяж, а за тобою вся панорама міста. Культово.|робиш|робиш|зробила
es|Ahora mismo tú te ... el maquillaje con todo el horizonte de la ciudad detrás. Icónico.|estás haciendo|haces|has hecho
