MEDIA 4617 | meaning: to be engaged in a fight
E 39185 | B1 type 33 Past Simple or Continuos | style gossip | options 3 | SEL
es|Para cuando el robot por fin se movió, él ya ... unos diez comandos. Un servicio ligeramente lento.|había escrito|ha escrito|escribe
fr|Quand le robot a enfin bougé, il ... déjà une dizaine de commandes. Service légèrement lent.|avait tapé|a tapé|tape
tr|Robot sonunda hareket ettiğinde o yaklaşık on komut ...! Hafif yavaş bir hizmet.|yazmıştı|yazdı|yazıyor
hu|Mire a robot végre megmozdult, ő már ... vagy tíz parancsot. Enyhén lassú kiszolgálás.|begépelt|begépelt|gépel
E 42416 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|In this lab, ... on the green bench is a jointed arm with a gripper.|the robot|a robot|robot
de|In diesem Labor ist ... auf der grünen Werkbank ein Gelenkarm mit Greifer.|der Roboter|ein Roboter|Roboter
ua|У цій лабораторії ... на зеленому верстаті — це шарнірна рука з захватом.|робот|робот|робот
es|En este laboratorio, ... del banco verde es un brazo articulado con pinza.|el robot|un robot|robot
fr|Dans ce labo, ... sur l'établi vert est un bras articulé avec une pince.|le robot|un robot|robot
tr|Bu laboratuvarda yeşil tezgâhtaki ..., tutucusu olan eklemli bir kol.|robot|bir robot|robot
hu|Ebben a laborban ... a zöld munkapadon egy csuklós kar markolóval.|a robot|egy robot|robot
MEDIA 4702 | meaning: to run away from confinement
E 38977 | B1 type 32 Present Perfect Continuous | style slang | options 3 | SEL
en|Bro, this goat ... escape all week, no cap.|has been trying to|is trying to|tries to
de|Bro, diese Ziege ... schon die ganze Woche abzuhauen, kein Witz.|versucht|versucht|versucht
ua|Бро, ця коза ... втекти весь тиждень, без брехні.|намагається|намагається|намагається
es|Bro, esta cabra ... escaparse toda la semana, sin mentir.|lleva intentando|está intentando|intenta
fr|Frère, cette chèvre ... de s'échapper toute la semaine, sans mentir.|essaie|essaie|essaie
tr|Kanka, bu keçi bütün hafta kaçmaya ..., yalan yok.|çalışıyor|çalışıyor|çalışır
hu|Tesó, ez a kecske egész héten ... megszökni, nem kamu.|próbál|próbál|próbál
E 38983 | B2 type 60 Wish clauses | style chill | options 3 | SEL
en|The farmer wishes the goat ... through the gate.|hadn't escaped|didn't escape|wouldn't escape
de|Der Bauer wünscht sich, dass die Ziege nicht durch das Tor ...|abgehauen wäre|abhaute|abhauen würde
ua|Фермер хотів би, щоб коза не ... через ворота.|втекла|втікала|втекла б
es|El granjero desearía que la cabra no ... por la puerta.|se hubiera escapado|se escapara|se escaparía
fr|Le fermier aimerait que la chèvre ne ... pas par le portail.|se soit échappée|s'échappe|s'échapperait
tr|Çiftçi, keçinin kapıdan ... diliyor.|kaçmamış olmasını|kaçmamasını|kaçmayacağını
hu|A farmer azt szeretné, ha a kecske nem ... a kapun át.|szökött volna ki|szökne ki|szökne ki
MEDIA 4703 | meaning: to move something from lower to higher
E 42058 | B1 type 39 1. Conditional | style chill | options 3 | SEL
en|If he raises the flag any higher, it ... the top of the pole.|will reach|would reach|reached
de|Wenn er die Flagge noch höher zieht, ... sie die Spitze des Mastes.|erreicht|erreichte|erreichte
ua|Якщо він підніме прапор ще вище, той ... верхівки щогли.|досягне|досягнув би|досягнув
es|Si él sube la bandera más alto, esta ... la punta del mástil.|alcanzará|alcanzaría|alcanzó
fr|S'il monte le drapeau encore plus haut, il ... le haut du mât.|atteindra|atteindrait|atteignait
tr|O bayrağı biraz daha yükseltirse, bayrak direğin tepesine ...|ulaşacak|ulaşırdı|ulaştı
hu|Ha még feljebb húzza a zászlót, az ... a rúd tetejét.|eléri|elérné|elérte
E 42062 | B2 type 66 All Past Tenses | style ironic | options 3 | SEL
en|The drummers ... for ten minutes when he finally raised the flag, a very quiet ceremony.|had been playing|were playing|have been playing
de|Die Trommler ... schon zehn Minuten gespielt, als er endlich die Flagge hisste, eine sehr ruhige Zeremonie.|hatten|spielten|haben
ua|Барабанщики вже десять хвилин ..., коли він нарешті підняв прапор, дуже тиха церемонія.|грали|грали|грають
es|Los tamborileros ... diez minutos tocando cuando por fin izó la bandera, una ceremonia muy tranquila.|llevaban|estaban|llevan
fr|Les batteurs ... depuis dix minutes quand il a enfin hissé le drapeau, une cérémonie très calme.|jouaient|jouaient|jouent
tr|O sonunda bayrağı çektiğinde davulcular on dakikadır ..., çok sessiz bir tören.|çalıyordu|çalıyordu|çalıyor
hu|A dobosok már tíz perce ..., amikor ő végre felhúzta a zászlót, nagyon csendes ceremónia.|játszottak|játszottak|játszanak
MEDIA 4705 | meaning: a group of people who play music together
E 37064 | B1 type 47 Gerund vs Infinitive | style dramatic | options 3 | SEL
en|The band absolutely refuses ... their song, even with the whole square screaming!|to end|ending|end
de|Die Band weigert sich absolut, ihren Song zu ..., obwohl der ganze Platz schreit!|beenden|beenden|beenden
ua|Гурт категорично відмовляється ... свою пісню, навіть коли вся площа кричить!|закінчувати|закінчення|закінчувати
es|¡La banda se niega rotundamente a ... su canción, aunque toda la plaza está gritando!|terminar|terminando|terminar
fr|Le groupe refuse catégoriquement de ... sa chanson, même avec toute la place qui hurle !|finir|finir|finir
tr|Grup, bütün meydan çığlık atsa bile şarkısını ... kesinlikle reddediyor!|bitirmeyi|bitirmeyi|bitirmeyi
hu|A banda határozottan nem hajlandó ... a dalát, még akkor sem, ha az egész tér sikít!|befejezni|befejezni|befejezni
E 37065 | B2 type 62 Articles advanced | style dramatic | options 3 | SEL
en|The whole square screams for ... that this band plays!|the music|a music|music
de|Der ganze Platz schreit nach ..., die diese Band spielt!|der Musik|einer Musik|Musik
ua|Уся площа кричить, вимагаючи ..., яку грає цей гурт!|музики|музики|музики
es|¡Toda la plaza grita por ... que toca esta banda!|la música|una música|música
fr|Toute la place hurle pour ... que joue ce groupe !|la musique|une musique|musique
tr|Bütün meydan bu grubun çaldığı ... için çığlık atıyor!|müzik|bir müzik|müzik
hu|Az egész tér ... után sikít, amit ez a banda játszik!|a zene|egy zene|zene
MEDIA 4706 | meaning: to speak in a loud voice
E 42943 | B1 type 36 Future Continuous | style ironic | options 3 | SEL
en|At kick-off tomorrow, the whole stadium ... again. A quiet evening, obviously.|will be shouting|will shout|shouts
de|Beim Anpfiff morgen ... das ganze Stadion wieder. Ein ruhiger Abend, offensichtlich.|brüllt|brüllt|brüllt
ua|Завтра на початку матчу весь стадіон ... знову. Тихий вечір, очевидно.|кричатиме|закричить|кричить
es|Mañana en el saque inicial, todo el estadio ... otra vez. Una noche tranquila, obviamente.|estará gritando|gritará|grita
fr|Demain au coup d'envoi, tout le stade ... encore. Une soirée calme, évidemment.|sera en train de hurler|hurlera|hurle
tr|Yarın başlama vuruşunda bütün stadyum ... yine. Sakin bir akşam, belli ki.|bağırıyor olacak|bağıracak|bağırıyor
hu|Holnap a kezdőrúgásnál az egész stadion ... megint. Csendes este, nyilván.|kiabálni fog|felkiált|kiabál
E 42953 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Guess what, she told me the fans ... for an hour before the team even came out.|had been shouting|were shouting|have been shouting
de|Stell dir vor, sie hat mir erzählt, dass die Fans schon eine Stunde ..., bevor das Team überhaupt rauskam.|geschrien hatten|schrien|geschrien haben
ua|Уяви, вона сказала мені, що фанати ... годину, перш ніж команда взагалі вийшла.|кричали|кричали|кричать
es|Adivina, ella me dijo que los fans ... una hora antes de que el equipo saliera siquiera.|llevaban gritando|estaban gritando|llevan gritando
fr|Devine quoi, elle m'a dit que les fans ... depuis une heure avant même que l'équipe sorte.|criaient|criaient|crient
tr|Tahmin et, o bana taraftarların takım daha sahaya çıkmadan bir saattir ... söyledi.|bağırdığını|bağırdığını|bağırdığını
hu|Képzeld, ő azt mondta, hogy a szurkolók már egy órája ..., mielőtt a csapat egyáltalán kijött.|kiabáltak|kiabáltak|kiabálnak
MEDIA 4708 | meaning: to direct the course of someone's travel
E 39899 | B2 type 52 Future Perfect Continuous | style chill | options 3 | SEL
en|By noon, the man with the paddle ... tourists up this track for three hours.|will have been guiding|will be guiding|will guide
de|Am Mittag ... der Mann mit dem Paddel schon drei Stunden lang Touristen diesen Weg hinauf.|führt|führt|führt
ua|Опівдні чоловік із веслом уже три години ... туристів угору цією стежкою.|водитиме|водитиме|водитиме
es|Para el mediodía, el hombre del remo ... a turistas por este camino durante tres horas.|habrá estado guiando|estará guiando|guiará
fr|D'ici midi, l'homme à la pagaie ... des touristes sur ce chemin depuis trois heures.|guidera|guidera|guidera
tr|Öğlene kadar kürekli adam üç saattir turistlere bu yolda ...|rehberlik ediyor olacak|rehberlik ediyor olacak|rehberlik edecek
hu|Délre az evezős férfi már három órája ... fel a turistákat ezen az ösvényen.|vezeti|vezeti|vezeti
MEDIA 4713 | meaning: a farewell remark
E 39839 | B1 type 41 Passive | style chill | options 3 | SEL
en|The old man's goodbye ... by the whole village from the harbour wall.|was watched|watched|was watching
de|Der Abschied des alten Mannes ... vom ganzen Dorf von der Hafenmauer aus beobachtet.|wurde|hat|war
ua|За прощанням старого чоловіка ... все село з портового муру.|спостерігало|спостерігало|спостерігало
es|La despedida del anciano ... por todo el pueblo desde el muro del puerto.|fue observada|observó|estaba observando
fr|Les adieux du vieil homme ... par tout le village depuis le mur du port.|ont été regardés|ont regardé|regardaient
tr|Yaşlı adamın vedası liman duvarından bütün köy tarafından ...|izlendi|izledi|izliyordu
hu|Az öregember búcsúját az egész falu ... a kikötőfalról.|figyelte|figyelte|figyelte
E 39848 | B2 type 66 All Past Tenses | style gossip | options 3 | SEL
en|Listen, I heard they ... goodbye for an hour before the boat was out of sight.|had been waving|have been waving|were waving
de|Hör mal, ich habe gehört, dass sie eine Stunde lang zum Abschied ..., bevor das Boot außer Sicht war.|gewinkt hatten|gewinkt haben|winkten
ua|Слухай, я чула, що вони ... на прощання цілу годину, поки човен не зник з очей.|махали|махають|махали
es|Oye, yo oí que ellos ... una hora diciendo adiós con la mano antes de que el barco desapareciera.|llevaban|llevan|estaban
fr|Écoute, j'ai entendu qu'ils ... au revoir de la main depuis une heure quand le bateau a disparu.|faisaient|font|faisaient
tr|Dinle, ben duydum ki onlar tekne gözden kaybolana kadar bir saat boyunca el ...|sallamışlar|sallıyorlarmış|sallıyorlarmış
hu|Figyelj, én azt hallottam, hogy ők egy órán át ... búcsút, mielőtt a hajó eltűnt a szem elől.|intettek|integetnek|integettek
MEDIA 4721 | meaning: to become less clearly visible
E 39078 | B1 type 36 Future Continuous | style flirt | options 3 | SEL
en|Honestly, the rainbow may fade, but this time tomorrow you ... your video to everyone.|will be showing|will show|show
de|Ehrlich, der Regenbogen mag verblassen, aber morgen um diese Zeit ... du dein Video allen.|zeigst|zeigst|zeigst
ua|Чесно, веселка може зблякнути, але завтра в цей час ти ... своє відео всім.|показуватимеш|покажеш|показуєш
es|Sinceramente, el arcoíris puede desvanecerse, pero mañana a esta hora tú ... tu vídeo a todo el mundo.|estarás enseñando|enseñarás|enseñas
fr|Franchement, l'arc-en-ciel peut disparaître, mais demain à la même heure, tu ... ta vidéo à tout le monde.|seras en train de montrer|montreras|montres
tr|Açıkçası, gökkuşağı solabilir ama yarın bu saatte sen videonu herkese ...|gösteriyor olacaksın|göstereceksin|gösteriyorsun
hu|Őszintén, a szivárvány lehet, hogy elhalványul, de holnap ilyenkor te ... a videódat mindenkinek.|fogod mutogatni|megmutatod|mutatod
MEDIA 4735 | meaning: a blow with the fist
E 41937 | B1 type 37 Future Simple or Continuos | style clueless | options 3 | SEL
en|She ... a harder punch next time, because she will try harder.|will throw|will be throwing|is throwing
de|Sie ... nächstes Mal einen härteren Schlag, weil sie sich mehr anstrengen wird.|landet|landet gerade|landet
ua|Наступного разу вона ... сильніший удар, бо старатиметься більше.|завдасть|завдаватиме|завдає
es|La próxima vez, ella ... un golpe más fuerte, porque se esforzará más.|dará|estará dando|está dando
fr|La prochaine fois, elle ... un coup plus fort, parce qu'elle fera plus d'efforts.|donnera|sera en train de donner|donne
tr|Bir dahaki sefere o daha sert bir yumruk ..., çünkü daha çok çabalayacak.|atacak|atıyor olacak|atıyor
hu|Legközelebb ő erősebb ütést ..., mert jobban fog igyekezni.|fog mérni|épp mérni fog|mér
E 41942 | B2 type 56 Reported speech | style chill | options 3 | SEL
en|Her partner admitted ... her last punch coming too late.|having seen|to see|saw
de|Ihr Partner gab zu, ihren letzten Schlag zu spät kommen ...|gesehen zu haben|zu sehen|sah
ua|Її партнер зізнався, що ... її останній удар надто пізно.|побачив|бачити|побачив
es|Su compañero admitió ... su último golpe demasiado tarde.|haber visto venir|ver venir|vio venir
fr|Son partenaire a admis ... son dernier coup arriver trop tard.|avoir vu|voir|a vu
tr|Partneri onun son yumruğunun geldiğini çok geç ... itiraf etti.|gördüğünü|görmeyi|gördü
hu|A partnere beismerte, hogy túl későn ... jönni az utolsó ütését.|látta|látni|látta
MEDIA 4736 | meaning: the permanent military land forces of a nation
E 36818 | B1 type 43 Modal verbs Probability | style dramatic | options 3 | SEL
en|After a day in the army, she ... be absolutely exhausted from punching that shield!|must|can't|should
de|Nach einem Tag in der Armee ... sie völlig erschöpft sein vom Schlagen auf das Schild!|muss|kann nicht|sollte
ua|Після дня в армії вона ... бути абсолютно виснаженою від ударів по тому щиту!|має|не може|повинна
es|¡Después de un día en el ejército, ella ... estar agotadísima de golpear ese escudo!|debe de|no puede|debería
fr|Après une journée à l'armée, elle ... être complètement épuisée d'avoir frappé ce bouclier !|doit|ne peut pas|devrait
tr|Orduda geçen bir günün ardından o, o kalkana vurmaktan tamamen bitkin ...!|olmalı|olamaz|olmalı
hu|Egy hadseregben töltött nap után ő ... teljesen kimerültnek attól, hogy azt a pajzsot püfölte!|kell lennie|nem lehet|kellene lennie
E 36826 | B2 type 51 Future Perfect Simple | style chill | options 3 | SEL
en|By the end of the week, the army ... every soldier in close combat.|will have trained|will train|will be training
de|Bis Ende der Woche wird die Armee jeden Soldaten im Nahkampf ...|ausgebildet haben|ausbilden|gerade ausbilden
ua|До кінця тижня армія ... кожного солдата в ближньому бою.|натренує|натренує|тренуватиме
es|Para el final de la semana, el ejército ... a cada soldado en combate cuerpo a cuerpo.|habrá entrenado|entrenará|estará entrenando
fr|D'ici la fin de la semaine, l'armée ... chaque soldat au corps-à-corps.|aura entraîné|entraînera|sera en train d'entraîner
tr|Hafta sonuna kadar ordu her askeri yakın dövüşte ...|eğitmiş olacak|eğitecek|eğitiyor olacak
hu|A hét végére a hadsereg minden katonát ... közelharcban.|kiképez|ki fog képezni|képezni fog
MEDIA 4737 | meaning: a container with a handle and spout for liquids
E 40350 | B1 type 34 Present Perfect Simple or Continuos | style gossip | options 3 | SEL
en|Girl, I heard she ... two jugs of water already, and the party hasn't even started.|has poured|has been pouring|poured
de|Mädel, ich habe gehört, dass sie schon zwei Krüge Wasser ..., und die Party hat noch nicht mal angefangen.|ausgegossen hat|ausgießt|ausgoss
ua|Дівчино, я чула, що вона вже ... два глеки води, а вечірка ще навіть не почалася.|вилила|виливала|вилила
es|Tía, yo oí que ella ya ... dos jarras de agua, y la fiesta ni ha empezado.|ha echado|ha estado echando|echó
fr|Meuf, j'ai entendu qu'elle ... déjà deux pichets d'eau, et la fête n'a même pas commencé.|a versé|verse|a versé
tr|Kızım, ben duydum ki o şimdiden iki sürahi su ..., ve parti daha başlamadı bile.|dökmüş|döküyormuş|döktü
hu|Csajszi, én azt hallottam, hogy ő már két kancsó vizet ..., és a buli még el sem kezdődött.|kiöntött|öntöget|kiöntött
E 40355 | B2 type 62 Articles advanced | style chill | options 3 | SEL
en|She poured water from ... with the curved handle into the watering can.|the jug|a jug|jug
de|Sie goss Wasser aus ... mit dem gebogenen Henkel in die Gießkanne.|dem Krug|einem Krug|Krug
ua|Вона налила воду з ... з вигнутою ручкою в лійку.|глека|глека|глека
es|Ella echó agua de ... con el asa curva en la regadera.|la jarra|una jarra|jarra
fr|Elle a versé de l'eau ... à l'anse courbée dans l'arrosoir.|du pichet|d'un pichet|de pichet
tr|O, kavisli saplı ... suyu sulama kabına döktü.|sürahideki|bir sürahideki|sürahideki
hu|Ő ... vizet öntött a locsolókannába.|az ívelt fülű kancsóból|egy ívelt fülű kancsóból|ívelt fülű kancsóból
MEDIA 4740 | meaning: a cut or open injury on the skin
E 44871 | B2 type 58 Inversion basic | style chill | options 3 | SEL
en|Not until the wound is clean ... a plaster on it.|will he put|he will put|would he put
de|Erst wenn die Wunde sauber ist, ... er ein Pflaster darauf.|klebt|klebt|würde
ua|Лише коли рана буде чистою, він ... на неї пластир.|наклеїть|наклеїть|наклеїв би
es|Solo cuando la herida esté limpia, él le ... una tirita.|pondrá|pondrá|pondría
fr|Ce n'est que lorsque la plaie sera propre qu'il ... un pansement dessus.|mettra|mettra|mettrait
tr|Yara temizlenmeden o üzerine yara bandı ...|yapıştırmayacak|yapıştırmayacak|yapıştırmazdı
hu|Csak ha a seb már tiszta, akkor ... ő rá sebtapaszt.|tesz|tesz|tenne
MEDIA 4743 | meaning: a journey traveling by air in a plane
E 39400 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|He ... himself when the plane took off at the start of the flight.|was filming|filmed|has filmed
de|Er ... sich gerade, als das Flugzeug zu Beginn des Fluges abhob.|filmte|filmte|hat gefilmt
ua|Він ... себе, коли літак злетів на початку польоту.|знімав|зняв|зняв
es|Él se ... cuando el avión despegó al comienzo del vuelo.|estaba grabando|grabó|ha grabado
fr|Il ... quand l'avion a décollé au début du vol.|se filmait|s'est filmé|s'est filmé
tr|Uçuşun başında uçak havalandığında o kendini ...|çekiyordu|çekti|çekti
hu|Ő épp ... magát, amikor a repülő a repülőút elején felszállt.|videózta|levideózta|levideózta
E 39410 | B2 type 66 All Past Tenses | style chill | options 3 | SEL
en|The sun ... over the clouds when the crew brought him juice during the flight.|was setting|set|had set
de|Die Sonne ... gerade über den Wolken unter, als die Crew ihm während des Fluges Saft brachte.|ging|ging|war
ua|Сонце ... над хмарами, коли екіпаж приніс йому сік під час польоту.|сідало|сіло|сіло
es|El sol se ... sobre las nubes cuando la tripulación le trajo zumo durante el vuelo.|estaba poniendo|puso|había puesto
fr|Le soleil ... au-dessus des nuages quand l'équipage lui a apporté du jus pendant le vol.|se couchait|s'est couché|s'était couché
tr|Uçuş sırasında mürettebat ona meyve suyu getirdiğinde güneş bulutların üzerinde ...|batıyordu|battı|batmıştı
hu|A nap épp ... a felhők felett, amikor a személyzet gyümölcslevet hozott neki a repülés alatt.|ment le|lement|már lement
MEDIA 4745 | meaning: to move along smoothly like water in a river
E 39457 | B1 type 39 1. Conditional | style nerd | options 3 | SEL
en|If the water keeps flowing like this, the vessel ... the bridge in approximately a minute.|will reach|would reach|reached
de|Wenn das Wasser weiter so fließt, ... das Wasserfahrzeug die Brücke in etwa einer Minute.|erreicht|erreichte|erreichte
ua|Якщо вода й далі так тектиме, судно ... мосту приблизно за хвилину.|досягне|досягло б|досягло
es|Si el agua sigue fluyendo así, la embarcación ... el puente en aproximadamente un minuto.|alcanzará|alcanzaría|alcanzó
fr|Si l'eau continue de couler ainsi, l'embarcation ... le pont dans environ une minute.|atteindra|atteindrait|a atteint
tr|Su böyle akmaya devam ederse, tekne yaklaşık bir dakika içinde köprüye ...|ulaşacak|ulaşırdı|ulaştı
hu|Ha a víz így folyik tovább, a vízi jármű nagyjából egy perc múlva ... a hídhoz.|ér|érne|ért
MEDIA 4749 | meaning: a group of people arranged as one unit
E 39563 | B1 type 49 So, Neither, Nor | style chill | options 3 | SEL
en|One skydiver held hands in the formation, and ...|so did the next one.|so was the next one.|neither did the next one.
de|Ein Fallschirmspringer hielt in der Formation Händchen, und ...|der nächste auch.|der nächste auch.|der nächste auch nicht.
ua|Один парашутист тримався за руки у формації, і ...|наступний теж.|наступний теж.|наступний теж ні.
es|Un paracaidista se dio la mano en la formación, y ...|el siguiente también.|el siguiente también.|el siguiente tampoco.
fr|Un parachutiste tenait la main dans la formation, et ...|le suivant aussi.|le suivant aussi.|le suivant non plus.
tr|Bir paraşütçü formasyonda el ele tuttu, ve ...|bir sonraki de.|bir sonraki de.|bir sonraki de tutmadı.
hu|Az egyik ejtőernyős fogta a kezét a formációban, és ...|a következő is.|a következő is.|a következő sem.
E 39567 | B2 type 54 Mixed Conditional | style slang | options 3 | SEL
en|Dude, if I had trained with them, I ... in that formation right now, no cap.|would be falling|would have fallen|will fall
de|Alter, wenn ich mit ihnen trainiert hätte, ... ich jetzt gerade in dieser Formation, kein Witz.|fiele|wäre gefallen|werde fallen
ua|Чувак, якби я тренувався з ними, я ... зараз у тій формації, без брехні.|падав би|упав би|падатиму
es|Tío, si hubiera entrenado con ellos, yo ... en esa formación ahora mismo, sin mentir.|estaría cayendo|habría caído|caeré
fr|Mec, si je m'étais entraîné avec eux, je ... dans cette formation en ce moment, sans mentir.|serais en train de tomber|serais tombé|tomberai
tr|Kanka, onlarla antrenman yapsaydım, ben şu an o formasyonda ..., yalan yok.|düşüyor olurdum|düşmüş olurdum|düşeceğim
hu|Haver, ha velük edzettem volna, én most abban a formációban ..., nem kamu.|zuhannék|zuhantam volna|zuhanni fogok
MEDIA 4752 | meaning: an act that fails
E 39094 | B2 type 60 Wish clauses | style flirt | options 3 | SEL
en|Honestly, you must wish you ... the oven sooner, but one failure does not define you.|had opened|opened|would open
de|Ehrlich, du wünschst dir bestimmt, du ... den Ofen früher geöffnet, aber ein Fehlschlag definiert dich nicht.|hättest|hast|würdest
ua|Чесно, ти, мабуть, шкодуєш, що не ... духовку раніше, але одна невдача тебе не визначає.|відкрив|відкрив|відкрив би
es|Sinceramente, tú debes de desear ... el horno antes, pero un fracaso no te define.|haber abierto|abrir|abrirías
fr|Franchement, tu voudrais sûrement ... le four plus tôt, mais un échec ne te définit pas.|avoir ouvert|ouvrir|ouvrirais
tr|Açıkçası sen fırını daha önce ... dilemişsindir, ama tek bir başarısızlık seni tanımlamaz.|açmış olmayı|açmayı|açacağını
hu|Őszintén, te biztos azt kívánod, bárcsak korábban ... a sütőt, de egy kudarc nem határoz meg téged.|kinyitottad volna|kinyitottad|kinyitnád
MEDIA 4753 | meaning: to stop blaming someone and forgive them
E 39543 | B1 type 31 Past Continuous | style chill | options 3 | SEL
en|He ... with his arms folded when his friend asked to be forgiven.|was standing|stood|has stood
de|Er ... mit verschränkten Armen da, als sein Freund um Verzeihung bat.|stand|stand|hat gestanden
ua|Він ... зі схрещеними руками, коли друг попросив пробачення.|стояв|стояв|стояв
es|Él ... de brazos cruzados cuando su amigo le pidió perdón.|estaba|estuvo|ha estado
fr|Il ... les bras croisés quand son ami lui a demandé pardon.|se tenait|s'est tenu|s'est tenu
tr|Arkadaşı özür dilediğinde o kollarını kavuşturmuş ...|duruyordu|durdu|durdu
hu|Ő karba tett kézzel ..., amikor a barátja bocsánatot kért.|állt|állt|állt
E 39547 | B2 type 60 Wish clauses | style dramatic | options 3 | SEL
en|He wishes his friend ... him sooner instead of ruining the whole afternoon!|had forgiven|forgave|would forgive
de|Er wünscht sich, dass sein Freund ihm früher ..., statt den ganzen Nachmittag zu ruinieren!|verziehen hätte|verzieh|verzeihen würde
ua|Він хотів би, щоб друг ... йому раніше, а не зіпсував увесь день!|пробачив|пробачав|пробачив би
es|¡Él desearía que su amigo lo ... antes en lugar de arruinar toda la tarde!|hubiera perdonado|perdonara|perdonaría
fr|Il aimerait que son ami lui ... plus tôt au lieu de gâcher tout l'après-midi !|ait pardonné|pardonne|pardonnerait
tr|O, arkadaşının bütün öğleden sonrayı mahvetmek yerine onu daha önce ... diliyor!|affetmiş olmasını|affetmesini|affedeceğini
hu|Ő azt kívánja, bárcsak a barátja korábban ... neki, ahelyett hogy tönkretette az egész délutánt!|megbocsátott volna|megbocsátott|megbocsátana
MEDIA 4754 | meaning: to say words that show you disagree
E 41910 | B1 type 35 Past Perfect Simple | style dramatic | options 3 | SEL
en|By the time the referee raised the card, he ... his innocence twice! Total disaster!|had protested|has protested|protests
de|Als die Schiedsrichterin die Karte hob, ... er schon zweimal seine Unschuld beteuert! Totale Katastrophe!|hatte|hat|beteuert
ua|Поки суддя підняла картку, він уже двічі ... свою невинність! Повна катастрофа!|доводив|доводив|доводить
es|¡Para cuando la árbitra sacó la tarjeta, él ya ... su inocencia dos veces! ¡Desastre total!|había defendido|ha defendido|defiende
fr|Au moment où l'arbitre a levé le carton, il ... son innocence deux fois ! Désastre total !|avait déjà clamé|a déjà clamé|clame
tr|Hakem kartı kaldırdığında o masumiyetini iki kez ...! Tam bir felaket!|savunmuştu|savundu|savunuyor
hu|Mire a bírónő felemelte a lapot, ő már kétszer ... az ártatlanságát! Teljes katasztrófa!|bizonygatta|bizonygatta|bizonygatja
MEDIA 4755 | meaning: a break or crack in a bone
E 39587 | B1 type 38 0 Conditional | style dramatic | options 3 | SEL
en|If a bone has a fracture, even a tiny movement ... terrible pain!|causes|caused|will cause
de|Wenn ein Knochen einen Bruch hat, ... selbst eine winzige Bewegung schreckliche Schmerzen!|verursacht|verursachte|verursacht
ua|Якщо кістка має перелом, навіть найменший рух ... жахливий біль!|спричиняє|спричинив|спричинить
es|¡Si un hueso tiene una fractura, hasta un movimiento mínimo ... un dolor terrible!|causa|causó|causará
fr|Si un os est fracturé, même un tout petit mouvement ... une douleur terrible !|provoque|a provoqué|provoquera
tr|Bir kemikte kırık varsa, en ufak bir hareket bile korkunç bir acıya ...!|neden olur|neden oldu|neden olacak
hu|Ha egy csontban törés van, már egy apró mozdulat is szörnyű fájdalmat ...!|okoz|okozott|okozni fog
E 39592 | B2 type 51 Future Perfect Simple | style flirt | options 3 | SEL
en|By summer, you ... this fracture behind you, and honestly, respect.|will have put|will put|put
de|Bis zum Sommer ... du diesen Bruch hinter dir, und ehrlich, Respekt.|hast|hast|hast
ua|До літа ти ... цей перелом позаду, і чесно, респект.|залишиш|залишиш|залишаєш
es|Para el verano, tú ... esta fractura atrás, y sinceramente, respeto.|habrás dejado|dejarás|dejas
fr|D'ici l'été, tu ... cette fracture derrière toi, et franchement, respect.|auras laissé|laisseras|laisses
tr|Yaza kadar sen bu kırığı geride ..., ve açıkçası, saygı duyuyorum.|bırakmış olacaksın|bırakacaksın|bırakıyorsun
hu|Nyárra te már magad mögött ... ezt a törést, és őszintén, tisztelet.|hagyod|hagyod|hagyod
MEDIA 4759 | meaning: someone who bakes bread and cakes as a job
E 37007 | B1 type 34 Present Perfect Simple or Continuos | style slang | options 3 | SEL
en|Bro, this baker ... 200 croissants today and it ain't even noon.|has baked|has been baking|baked
de|Bro, dieser Bäcker hat heute schon 200 Croissants ..., und es ist noch nicht mal Mittag.|gebacken|gebacken|gebacken
ua|Бро, цей пекар сьогодні вже ... 200 круасанів, а ще навіть не обід.|спік|пече|спік
es|Bro, este panadero ... 200 cruasanes hoy y ni siquiera es mediodía.|ha horneado|ha estado horneando|horneó
fr|Frère, ce boulanger ... 200 croissants aujourd'hui et il est même pas midi.|a fait cuire|fait cuire|a fait cuire
tr|Kanka, bu fırıncı bugün 200 kruvasan ... ve daha öğlen bile olmadı.|pişirdi|pişiriyor|pişirdi
hu|Tesó, ez a pék ma már 200 croissant-t ..., és még dél sincs.|sütött|süt|sütött
E 37012 | B2 type 65 All Present Tenses | style ironic | options 3 | SEL
en|Right now the baker ... into a baguette like a phone. A real professional.|is talking|talks|has talked
de|Gerade ... der Bäcker in ein Baguette wie in ein Telefon. Ein echter Profi.|spricht|spricht|hat gesprochen
ua|Прямо зараз пекар ... в багет, як у телефон. Справжній професіонал.|говорить|говорить|говорив
es|Ahora mismo el panadero ... a una baguette como si fuera un teléfono. Un auténtico profesional.|está hablando|habla|ha hablado
fr|En ce moment, le boulanger ... dans une baguette comme dans un téléphone. Un vrai pro.|parle|parle|a parlé
tr|Şu anda fırıncı bir bagete telefonmuş gibi ...! Tam bir profesyonel.|konuşuyor|konuşur|konuştu
