MEDIA 5052 | meaning: having little physical weight, not heavy
E 33728 | A1 type 1 TO BE | style chill | options 3 | SEL
es|Amiga, al parecer ella ... grabar cómo el agua refleja el volcán.|va a|va a|van a
fr|Ma belle, apparemment elle ... filmer comment l'eau reflète le volcan.|va|va|vont
tr|Kankam, anlaşılan o suyun yanardağı nasıl yansıttığını ...|çekecek|çekecek|çekecekler
hu|Csajszi, állítólag ő ... lefilmezni, ahogy a víz tükrözi a vulkánt.|fogja|fogja|fogják
MEDIA 5202 | meaning: to set something down in a certain place
E 34589 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... does she put the apple? On the glass shelf.|Where|When|Who
de|... legt sie den Apfel? Auf das Glasregal.|Wohin|Wann|Wer
ua|... вона кладе яблуко? На скляну полицю.|Куди|Коли|Хто
es|¿... pone ella la manzana? En la balda de cristal.|Dónde|Cuándo|Quién
fr|... met-elle la pomme ? Sur l'étagère en verre.|Où|Quand|Qui
tr|O elmayı ... koyuyor? Cam rafa.|nereye|ne zaman|kim
hu|... teszi ő az almát? Az üvegpolcra.|Hová|Mikor|Ki
E 34596 | A2 type 18 Going to or Will | style chill | options 2 | SEL
en|She holds an apple at the open fridge. She ... it inside.|is going to put|will put|
de|Sie hält einen Apfel am offenen Kühlschrank. Sie ... ihn hineinlegen.|wird|wird|
ua|Вона тримає яблуко біля відчиненого холодильника. Вона ... його всередину.|збирається покласти|покладе|
es|Ella sostiene una manzana junto a la nevera abierta. La ... dentro.|va a meter|meterá|
fr|Elle tient une pomme devant le frigo ouvert. Elle ... dedans.|va la mettre|la mettra|
tr|O açık buzdolabının önünde bir elma tutuyor. Onu içeri ...|koyacak|koyacak|
hu|Ő egy almát tart a nyitott hűtőnél. Be ... tenni.|fogja|fogja|
MEDIA 5204 | meaning: to make better
E 33460 | A1 type 9 Wh- questions | style business | options 3 | SEL
en|... much budget do we need to improve the room? 800 euros.|How|What|Why
de|... viel Budget brauchen wir, um den Raum zu verbessern? 800 Euro.|Wie|Was|Warum
ua|... великий бюджет ми потребуємо, щоб покращити кімнату? 800 євро.|Наскільки|Що|Чому
es|¿... presupuesto necesitamos nosotros para mejorar la habitación? 800 euros.|Cuánto|Qué|Por qué
fr|... de budget nous faut-il pour améliorer la pièce ? 800 euros.|Combien|Que|Pourquoi
tr|Odayı iyileştirmek için biz ... bütçeye ihtiyaç duyuyoruz? 800 euro.|ne kadar|ne|neden
hu|... költségvetés kell nekünk a szoba feljavításához? 800 euró.|Mekkora|Mi|Miért
  ~soft: SEL: pronoun inside an option
E 33466 | A2 type 17 Future BE GOING TO | style slang | options 3 | SEL
en|Bro, they ... this whole wrecked room next week, no cap.|are going to improve|improve|going to improve
de|Digga, die ... nächste Woche diesen ganzen kaputten Raum verbessern, ohne Witz.|werden|verbessern|werden
ua|Бро, вони наступного тижня ... всю цю розвалену кімнату, без брехні.|збираються покращити|покращують|збираються покращити
es|Bro, ellos ... toda esta sala destrozada la semana que viene, en serio.|van a mejorar|mejoran|van a mejorar
fr|Frère, ils ... toute cette pièce détruite la semaine prochaine, sans mentir.|vont améliorer|améliorent|vont améliorer
tr|Kanka, onlar gelecek hafta bu harabe odanın tamamını ..., yalan yok.|iyileştirecek|iyileştirir|iyileştirecek
hu|Tesó, ők jövő héten ... ezt az egész lepukkant szobát, komolyan.|fel fogják javítani|feljavítják|fel fogják javítani
MEDIA 5212 | meaning: a place with special equipment for one purpose
E 35476 | A1 type 6 A, AN, THE | style slang | options 3 | SEL
en|Yo bro, this is ... huge station, not a small stop.|a|an|the
de|Yo, Digga, das ist ... riesiger Bahnhof, keine kleine Haltestelle.|ein|ein|der
ua|Йо, бро, це ... величезна станція, а не маленька зупинка.|||
es|Eh, bro, esto es ... estación enorme, no una parada pequeña.|una|una|la
fr|Yo frère, c'est ... gare énorme, pas un petit arrêt.|une|une|la
tr|Kanka, bu ... dev istasyon, küçük bir durak değil.|bir|bir|
hu|Tesó, ez ... hatalmas állomás, nem egy kis megálló.|egy|egy|a
E 35481 | A2 type 20 Much, Many, Some... | style gossip | options 3 | SEL
en|Ok so she told me there were so ... people at the station.|many|much|a lot
de|Also, sie hat mir erzählt, am Bahnhof waren so ... Leute.|viele|viel|eine Menge
ua|Коротше, вона сказала мені, що на станції було так ... людей.|багато|багато|багато
es|Vale, pues ella me dijo que había ... personas en la estación.|tantas|tanta|un montón de
fr|Bon, elle m'a dit qu'il y avait ... monde à la gare.|tellement de|tellement de|plein de
tr|Tamam, o bana istasyonda o kadar ... insan olduğunu söyledi.|çok|çok|çok
hu|Oké, szóval ő azt mondta, hogy olyan ... ember volt az állomáson.|sok|sok|rengeteg
MEDIA 5217 | meaning: clothing without sleeves worn over a shirt
E 36185 | A1 type 6 A, AN, THE | style slang | options 3 | SEL
en|Nah bro, it's not a jacket, it's ... vest.|a|an|the
de|Nee, Digga, das ist keine Jacke, das ist ... Weste.|eine|eine|die
ua|Не, бро, це не куртка, це ... жилетка.|||
es|Que no, bro, no es una chaqueta, es ... chaleco.|un|un|el
fr|Non frère, c'est pas une veste, c'est ... gilet.|un|un|le
tr|Yok kanka, bu ceket değil, bu ... yelek.|bir|bir|
hu|Dehogy, tesó, ez nem dzseki, ez ... mellény.|egy|egy|a
E 36188 | A2 type 19 Countable and uncountable | style clueless | options 3 | SEL
en|A vest has no sleeves, so it needs less ... than a jacket.|material|materials|a material
de|Eine Weste hat keine Ärmel, also braucht sie weniger ... als eine Jacke.|Stoff|Stoff|einen Stoff
ua|Жилетка не має рукавів, тож їй треба менше ..., ніж куртці.|матеріалу|матеріалів|матеріалу
es|Un chaleco no tiene mangas, así que necesita menos ... que una chaqueta.|material|material|un material
fr|Un gilet n'a pas de manches, donc il lui faut moins de ... qu'une veste.|tissu|tissu|un tissu
tr|Yeleğin kolu yok, bu yüzden ceketten daha az ... gerekir.|malzeme|malzemeler|bir malzeme
hu|A mellénynek nincs ujja, ezért kevesebb ... kell hozzá, mint egy dzsekihez.|anyag|anyag|egy anyag
MEDIA 5218 | meaning: a space inside a building with walls and a floor
E 34858 | A1 type 10 Prepositions of place/time | style dramatic | options 3 | SEL
en|Help! Something is ... this dark room!|in|on|at
de|Hilfe! Etwas ist ... diesem dunklen Raum!|in|auf|an
ua|Рятуйте! Щось є ... цій темній кімнаті!|у|на|біля
es|¡Socorro! ¡Hay algo ... esta habitación oscura!|en|sobre|a
fr|Au secours ! Il y a quelque chose ... cette pièce sombre !|dans|sur|à
tr|İmdat! Bu karanlık odanın ... bir şey var!|içinde|üstünde|
hu|Segítség! Valami van ebben a sötét ...!|szobában|szobán|szobánál
E 34865 | A2 type 26 Basic conjunctions | style chill | options 3 | SEL
en|The room is dark, ... she does not go in.|so|but|because
de|Der Raum ist dunkel, ... geht sie nicht hinein.|also|aber|weil
ua|Кімната темна, ... вона не заходить.|тому|але|бо
es|La habitación está oscura, ... ella no entra.|así que|pero|porque
fr|La pièce est sombre, ... elle n'entre pas.|donc|mais|parce que
tr|Oda karanlık, ... o içeri girmiyor.|bu yüzden|ama|çünkü
hu|A szoba sötét, ... ő nem megy be.|ezért|de|mert
MEDIA 5224 | meaning: belonging to a king or queen
E 34870 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... sits on the royal throne? The king.|Who|Where|What
de|... sitzt auf dem königlichen Thron? Der König.|Wer|Wo|Was
ua|... сидить на королівському троні? Король.|Хто|Де|Що
es|¿... se sienta en el trono real? El rey.|Quién|Dónde|Qué
fr|... est assis sur le trône royal ? Le roi.|Qui|Où|Que
tr|Kraliyet tahtında ... oturuyor? Kral.|kim|nerede|ne
hu|... ül a királyi trónon? A király.|Ki|Hol|Mi
  ~soft: SEL: pronoun inside an option
E 34871 | A2 type 12 Past Simple | style gossip | options 3 | SEL
en|Girl, I heard the royal servants ... him a whole tray of food.|brought|bringed|brings
de|Mädel, ich hab gehört, die königlichen Diener ... ihm ein ganzes Tablett voller Essen.|brachten|brachten|bringt
ua|Подруго, я чула, що королівські слуги ... йому цілу тацю їжі.|принесли|принесли|приносить
es|Tía, yo he oído que los sirvientes reales le ... una bandeja entera de comida.|trajeron|trajeron|trae
fr|Ma belle, j'ai entendu dire que les serviteurs royaux lui ... un plateau entier de nourriture.|ont apporté|ont apporté|apporte
tr|Kızım, ben duydum ki kraliyet hizmetkârları ona koca bir tepsi yemek ...|getirdi|getirdi|getirir
hu|Csajszi, én azt hallottam, hogy a királyi szolgák ... neki egy egész tálca ételt.|hoztak|hoztak|hoz
MEDIA 5225 | meaning: to bring something to an end
E 32734 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... does she finish the race? At the blue line.|Where|Who|What
de|... beendet sie das Rennen? An der blauen Linie.|Wo|Wer|Was
ua|... вона завершує забіг? Біля синьої лінії.|Де|Хто|Що
es|¿... termina ella la carrera? En la línea azul.|Dónde|Quién|Qué
fr|... termine-t-elle la course ? À la ligne bleue.|Où|Qui|Que
tr|O yarışı ... bitiriyor? Mavi çizgide.|nerede|kim|ne
hu|... fejezi be ő a versenyt? A kék vonalnál.|Hol|Ki|Mi
  ~soft: SEL: pronoun inside an option
E 32739 | A2 type 26 Basic conjunctions | style chill | options 3 | SEL
en|She is tired, ... she finishes the race.|but|so|because
de|Sie ist müde, ... sie beendet das Rennen.|aber|also|weil
ua|Вона втомлена, ... завершує забіг.|але|тому|бо
es|Ella está cansada, ... termina la carrera.|pero|así que|porque
fr|Elle est fatiguée, ... elle termine la course.|mais|donc|parce que
tr|O yorgun ... yarışı bitiriyor.|ama|bu yüzden|çünkü
hu|Ő fáradt, ... befejezi a versenyt.|de|ezért|mert
MEDIA 5228 | meaning: to fall as snow from the sky
E 35309 | A2 type 23 Must, Have to... | style chill | options 3 | SEL
en|It is snowing hard, so she ... walk through deep snow.|has to|must|should
de|Es schneit stark, also ... sie durch tiefen Schnee gehen.|muss|muss|sollte
ua|Сильно сніжить, тож вона ... йти глибоким снігом.|має|мусить|мала б
es|Está nevando mucho, así que ella ... caminar por la nieve profunda.|tiene que|debe|debería
fr|Il neige fort, donc elle ... marcher dans la neige profonde.|doit|doit|devrait
tr|Kar çok yağıyor, bu yüzden o derin karda ...|yürümek zorunda|yürümeli|yürümeli
hu|Erősen havazik, ezért neki mély hóban ... gyalogolnia.|kell|kell|kellene
MEDIA 5237 | meaning: a body of hot gases that shines in the sky
E 35455 | A1 type 7 This, That, These... | style chill | options 3 | SEL
en|Look at ... stars above the campfire.|those|that|this
de|Schau dir ... Sterne über dem Lagerfeuer an.|jene|jenen|diesen
ua|Подивись на ... зорі над вогнищем.|ті|ту|цю
es|Mira ... estrellas sobre la hoguera.|esas|esa|esta
fr|Regarde ... étoiles au-dessus du feu de camp.|ces|cette|cette
tr|Kamp ateşinin üstündeki ... yıldızlara bak.|şu|şu|bu
hu|Nézd ... csillagokat a tábortűz fölött.|azokat a|azt a|ezt a
E 35459 | A2 type 14 Present Continuous | style gossip | options 3 | SEL
en|Listen, he told me he ... tea under the stars right now.|is drinking|drinks|is drink
de|Hör zu, er hat mir gesagt, er ... gerade Tee unter den Sternen.|trinkt|trinkt|trinkt
ua|Слухай, він сказав мені, що саме зараз ... чай під зорями.|п'є|п'є|п'є
es|Oye, él me dijo que ahora mismo ... té bajo las estrellas.|está tomando|toma|está tomando
fr|Écoute, il m'a dit qu'il ... du thé sous les étoiles en ce moment.|est en train de boire|boit|est en train de boire
tr|Dinle, o bana dedi ki şu an yıldızların altında çay ...|içiyor|içer|içiyor
hu|Figyelj, ő azt mondta, hogy épp most teát ... a csillagok alatt.|iszik|iszik|iszik
MEDIA 5248 | meaning: a payment you make to use something
E 34727 | A2 type 21 There is, are | style dramatic | options 3 | SEL
en|Oh no! There ... no free scooters, only scooters for rent!|are|is|be
de|Oh nein! Da ... keine kostenlosen Motorroller, nur Motorroller zum Mieten!|sind|ist|sein
ua|О ні! Тут ... безкоштовних скутерів, тільки скутери в оренду!|немає|немає|не бути
es|¡Oh, no! ¡... escúteres gratis, solo escúteres de alquiler!|No hay|No hay|No hay
fr|Oh non ! ... pas de scooters gratuits, seulement des scooters à louer !|Il n'y a|Il n'y a|Il n'y a
tr|Olamaz! Bedava scooter ..., sadece kiralık scooter var!|yok|yok|olmak
hu|Jaj, ne! ... ingyenes robogók, csak bérelhető robogók!|Nincsenek|Nincs|Lenni
MEDIA 5249 | meaning: to clean something using a chemical process
E 36259 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|He ... the black pans every evening.|washes|wash|washs
de|Er ... jeden Abend die schwarzen Pfannen.|spült|spülen|spült
ua|Він щовечора ... чорні сковорідки.|миє|мити|миє
es|Él ... las sartenes negras todas las noches.|friega|fregar|friega
fr|Il ... les poêles noires tous les soirs.|lave|laver|lave
tr|O her akşam siyah tavaları ...|yıkar|yıkamak|yıkar
hu|Ő minden este ... a fekete serpenyőket.|elmossa|elmosni|elmossa
MEDIA 5251 | meaning: to write using a keyboard
E 36127 | A1 type 3 Present Simple | style flirt | options 3 | SEL
en|You ... so fast while you talk on the phone. Impressive.|type|types|typing
de|Du ... so schnell, während du telefonierst. Beeindruckend.|tippst|tippt|tippend
ua|Ти ... так швидко, поки говориш по телефону. Вражає.|друкуєш|друкує|друкуючи
es|Tú ... tan rápido mientras hablas por teléfono. Impresionante.|escribes|escribe|escribiendo
fr|Tu ... tellement vite pendant que tu parles au téléphone. Impressionnant.|tapes|tape|tapant
tr|Sen telefonda konuşurken o kadar hızlı ...! Etkileyici.|yazarsın|yazar|yazarak
hu|Te olyan gyorsan ..., miközben telefonálsz. Lenyűgöző.|gépelsz|gépel|gépelő
E 36130 | A2 type 17 Future BE GOING TO | style ironic | options 3 | SEL
en|A quiet day, obviously: she ... fifty emails this afternoon.|is going to type|is going type|are going to type
de|Ein ruhiger Tag, klar: Sie ... heute Nachmittag fünfzig E-Mails tippen.|wird|wird|werden
ua|Спокійний день, звісно: вона сьогодні по обіді ... п'ятдесят імейлів.|збирається надрукувати|збирається надрукувати|збираються надрукувати
es|Un día tranquilo, obviamente: ella ... cincuenta correos esta tarde.|va a escribir|va a escribir|van a escribir
fr|Une journée calme, évidemment : elle ... cinquante e-mails cet après-midi.|va taper|va taper|vont taper
tr|Sakin bir gün tabii: o bu öğleden sonra elli e-posta ...|yazacak|yazacak|yazacaklar
hu|Nyugis nap, persze: ő ma délután ötven e-mailt ... begépelni.|fog|fog|fognak
MEDIA 5253 | meaning: older, or higher in rank than others
E 35004 | A1 type 1 TO BE | style flirt | options 3 | SEL
en|Okay but you ... the senior stars of this dance class.|are|is|am
de|Okay, aber ihr ... die Senioren-Stars dieses Tanzkurses.|seid|ist|bin
ua|Окей, але ви ... зірки старшого покоління в цьому танцювальному класі.|є|є|є
es|Vale, pero vosotros ... las estrellas sénior de esta clase de baile.|sois|es|soy
fr|Ok mais vous ... les stars seniors de ce cours de danse.|êtes|est|suis
tr|Tamam ama siz bu dans dersinin emektar yıldızları ...|||
hu|Oké, de ti ... ennek a tánctanfolyamnak a szenior sztárjai.|vagytok||vagyok
E 35006 | A2 type 12 Past Simple | style ironic | options 3 | SEL
en|A lazy day, obviously: yesterday the senior man ... ten kilometres.|walked|walks|walkt
de|Ein fauler Tag, klar: Gestern ... der ältere Herr zehn Kilometer.|ging|geht|ging
ua|Лінивий день, звісно: учора літній чоловік ... десять кілометрів.|пройшов|проходить|пройшов
es|Un día de vago, obviamente: ayer el señor mayor ... diez kilómetros.|caminó|camina|caminó
fr|Une journée de flemme, évidemment : hier, le monsieur âgé ... dix kilomètres.|a marché|marche|a marché
tr|Tembel bir gün tabii: dün yaşlı adam on kilometre ...|yürüdü|yürür|yürüdü
hu|Lusta nap, persze: tegnap az idős férfi ... tíz kilométert.|gyalogolt|gyalogol|gyalogolt
MEDIA 5254 | meaning: the person you are married to
E 34255 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
en|The partners dance together ... Sunday.|on|in|at
de|Die Partner tanzen ... Sonntag zusammen.|am|im|um
ua|Партнери танцюють разом ... неділю.|у|у|о
es|Las parejas bailan juntas ... el domingo.||en|a
fr|Les couples dansent ensemble ... le dimanche.||dans|à
tr|Eşler pazar ... birlikte dans ediyor.|||
hu|A párok ... együtt táncolnak.|vasárnap|vasárnapban|vasárnapkor
E 34258 | A2 type 21 There is, are | style flirt | options 3 | SEL
en|Not gonna lie, there ... no smoother partner than you.|is|are|be
de|Ganz ehrlich, da ... kein geschmeidigerer Partner als du.|ist|sind|sein
ua|Чесно кажучи, ... вправнішого партнера, ніж ти.|немає|немає|не бути
es|Yo no voy a mentir, ... ningún compañero con más estilo que tú.|no hay|no hay|no hay
fr|Je vais pas mentir, ... pas de partenaire plus smooth que toi.|il n'y a|il n'y a|il n'y a
tr|Yalan yok, senden daha akıcı bir partner ...|yok|yok|olmak
hu|Én nem hazudok, ... nálad lazább partner.|nincs|nincsenek|lenni
MEDIA 5263 | meaning: a printed picture of a person or scene
E 34364 | A1 type 5 Singular and plural | style chill | options 3 | SEL
en|She puts two ... on the oak shelf.|photographs.|photograph.|photographes.
de|Sie stellt zwei ... auf das Eichenregal.|Fotos.|Foto.|Fotos.
ua|Вона ставить дві ... на дубову полицю.|фотографії.|фотографію.|фотографії.
es|Ella pone dos ... en la estantería de roble.|fotografías.|fotografía.|fotografías.
fr|Elle pose deux ... sur l'étagère en chêne.|photographies.|photographie.|photographies.
tr|O meşe rafa iki ... koyuyor.|fotoğraflar.|fotoğraf.|fotoğraflar.
hu|Ő a tölgyfa polcra tesz két ...|fotót.|fotót.|fotót.
E 34370 | A2 type 21 There is, are | style ironic | options 3 | SEL
en|Flawless plan: there ... just one photograph on the whole wall.|is|are|be
de|Genialer Plan: An der ganzen Wand ... nur ein Foto.|ist|sind|sein
ua|Бездоганний план: на всій стіні ... лише одна фотографія.|є|є|бути
es|Plan perfecto: ... solo una fotografía en toda la pared.|hay|hay|hay
fr|Plan parfait : ... juste une photo sur tout le mur.|il y a|il y a|il y a
tr|Kusursuz plan: koca duvarda sadece bir fotoğraf ...|var|var|olmak
hu|Tökéletes terv: az egész falon csak egy fénykép ...|van|vannak|lenni
MEDIA 5266 | meaning: equipment you use to talk to someone far away
E 35827 | A2 type 23 Must, Have to... | style chill | options 3 | SEL
en|Her boss calls on the telephone, so she ... answer it.|has to|must|should
de|Ihr Chef ruft auf dem Telefon an, also ... sie rangehen.|muss|muss|sollte
ua|Її бос дзвонить на телефон, тож вона ... відповісти.|має|мусить|мала б
es|Su jefe llama por teléfono, así que ella ... contestar.|tiene que|debe|debería
fr|Son patron appelle sur le téléphone, donc elle ... répondre.|doit|doit|devrait
tr|Patronu telefonla arıyor, bu yüzden o telefonu ...|açmak zorunda|açmalı|açmalı
hu|A főnöke hívja telefonon, ezért neki ... felvennie.|kell|kell|kellene
MEDIA 5267 | meaning: a weapon that fires a bullet at high speed
E 33127 | A1 type 11 Cardinal numbers | style chill | options 3 | SEL
en|She aims her gun at ... round targets.|five|fifth|fiveth
de|Sie zielt mit ihrem Gewehr auf ... runde Scheiben.|fünf|fünfte|fünfte
ua|Вона цілиться з рушниці в ... круглих мішеней.|п'ять|п'яту|п'яту
es|Ella apunta con su arma a ... dianas redondas.|cinco|quintas|quintas
fr|Elle vise ... cibles rondes avec son arme.|cinq|cinquièmes|cinquièmes
tr|O silahını ... yuvarlak hedefe doğrultuyor.|beş|beşinci|beşinci
hu|Ő ... kerek célpontra céloz a fegyverével.|öt|ötödik|ötödik
E 33129 | A2 type 15 Present Continuous or Simple | style flirt | options 2 | SEL
en|You usually ski, but right now you ... your gun. Iconic.|are aiming|aim|
de|Du fährst sonst Ski, aber gerade ... du mit deinem Gewehr. Ikonisch.|zielst|zielst|
ua|Ти зазвичай катаєшся на лижах, але зараз ти ... з рушниці. Легенда.|цілишся|цілишся|
es|Normalmente tú esquías, pero ahora mismo ... con tu arma. Icónico.|estás apuntando|apuntas|
fr|D'habitude tu skies, mais là tu ... avec ton arme. Iconique.|es en train de viser|vises|
tr|Sen genelde kayak yaparsın ama şu an silahınla ..., efsane.|nişan alıyorsun|nişan alırsın|
hu|Te általában síelsz, de most épp ... a fegyvereddel. Ikonikus.|célzol|célzol|
MEDIA 5270 | meaning: a big store selling food and household goods
E 35704 | A1 type 10 Prepositions of place/time | style dramatic | options 3 | SEL
en|Nightmare! She is ... the supermarket checkout with a cereal tower!|at|in|on
de|Albtraum! Sie steht ... der Supermarktkasse mit einem Cerealien-Turm!|an|in|auf
ua|Жах! Вона стоїть ... каси супермаркету з вежею пластівців!|біля|у|на
es|¡Pesadilla! ¡Ella está ... la caja del supermercado con una torre de cereales!|en|en|sobre
fr|Cauchemar ! Elle est ... caisse du supermarché avec une tour de céréales !|à la|dans la|sur la
tr|Kâbus! O, mısır gevreği kulesiyle süpermarket kasası ... duruyor!||içinde|üstünde
hu|Rémálom! Ő a szupermarket ... áll egy gabonapehely-toronnyal!|kasszájánál|kasszájában|kasszáján
E 35706 | A2 type 19 Countable and uncountable | style gossip | options 3 | SEL
en|Girl, I heard she bought so much ... at the supermarket.|cereal|cereals|a cereal
de|Mädel, ich hab gehört, sie hat im Supermarkt so viele ... gekauft.|Cerealien|Cerealien|eine Cerealie
ua|Подруго, я чула, вона купила в супермаркеті стільки ...|пластівців|пластівців|пластівців
es|Tía, yo he oído que compró tantos ... en el supermercado.|cereales|cereales|un cereal
fr|Ma belle, j'ai entendu qu'elle avait acheté tellement de ... au supermarché.|céréales|céréales|une céréale
tr|Kızım, ben duydum ki süpermarketten o kadar çok ... almış.|mısır gevreği|mısır gevrekleri|bir mısır gevreği
hu|Csajszi, én azt hallottam, hogy annyi ... vett a szupermarketben.|gabonapelyhet|gabonapelyhet|egy gabonapelyhet
MEDIA 5281 | meaning: someone who is very skilled and famous
E 35461 | A2 type 24 Modal verb SHOULD | style chill | options 3 | SEL
en|The star is singing, so the fans ... put their phones away.|should|ought|should to
de|Der Star singt, also ... die Fans ihre Handys weglegen.|sollten|sollten|sollten
ua|Зірка співає, тож фанати ... сховати свої телефони.|мали б|мали б|мали б
es|La estrella está cantando, así que los fans ... guardar sus móviles.|deberían|deberían|deberían
fr|La star chante, donc les fans ... ranger leurs téléphones.|devraient|devraient|devraient
tr|Yıldız şarkı söylüyor, bu yüzden hayranlar telefonlarını ...|kaldırmalı|kaldırmalı|kaldırmalı
hu|A sztár énekel, ezért a rajongóknak el ... tenniük a telefonjukat.|kellene|kellene|kellene
MEDIA 5282 | meaning: a short piece of music with words
E 35372 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
en|The friends sing a song ... the car at night.|in|on|at
de|Die Freunde singen nachts ... Auto ein Lied.|im|auf dem|am
ua|Друзі вночі співають пісню ... машині.|у|на|біля
es|Los amigos cantan una canción ... el coche por la noche.|en|sobre|a
fr|Les amis chantent une chanson ... la voiture la nuit.|dans|sur|à
tr|Arkadaşlar gece arabanın ... şarkı söylüyor.|içinde|üstünde|
hu|A barátok az ... énekelnek egy dalt éjjel.|autóban|autón|autónál
E 35373 | A2 type 20 Much, Many, Some... | style chill | options 3 | SEL
en|The busker sings ... songs, and the crowd listens.|some|much|any
de|Der Straßenmusiker singt ... Lieder, und die Menge hört zu.|einige|viel|irgendwelche
ua|Вуличний музикант співає ... пісні, а натовп слухає.|якісь|багато|будь-які
es|El músico callejero canta ... canciones y la gente escucha.|algunas|mucha|cualquier
fr|Le musicien de rue chante ... chansons, et la foule écoute.|des|beaucoup de|n'importe quelles
tr|Sokak müzisyeni ... şarkı söylüyor ve kalabalık dinliyor.|bazı|çok|herhangi
hu|Az utcazenész ... dalt énekel, és a tömeg hallgatja.|néhány|sok|bármilyen
MEDIA 5283 | meaning: anything shaped like a tall column
E 35988 | A1 type 11 Cardinal numbers | style dramatic | options 3 | SEL
en|Nightmare! Ten plates, then ten more: a tower of ... plates!|twenty|twentieth|twenties
de|Albtraum! Zehn Teller, dann noch zehn: ein Turm aus ... Tellern!|zwanzig|zwanzigsten|Zwanzigen
ua|Жах! Десять тарілок, потім ще десять: вежа з ... тарілок!|двадцяти|двадцятих|двадцяток
es|¡Pesadilla! ¡Diez platos y luego diez más: una torre de ... platos!|veinte|vigésimos|veinte
fr|Cauchemar ! Dix assiettes, puis dix de plus : une tour de ... assiettes !|vingt|vingtièmes|vingt
tr|Kâbus! On tabak, sonra on tane daha: ... tabaktan bir kule!|yirmi|yirminci|yirmiler
hu|Rémálom! Tíz tányér, aztán még tíz: egy ... tányérból álló torony!|húsz|huszadik|huszasok
E 35991 | A2 type 18 Going to or Will | style gossip | options 2 | SEL
en|Omg, I heard the plate tower is shaking. It ... fall!|is going to|will|
de|Omg, ich hab gehört, der Tellerturm wackelt. Er ... umfallen!|wird|wird|
ua|Боже, я чула, що вежа з тарілок хитається. Вона ...!|збирається впасти|впаде|
es|Dios, yo he oído que la torre de platos se tambalea. ¡... caerse!|Va a||
fr|Omg, j'ai entendu que la tour d'assiettes tremble. Elle ... tomber !|va||
tr|Aman tanrım, ben duydum ki tabak kulesi sallanıyormuş. Kule ...!|düşecek|düşecek|
hu|Úristen, én azt hallottam, hogy inog a tányértorony. Le ... esni!|fog|fog|
MEDIA 5285 | meaning: the feeling of joy and contentment
E 33202 | A1 type 7 This, That, These... | style chill | options 3 | SEL
en|... happiness fills the whole garden.|This|These|Those
de|... Glück erfüllt den ganzen Garten.|Dieses|Diese|Jene
ua|... щастя наповнює весь сад.|Це|Ці|Ті
es|... felicidad llena todo el jardín.|Esta|Estas|Esas
fr|... bonheur remplit tout le jardin.|Ce|Ces|Ces
tr|... mutluluk bütün bahçeyi dolduruyor.|Bu|Bu|Şu
hu|... a boldogság betölti az egész kertet.|Ez|Ezek|Azok
MEDIA 5286 | meaning: a warm soft long-sleeved top, often oversized
E 35710 | A1 type 2 HAVE GOT | style business | options 3 | SEL
en|Budget update: the friends ... only 1 sweatshirt.|have got|has got|have get
de|Budget-Update: Die Freundinnen ... nur 1 Sweatshirt.|haben|hat|haben
ua|Оновлення бюджету: подруги ... лише 1 світшот.|мають|має|мають
es|Actualización de presupuesto: las amigas ... solo 1 sudadera.|tienen|tiene|tienen
fr|Point budget : les amies ... seulement 1 sweat-shirt.|ont|a|ont
tr|Bütçe güncellemesi: arkadaşların sadece 1 sweatshirt'ü ...|var|var|var
hu|Költségvetési frissítés: a barátnőknek csak 1 pulcsijuk ...|van|van|van
MEDIA 5287 | meaning: when no one is speaking
E 35178 | A1 type 11 Cardinal numbers | style chill | options 3 | SEL
en|About ... girls on one sofa break the silence.|fifteen|fifteenth|fifteens
de|Etwa ... Mädchen auf einem Sofa brechen die Stille.|fünfzehn|fünfzehnte|Fünfzehnen
ua|Близько ... дівчат на одному дивані порушують тишу.|п'ятнадцяти|п'ятнадцятих|п'ятнадцяток
es|Unas ... chicas en un sofá rompen el silencio.|quince|decimoquintas|quince
fr|Environ ... filles sur un canapé brisent le silence.|quinze|quinzièmes|quinze
tr|Bir kanepedeki yaklaşık ... kız sessizliği bozuyor.|on beş|on beşinci|on beşler
hu|Körülbelül ... lány egy kanapén megtöri a csendet.|tizenöt|tizenötödik|tizenötösök
E 35184 | A2 type 17 Future BE GOING TO | style clueless | options 3 | SEL
en|Silence means no talking, so they ... break it by talking.|are going to|is going to|going to
de|Stille heißt kein Reden, also ... sie sie mit Reden brechen.|werden|wird|werden
ua|Тиша означає без розмов, тож вони ... порушити її розмовами.|збираються|збирається|збираються
es|Silencio significa no hablar, así que ellas ... romperlo hablando.|van a|va a|van a
fr|Le silence, c'est ne pas parler, donc elles ... le briser en parlant.|vont|va|vont
tr|Sessizlik konuşmamak demek, bu yüzden onlar onu konuşarak ...|bozacaklar|bozacak|bozacaklar
hu|A csend azt jelenti, hogy senki sem beszél, ezért ők beszéddel ... megtörni.|fogják|fogja|fogják
