MEDIA 4233 | meaning: rock cut into blocks for building
E 35541 | A2 type 20 Much, Many, Some... | style dramatic | options 3 | SEL
es|Ella tiene ... compañeros en la mesa de reuniones.|seis|sextos|seis
fr|Elle a ... collègues à la table de réunion.|six|sixièmes|six
tr|Onun toplantı masasında ... iş arkadaşı var.|altı|altıncı|altılar
hu|Neki ... kollégája van a tárgyalóasztalnál.|hat|hatodik|hatosok
E 33909 | A2 type 19 Countable and uncountable | style chill | options 3 | SEL
en|She gives a lot of ... at the meeting.|information|informations|an information
de|Sie gibt jede Menge ... im Meeting.|Informationen|Informationen|eine Information
ua|Вона дає багато ... на нараді.|інформації|інформації|інформації
es|Ella da mucha ... en la reunión.|información|información|una información
fr|Elle donne beaucoup d'... à la réunion.|informations|informations|une information
tr|O toplantıda çok ... veriyor.|bilgi|bilgiler|bir bilgi
hu|Ő rengeteg ... ad át a megbeszélésen.|információt|információt|egy információt
MEDIA 4429 | meaning: a building where people go to eat
E 34750 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... does she eat ramen? In a noodle restaurant.|Where|When|Who
de|... isst sie Ramen? In einem Nudelrestaurant.|Wo|Wann|Wer
ua|... вона їсть рамен? У ресторані локшини.|Де|Коли|Хто
es|¿... come ella ramen? En un restaurante de fideos.|Dónde|Cuándo|Quién
fr|... mange-t-elle des ramen ? Dans un restaurant de nouilles.|Où|Quand|Qui
tr|O ramen'i ... yiyor? Bir erişte restoranında.|nerede|ne zaman|kim
hu|... eszik ő rament? Egy tésztázóban.|Hol|Mikor|Ki
E 34754 | A2 type 13 Present or Past Simple | style chill | options 2 | SEL
en|She usually eats cereal, but yesterday she ... at a restaurant.|ate|eats|
de|Sie isst normalerweise Cerealien, aber gestern ... sie in einem Restaurant.|aß|isst|
ua|Вона зазвичай їсть пластівці, але вчора вона ... в ресторані.|їла|їсть|
es|Ella suele comer cereales, pero ayer ... en un restaurante.|comió|come|
fr|D'habitude elle mange des céréales, mais hier elle ... au restaurant.|a mangé|mange|
tr|O genelde mısır gevreği yer ama dün bir restoranda ...|yedi|yer|
hu|Ő általában gabonapelyhet eszik, de tegnap egy étteremben ...|evett|eszik|
MEDIA 4430 | meaning: a young person
E 33560 | A1 type 10 Prepositions of place/time | style chill | options 3 | SEL
en|The kid runs to his ball ... Saturday.|on|in|at
de|Das Kind rennt ... Samstag zu seinem Ball.|am|im|um
ua|Дитина біжить до свого м'яча ... суботу.|у|у|о
es|El niño corre hacia su pelota ... el sábado.||en|a
fr|L'enfant court vers son ballon ... samedi.||dans|à
tr|Çocuk cumartesi ... topuna koşuyor.|||
hu|A gyerek ... a labdájához fut.|szombaton|szombatban|szombatkor
MEDIA 4439 | meaning: a day or period set aside for celebration
E 32701 | A1 type 11 Cardinal numbers | style chill | options 3 | SEL
en|At the festival, he plays ... big drum, not two.|one|first|once
de|Auf dem Festival spielt er ... große Trommel, nicht zwei.|eine|erste|einmal
ua|На фестивалі він грає на ... великому барабані, а не на двох.|одному|першому|один раз
es|En el festival, él toca ... tambor grande, no dos.|un|primer|una vez
fr|Au festival, il joue sur ... gros tambour, pas deux.|un|premier|une fois
tr|Festivalde o ... büyük davul çalıyor, iki değil.|bir|birinci|bir kez
hu|A fesztiválon ő ... nagy dobon játszik, nem kettőn.|egy|első|egyszer
MEDIA 4442 | meaning: footwear shaped to fit the foot
E 35085 | A1 type 6 A, AN, THE | style chill | options 3 | SEL
en|Her shoe is ... easy shoe for dancing.|an|a|the
de|Ihr Schuh ist ... bequemer Schuh zum Tanzen.|ein|ein|der
ua|Її туфля — ... зручна туфля для танців.|||
es|Su zapato es ... zapato cómodo para bailar.|un|un|el
fr|Sa chaussure est ... chaussure facile pour danser.|une|une|la
tr|Onun ayakkabısı dans için ... rahat ayakkabı.|bir|bir|
hu|A cipője ... kényelmes tánccipő.|egy|egy|a
MEDIA 4443 | meaning: the event at which a marriage ceremony happens
E 36322 | A2 type 23 Must, Have to... | style chill | options 3 | SEL
en|Wedding rule: the bride ... walk down the path last.|has to|must|should
de|Hochzeitsregel: Die Braut ... als Letzte den Weg entlanggehen.|muss|muss|sollte
ua|Весільне правило: наречена ... пройти доріжкою останньою.|має|мусить|мала б
es|Norma de boda: la novia ... recorrer el camino la última.|tiene que|debe|debería
fr|Règle du mariage : la mariée ... remonter l'allée en dernier.|doit|doit|devrait
tr|Düğün kuralı: gelin yolda en son ...|yürümek zorunda|yürümeli|yürümeli
hu|Esküvői szabály: a menyasszonynak ... utolsóként végigmennie az úton.|kell|kell|kellene
MEDIA 4446 | meaning: a hard transparent solid that breaks easily
E 32992 | A2 type 12 Past Simple | style chill | options 3 | SEL
en|Last night he ... his tall glass against mine.|knocked|knocks|knock
de|Gestern Abend ... er sein hohes Glas gegen meins.|stieß|stößt|stoßen
ua|Учора ввечері він ... своєю високою склянкою об мою.|цокнувся|цокається|цокатися
es|Anoche él ... su vaso alto contra el mío.|chocó|choca|chocar
fr|Hier soir, il ... son grand verre contre le mien.|a cogné|cogne|cogner
tr|Dün akşam o uzun bardağını benimkine ...|tokuşturdu|tokuşturur|tokuşturmak
hu|Tegnap este ő a magas poharát az enyémhez ...|koccintott|koccint|koccintani
MEDIA 4447 | meaning: covered or soaked with water
E 36347 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|Water ... off the wet umbrella.|runs|run|running
de|Wasser ... vom nassen Schirm.|läuft|laufen|laufend
ua|Вода ... з мокрої парасольки.|стікає|стікати|стікаючи
es|El agua ... del paraguas mojado.|escurre|escurrir|escurriendo
fr|L'eau ... du parapluie mouillé.|coule|couler|coulant
tr|Su ıslak şemsiyeden ...|akar|akmak|akarak
hu|A víz ... a vizes esernyőről.|lefolyik|lefolyni|lefolyó
E 36353 | A2 type 25 Adverb formation | style clueless | options 3 | SEL
en|The street is wet because the rain fell ... on the street.|heavily|heavy|heavyly
de|Die Straße ist nass, weil der Regen ... auf die Straße fiel.|heftig|heftig|heftig
ua|Вулиця мокра, бо дощ ... падав на вулицю.|сильно|сильний|сильно
es|La calle está mojada porque la lluvia cayó ... sobre la calle.|intensamente|intenso|intensamente
fr|La rue est mouillée parce que la pluie est tombée ... sur la rue.|fortement|fort|fortement
tr|Sokak ıslak çünkü yağmur sokağa ... yağdı.|şiddetle|şiddetli|şiddetle
hu|Az utca vizes, mert az eső ... esett az utcára.|erősen|erős|erősen
MEDIA 4448 | meaning: the part of an object you hold to use or move it
E 33195 | A1 type 4 Modal verb CAN | style slang | options 3 | SEL
en|Bro, she ... lean on that handle. So cool.|can|cans|can to
de|Alter, sie ... sich auf den Griff stützen. So cool.|kann|kann|kann
ua|Бро, вона ... спиратися на ту ручку. Так круто.|може|може|може
es|Tío, ella ... apoyarse en ese palo. Qué guay.|puede|puede|puede
fr|Frérot, elle ... s'appuyer sur ce manche. Trop cool.|peut|peut|peut
tr|Kanka, çok havalı: o bu sapa ...|yaslanabilir|yaslanabilir|yaslanabilir
hu|Tesó, ő ... támaszkodni arra a nyélre. Nagyon menő.|tud|tud|tud
E 33199 | A2 type 24 Modal verb SHOULD | style flirt | options 3 | SEL
en|Respect, you ... teach everyone how to hold a handle.|should|should to|shoulds
de|Respekt, du ... allen beibringen, wie man einen Griff hält.|solltest|solltest|solltest
ua|Респект, ти ... навчити всіх, як тримати ручку.|мала б|мала б|мала б
es|Respeto, tú ... enseñar a todos a sujetar un palo.|deberías|deberías|deberías
fr|Respect, tu ... apprendre à tout le monde à tenir un manche.|devrais|devrais|devrais
tr|Helal, sen herkese sap tutmayı ...|öğretmelisin|öğretmelisin|öğretmelisin
hu|Respekt, neked ... megtanítanod mindenkit, hogyan kell fogni egy nyelet.|kellene|kellene|kellene
MEDIA 4451 | meaning: a juvenile, between puberty and maturity
E 35823 | A1 type 11 Cardinal numbers | style chill | options 3 | SEL
en|... teenagers play the game on the sofa.|Two|Second|Twice
de|... Teenager spielen das Spiel auf dem Sofa.|Zwei|Zweite|Zweimal
ua|... підлітків грають у гру на дивані.|Двоє|Другі|Двічі
es|... adolescentes juegan al videojuego en el sofá.|Dos|Segundos|Dos veces
fr|... ados jouent au jeu sur le canapé.|Deux|Deuxièmes|Deux fois
tr|... genç kanepede oyun oynuyor.|İki|İkinci|İki kez
hu|... tinédzser játszik a játékkal a kanapén.|Két|Második|Kétszer
E 35825 | A2 type 15 Present Continuous or Simple | style clueless | options 2 | SEL
en|The teenager plays games a lot, so right now he ... a game.|is playing|plays|
de|Der Teenager zockt viel, also ... er gerade ein Spiel.|spielt|spielt|
ua|Підліток багато грає в ігри, тож саме зараз він ... в гру.|грає|грає|
es|El adolescente juega mucho, así que ahora mismo él ... a un juego.|está jugando|juega|
fr|L'ado joue beaucoup aux jeux, donc en ce moment il ... à un jeu.|est en train de jouer|joue|
tr|Genç çok oyun oynar, bu yüzden şu an o bir oyun ...|oynuyor|oynar|
hu|A tinédzser sokat játszik, ezért most épp ő ... egy játékkal.|játszik|játszik|
MEDIA 4452 | meaning: to be the source of pain
E 33438 | A2 type 24 Modal verb SHOULD | style dramatic | options 3 | SEL
en|This is a nightmare! If it hurts, you ... use more ice!|should|should to|shoulds
de|Das ist ein Albtraum! Wenn es wehtut, ... du mehr Eis benutzen!|solltest|solltest|solltest
ua|Це кошмар! Якщо болить, ти ... прикласти більше льоду!|мав би|мав би|мав би
es|¡Esto es una pesadilla! ¡Si duele, tú ... usar más hielo!|deberías|deberías|deberías
fr|C'est un cauchemar ! Si ça fait mal, tu ... mettre plus de glace !|devrais|devrais|devrais
tr|Bu bir kâbus! Acıyorsa sen daha çok buz ...!|kullanmalısın|kullanmalısın|kullanmalısın
hu|Ez egy rémálom! Ha fáj, neked több jeget ... használnod!|kellene|kellene|kellene
MEDIA 4455 | meaning: the piece of land where something is located
E 35213 | A1 type 7 This, That, These... | style chill | options 3 | SEL
en|... site has a mixer and two wheelbarrows.|This|These|Those
de|... Baustelle hat einen Mischer und zwei Schubkarren.|Diese|Diese|Jene
ua|... будмайданчик має бетономішалку і дві тачки.|Цей|Ці|Ті
es|... obra tiene una hormigonera y dos carretillas.|Esta|Estas|Esas
fr|... chantier a une bétonnière et deux brouettes.|Ce|Ces|Ces
tr|... şantiyede bir betoniyer ve iki el arabası var.|Bu|Bu|Şu
hu|... az építkezésen van egy keverő és két talicska.|Ezen|Ezeken|Azokon
MEDIA 4456 | meaning: belonging to the present, modern era
E 33951 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... is the modern tower? Next to the old brick block.|Where|What|Who
de|... ist der moderne Turm? Neben dem alten Backsteinblock.|Wo|Was|Wer
ua|... сучасна вежа? Поруч зі старим цегляним будинком.|Де|Що|Хто
es|¿... está la torre moderna? Al lado del viejo bloque de ladrillo.|Dónde|Qué|Quién
fr|... est la tour moderne ? À côté du vieil immeuble en brique.|Où|Que|Qui
tr|Modern kule ...? Eski tuğla binanın yanında.|nerede|ne|kim
hu|... van a modern torony? A régi téglaépület mellett.|Hol|Mi|Ki
  ~soft: SEL: pronoun inside an option
E 33954 | A2 type 25 Adverb formation | style gossip | options 3 | SEL
en|Guess what, I heard the modern door turns so ... .|slowly|slow|slowness
de|Rate mal, ich hab gehört, die moderne Tür dreht sich so ...|langsam|langsam|Langsamkeit
ua|Уяви, я чула, що ті сучасні двері обертаються так ...|повільно|повільний|повільність
es|Adivina qué, yo he oído que la puerta moderna gira tan ...|lentamente|lento|lentitud
fr|Devine quoi, j'ai entendu dire que la porte moderne tourne si ...|lentement|lent|lenteur
tr|Bil bakalım, ben duydum ki modern kapı çok ... dönüyormuş.|yavaşça|yavaş|yavaşlık
hu|Képzeld, én azt hallottam, hogy a modern ajtó olyan ... forog.|lassan|lassú|lassúság
MEDIA 4463 | meaning: to greet someone on arrival
E 36335 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... does the driver welcome? The people on his bus.|Who|Where|When
de|... begrüßt der Fahrer? Die Leute in seinem Bus.|Wen|Wo|Wann
ua|... вітає водій? Людей у своєму автобусі.|Кого|Де|Коли
es|¿... da la bienvenida el conductor? A la gente de su autobús.|A quién|Dónde|Cuándo
fr|... le chauffeur accueille-t-il ? Les gens dans son bus.|Qui|Où|Quand
tr|Şoför ... karşılıyor? Otobüsündeki insanları.|kimi|nerede|ne zaman
hu|... üdvözöl a sofőr? Az embereket a buszán.|Kit|Hol|Mikor
MEDIA 4464 | meaning: to look at written words and understand them
E 34648 | A1 type 4 Modal verb CAN | style chill | options 3 | SEL
en|... she read her book at the bus stop? Yes, she can.|Can|Is|Does
de|... sie ihr Buch an der Bushaltestelle lesen? Ja, kann sie.|Kann|Ist|
ua|Чи ... вона читати свою книжку на зупинці? Так, може.|може|є|
es|¿... ella leer su libro en la parada de autobús? Sí, puede.|Puede|Está|
fr|Est-ce qu'elle ... lire son livre à l'arrêt de bus ? Oui, elle peut.|peut|est|
tr|O otobüs durağında kitabını ... mi? Evet, okuyabilir.|okuyabilir||
hu|... ő olvasni a könyvét a buszmegállóban? Igen, tud.|Tud|Van|
E 34651 | A2 type 18 Going to or Will | style dramatic | options 2 | SEL
en|No bus, the worst day ever! Fine, I ... my book here!|will read|am going to read|
de|Kein Bus, der schlimmste Tag überhaupt! Na gut, dann ... ich hier mein Buch lesen!|werde|werde|
ua|Жодного автобуса, найгірший день у житті! Гаразд, я ... тут свою книжку!|читатиму|збираюся читати|
es|¡Ni un autobús, el peor día de mi vida! ¡Vale, yo ... mi libro aquí!|leeré|voy a leer|
fr|Pas de bus, le pire jour de ma vie ! Bon, je ... mon livre ici !|lirai|vais lire|
tr|Otobüs yok, hayatımın en kötü günü! Peki, ben kitabımı burada ...!|okuyacağım|okuyacağım|
hu|Nincs busz, minden idők legrosszabb napja! Jó, akkor én itt ... olvasni a könyvemet!|fogom|fogom|
MEDIA 4465 | meaning: on a floor above
E 36154 | A1 type 1 TO BE | style chill | options 3 | SEL
en|The man ... upstairs on the red bus.|is|are|am
de|Der Mann ... oben im roten Bus.|ist|sind|bin
ua|Чоловік ... нагорі в червоному автобусі.|є|є|є
es|El hombre ... arriba en el autobús rojo.|está|están|estoy
fr|L'homme ... en haut dans le bus rouge.|est|sont|suis
tr|Adam kırmızı otobüsün üst katında ...|||
hu|A férfi ... fent a piros buszon.|van|vannak|vagyok
E 36155 | A2 type 12 Past Simple | style clueless | options 3 | SEL
en|He ... upstairs because the top of the bus was not downstairs.|went|goes|goed
de|Er ... nach oben, weil das Oberdeck des Busses nicht unten war.|ging|geht|ging
ua|Він ... нагору, бо верх автобуса був не внизу.|пішов|іде|пішов
es|Él ... arriba porque la parte de arriba del autobús no estaba abajo.|fue|va|fue
fr|Il ... en haut parce que le haut du bus n'était pas en bas.|est allé|va|est allé
tr|O üst kata ... çünkü otobüsün üstü aşağıda değildi.|çıktı|çıkar|çıktı
hu|Ő ... az emeletre, mert a busz teteje nem lent volt.|felment|felmegy|felment
MEDIA 4474 | meaning: a list of dishes available at a restaurant
E 33921 | A1 type 2 HAVE GOT | style chill | options 3 | SEL
en|The café ... two big menu boards.|has got|have got|has get
de|Das Café ... zwei große Menütafeln.|hat|haben|hat
ua|Кав'ярня ... дві великі дошки з меню.|має|мати|має
es|La cafetería ... dos grandes pizarras con el menú.|tiene|tienen|tiene
fr|Le café ... deux grands tableaux de menu.|a|ont|a
tr|Kafenin iki büyük menü panosu ...|var|var|var
hu|A kávézónak ... két nagy menütáblája.|van|van|van
E 33927 | A2 type 20 Much, Many, Some... | style chill | options 3 | SEL
en|There isn't ... tea on the coffee menu.|much|many|a few
de|Auf der Kaffeekarte ist nicht ... Tee.|viel|viele|ein paar
ua|У кавовому меню немає ... чаю.|багато|багато|кілька
es|No hay ... té en la carta de cafés.|mucho|muchos|unos pocos
fr|Il n'y a pas ... thé sur la carte des cafés.|beaucoup de|beaucoup de|quelques
tr|Kahve menüsünde ... çay yok.|çok|çok|birkaç
hu|A kávés menün nincs ... tea.|sok|sok|pár
MEDIA 4476 | meaning: a large entrance or reception room
E 33172 | A1 type 7 This, That, These... | style clueless | options 3 | SEL
en|... hall here is big because it is not small.|This|These|Those
de|... Halle hier ist groß, weil sie nicht klein ist.|Diese|Diese|Jene
ua|... зала тут велика, бо вона не маленька.|Ця|Ці|Ті
es|... sala de aquí es grande porque no es pequeña.|Esta|Estas|Esas
fr|... salle ici est grande parce qu'elle n'est pas petite.|Cette|Ces|Ces
tr|... salon burada büyük çünkü küçük değil.|Bu|Bu|Şu
hu|... a terem itt nagy, mert nem kicsi.|Ez|Ezek|Azok
E 33176 | A2 type 14 Present Continuous | style chill | options 3 | SEL
en|Now she ... at a marble table in the hall.|is sitting|sits|is siting
de|Jetzt ... sie an einem Marmortisch in der Halle.|sitzt|sitzt|sitzt
ua|Зараз вона ... за мармуровим столиком у залі.|сидить|сидить|сидить
es|Ahora ella ... en una mesa de mármol de la sala.|está sentada|se sienta|está sentada
fr|Maintenant elle ... à une table en marbre dans la salle.|est assise|s'assoit|est assise
tr|Şimdi o salonda mermer bir masada ...|oturuyor|oturur|oturuyor
hu|Most ő egy márványasztalnál ... a teremben.|ül|ül|ül
MEDIA 4477 | meaning: one of the twelve parts of the year
E 33957 | A2 type 14 Present Continuous | style chill | options 3 | SEL
en|He ... the calendar to a new month.|is turning|turns|is turn
de|Er ... den Kalender auf einen neuen Monat um.|blättert|blättert|blättert
ua|Він ... календар на новий місяць.|перегортає|перегортає|перегортає
es|Él ... el calendario a un nuevo mes.|está pasando|pasa|está pasando
fr|Il ... le calendrier à un nouveau mois.|est en train de tourner|tourne|est en train de tourner
tr|O takvimi yeni bir aya ...|çeviriyor|çevirir|çeviriyor
hu|Ő ... a naptárt egy új hónapra.|lapozza|lapozza|lapozza
MEDIA 4479 | meaning: not easy, needing great effort
E 33207 | A2 type 22 Adjective comparison | style clueless | options 3 | SEL
en|Fast pedalling is ... than slow pedalling because it is faster.|harder|hardest|more harder
de|Schnelles Treten ist ... als langsames Treten, weil es schneller ist.|schwerer|am schwersten|schwerer
ua|Швидке педалювання ... за повільне, бо воно швидше.|важче|найважче|важче
es|Pedalear rápido es ... que pedalear despacio porque es más rápido.|más difícil|el más difícil|más difícil
fr|Pédaler vite est ... que pédaler lentement parce que c'est plus rapide.|plus dur|le plus dur|plus dur
tr|Hızlı pedal çevirmek yavaş pedal çevirmekten ... çünkü daha hızlı.|daha zor|en zor|daha zor
hu|A gyors tekerés ... a lassú tekerésnél, mert gyorsabb.|nehezebb|legnehezebb|nehezebb
MEDIA 4481 | meaning: to bring something to a central point
E 32778 | A1 type 4 Modal verb CAN | style flirt | options 3 | SEL
en|Honestly, you ... focus that big lens in a second.|can|cans|can to
de|Ehrlich, du ... das große Objektiv in einer Sekunde scharfstellen.|kannst|kannst|kannst
ua|Чесно, ти ... сфокусувати той великий об'єктив за секунду.|можеш|можеш|можеш
es|Sinceramente, tú ... enfocar ese objetivo enorme en un segundo.|puedes|puedes|puedes
fr|Franchement, tu ... faire la mise au point de ce gros objectif en une seconde.|peux|peux|peux
tr|Açıkçası sen o büyük objektifi bir saniyede ...|netleyebilirsin|netleyebilirsin|netleyebilirsin
hu|Őszintén, te egy másodperc alatt ... élesre állítani azt a nagy objektívet.|tudod|tudod|tudod
E 32781 | A2 type 13 Present or Past Simple | style ironic | options 2 | SEL
en|She normally focuses on flowers. Yesterday she ... on roofs, obviously.|focused|focuses|
de|Normalerweise fokussiert sie auf Blumen. Gestern ... sie auf Dächer, klar.|fokussierte|fokussiert|
ua|Зазвичай вона фокусується на квітах. Учора вона ... на дахах, звісно.|фокусувалася|фокусується|
es|Normalmente ella enfoca flores. Ayer ... tejados, claro.|enfocó|enfoca|
fr|D'habitude elle cadre les fleurs. Hier elle ... les toits, évidemment.|a cadré|cadre|
tr|O normalde çiçeklere odaklanır. Dün çatılara ..., belli ki.|odaklandı|odaklanır|
hu|Ő általában virágokra fókuszál. Tegnap tetőkre ..., persze.|fókuszált|fókuszál|
MEDIA 4485 | meaning: having great power or force
E 34513 | A1 type 1 TO BE | style chill | options 3 | SEL
en|The waterfall ... very powerful.|is|are|am
de|Der Wasserfall ... sehr gewaltig.|ist|sind|bin
ua|Водоспад ... дуже потужний.|є|є|є
es|La cascada ... muy potente.|es|son|soy
fr|La cascade ... très puissante.|est|sont|suis
tr|Şelale çok güçlü ...|||
  ~soft: length ratio 0.55
hu|A vízesés ... nagyon erős.|||vagyok
E 34515 | A2 type 18 Going to or Will | style slang | options 2 | SEL
en|Bro, look at that powerful spray. He ... soaked, no cap.|is going to get|will get|
de|Bro, schau dir diese krasse Gischt an. Er ... klatschnass werden, ohne Witz.|wird|wird|
ua|Бро, глянь на ці потужні бризки. Він ... до нитки, без жартів.|збирається промокнути|промокне|
es|Tío, mira qué rociada tan fuerte. Él ... empapado, en serio.|va a acabar|acabará|
fr|Frérot, regarde ces embruns puissants. Il ... trempé, sans mentir.|va finir|finira|
tr|Kanka, şu güçlü serpintiye bak. O sırılsıklam ..., cidden.|olacak|olacak|
hu|Tesó, nézd azt az erős permetet. Ő bőrig ... ázni, komolyan.|fog|fog|
MEDIA 4487 | meaning: having a considerate and helpful nature
E 33563 | A1 type 4 Modal verb CAN | style chill | options 3 | SEL
en|The kind man ... make pancakes for all the kids.|can|cans|can to
de|Der nette Mann ... für alle Kinder Pfannkuchen machen.|kann|kann|kann
ua|Добрий чоловік ... спекти млинці для всіх дітей.|може|може|може
es|El hombre amable ... hacer tortitas para todos los niños.|puede|puede|puede
fr|Le gentil monsieur ... faire des crêpes pour tous les enfants.|peut|peut|peut
tr|Nazik adam bütün çocuklar için krep ...|yapabilir|yapabilir|yapabilir
hu|A kedves férfi ... palacsintát sütni az összes gyereknek.|tud|tud|tud
E 33569 | A2 type 25 Adverb formation | style gossip | options 3 | SEL
en|Bestie, she said he cleared her path so ... .|kindly|kind|kindness
de|Bestie, sie hat gesagt, er hat ihren Weg so ... freigeräumt.|freundlich|freundlich|Freundlichkeit
ua|Подруго, вона казала, що він так ... розчистив їй доріжку.|люб'язно|люб'язний|люб'язність
es|Amiga, ella dijo que él le despejó el camino tan ...|amablemente|amable|amabilidad
fr|Ma belle, elle a dit qu'il a dégagé son chemin si ...|gentiment|gentil|gentillesse
tr|Kankam, o dedi ki adam onun yolunu çok ... temizlemiş.|nazikçe|nazik|naziklik
hu|Csajszi, ő azt mondta, hogy a férfi olyan ... takarította el az útját.|kedvesen|kedves|kedvesség
MEDIA 4490 | meaning: to make ready in advance
E 34531 | A1 type 3 Present Simple | style slang | options 3 | SEL
en|Bro, she ... the table for a party, so cool.|prepares|prepare|preparing
de|Alter, sie ... den Tisch für eine Party vor, so cool.|bereitet|bereiten|vorbereitend
ua|Бро, вона ... стіл до вечірки, так круто.|готує|готувати|готуючи
es|Tío, ella ... la mesa para una fiesta, qué guay.|prepara|preparar|preparando
fr|Frérot, elle ... la table pour une fête, trop cool.|prépare|préparer|préparant
tr|Kanka, o parti için masayı ..., çok havalı.|hazırlar|hazırlamak|hazırlayarak
hu|Tesó, ő ... az asztalt egy bulira, nagyon menő.|előkészíti|előkészíteni|előkészítő
E 34534 | A2 type 17 Future BE GOING TO | style clueless | options 3 | SEL
en|Dinner is at night, so she ... dinner for tonight.|is going to prepare|going to prepare|is going prepare
de|Das Abendessen ist abends, also ... sie das Abendessen für heute Abend zubereiten.|wird|wird|wird
ua|Вечеря ввечері, тож вона ... вечерю на сьогоднішній вечір.|збирається приготувати|збирається приготувати|збирається приготувати
es|La cena es por la noche, así que ella ... la cena para esta noche.|va a preparar|va a preparar|va a preparar
fr|Le dîner, c'est le soir, donc elle ... le dîner pour ce soir.|va préparer|va préparer|va préparer
tr|Akşam yemeği akşam olur, bu yüzden o bu akşam için akşam yemeği ...|hazırlayacak|hazırlayacak|hazırlayacak
hu|A vacsora este van, ezért ő ... elkészíteni a ma esti vacsorát.|fogja|fogja|fogja
MEDIA 4497 | meaning: to place something into someone's hands
E 33191 | A2 type 15 Present Continuous or Simple | style chill | options 2 | SEL
en|He usually hands over bags, but now he ... the customer a coin.|is handing|hands|
de|Normalerweise reicht er Tüten rüber, aber jetzt ... er dem Kunden eine Münze.|reicht|reicht|
ua|Зазвичай він подає пакети, але зараз ... покупцеві монету.|подає|подає|
es|Normalmente él entrega bolsas, pero ahora le ... una moneda al cliente.|está dando|da|
fr|D'habitude il tend des sacs, mais maintenant il ... une pièce au client.|est en train de tendre|tend|
tr|O genelde poşet uzatır ama şimdi müşteriye bir bozuk para ...|uzatıyor|uzatır|
hu|Ő általában szatyrokat ad át, de most egy érmét ... a vásárlónak.|ad|ad|
MEDIA 4499 | meaning: to go to see a place
E 36211 | A1 type 4 Modal verb CAN | style dramatic | options 3 | SEL
en|Catastrophe! Nobody ... visit this castle without a selfie!|can|is|are
de|Katastrophe! Niemand ... diese Burg ohne Selfie besuchen!|kann|ist|sind
ua|Катастрофа! Ніхто не ... відвідати цей замок без селфі!|може|є|є
es|¡Catástrofe! ¡Nadie ... visitar este castillo sin un selfie!|puede|está|están
fr|Catastrophe ! Personne ne ... visiter ce château sans selfie !|peut|est|sont
tr|Felaket! Kimse bu kaleyi selfie olmadan ...!|ziyaret edemez||
hu|Katasztrófa! Senki sem ... meglátogatni ezt a várat szelfi nélkül!|tudja|van|vannak
E 36216 | A2 type 24 Modal verb SHOULD | style chill | options 3 | SEL
en|People who visit this tower ... wear good shoes for the hill.|should|shoulds|should to
de|Leute, die diesen Turm besuchen, ... für den Hügel gute Schuhe tragen.|sollten|sollten|sollten
ua|Люди, які відвідують цю вежу, ... взути добре взуття для пагорба.|мали б|мали б|мали б
es|La gente que visita esta torre ... llevar buen calzado para la colina.|debería|debería|debería
fr|Les gens qui visitent cette tour ... porter de bonnes chaussures pour la colline.|devraient|devraient|devraient
tr|Bu kuleyi ziyaret edenler tepe için iyi ayakkabı ...|giymeli|giymeli|giymeli
hu|Azoknak, akik meglátogatják ezt a tornyot, jó cipőt ... hordaniuk a dombhoz.|kellene|kellene|kellene
MEDIA 4500 | meaning: done rapidly, without delay
E 34598 | A1 type 1 TO BE | style dramatic | options 3 | SEL
en|The end for the ball! Her hands ... so quick!|are|is|am
de|Das Ende für den Ball! Ihre Hände ... so schnell!|sind|ist|bin
ua|Кінець м'ячу! Її руки ... такі швидкі!|є|є|є
es|¡El fin para la pelota! ¡Sus manos ... tan rápidas!|son|es|soy
fr|La fin pour le ballon ! Ses mains ... si rapides !|sont|est|suis
tr|Topun sonu geldi! Onun elleri çok hızlı ...!|||
hu|Vége a labdának! A keze ... olyan gyors!|||vagyok
E 34601 | A2 type 14 Present Continuous | style gossip | options 3 | SEL
en|Guess what, she said the goalkeeper ... a quick dive right now.|is doing|does|is do
de|Rate mal, sie hat gesagt, der Torwart ... gerade einen schnellen Hechtsprung.|macht|macht|macht
ua|Уяви, вона сказала, що воротар саме зараз ... швидкий стрибок.|робить|робить|робить
es|Adivina qué, ella dijo que el portero ... una estirada rápida ahora mismo.|está haciendo|hace|está haciendo
fr|Devine quoi, elle a dit que le gardien ... un plongeon rapide en ce moment.|est en train de faire|fait|est en train de faire
tr|Bil bakalım, o dedi ki kaleci şu an hızlı bir plonjon ...|yapıyor|yapar|yapıyor
hu|Képzeld, ő azt mondta, hogy a kapus most épp egy gyors vetődést ...|csinál|csinál|csinál
MEDIA 4501 | meaning: a small air-breathing creature with six legs
E 33480 | A2 type 16 Future with WILL | style chill | options 3 | SEL
en|Soon this insect ... a butterfly.|will become|becomes|became
de|Bald ... dieses Insekt ein Schmetterling.|wird|wird|wurde
ua|Скоро ця комаха ... метеликом.|стане|стає|стала
es|Pronto este insecto se ... en mariposa.|convertirá|convierte|convirtió
fr|Bientôt, cet insecte ... un papillon.|deviendra|devient|est devenu
tr|Yakında bu böcek bir kelebek ...|olacak|olur|oldu
