MEDIA 4535 | meaning: a unit of instruction
E 33713 | A1 type 10 Prepositions of place/time | style clueless | options 3 | SEL
tr|Her ulusun kendi bayrağı ...! Bu kesinlikle unutulmaz!|var|var|var
hu|Minden nemzetnek saját zászlaja ...! Ez abszolút felejthetetlen!|van|van|van
E 34046 | A2 type 24 Modal verb SHOULD | style chill | options 3 | SEL
en|The officials ... stand quietly while each nation raises its flag.|should|shall|ought
de|Die Offiziellen ... ruhig stehen, während jede Nation ihre Flagge hisst.|sollten|sollen|sollten
ua|Посадовці ... стояти тихо, поки кожна нація піднімає свій прапор.|мали б|будуть|мали б
es|Los funcionarios ... estar en silencio mientras cada nación iza su bandera.|deberían|deberán|deberían
fr|Les officiels ... rester silencieux pendant que chaque nation hisse son drapeau.|devraient|devront|devraient
tr|Her ulus bayrağını çekerken yetkililer sessizce ...|durmalı|duracak|durmalı
hu|A tisztviselőknek csendben ... állniuk, amíg minden nemzet felvonja a zászlaját.|kellene|kell|kellene
MEDIA 4733 | meaning: the degree of hotness or coldness of something
E 35831 | A2 type 17 Future BE GOING TO | style chill | options 3 | SEL
en|The boy has a high temperature. He ... miss school tomorrow.|is going to|will|is
de|Der Junge hat hohes Fieber. Er ... morgen in der Schule fehlen.|wird|wird|ist
ua|У хлопчика висока температура. Він завтра ... пропустити школу.|збирається|буде|є
es|El niño tiene fiebre alta. Él ... faltar al colegio mañana.|va a||está
fr|Le garçon a beaucoup de fièvre. Il ... manquer l'école demain.|va||est
tr|Çocuğun ateşi yüksek. O yarın okulu ...|kaçıracak|kaçıracak|
hu|A fiúnak magas láza van. Ő holnap ... hiányozni az iskolából.|fog|fog|van
MEDIA 4741 | meaning: to cause something to move by pulling
E 34562 | A1 type 9 Wh- questions | style business | options 3 | SEL
en|Target: 30 fish today. ... does he pull the rod? Very hard.|How|Who|Where
de|Ziel: heute 30 Fische. ... zieht er an der Rute? Sehr fest.|Wie|Wer|Wo
ua|Ціль: сьогодні 30 риб. ... він тягне вудку? Дуже сильно.|Як|Хто|Де
es|Objetivo: 30 peces hoy. ¿... tira él de la caña? Muy fuerte.|Cómo|Quién|Dónde
fr|Objectif : 30 poissons aujourd'hui. ... tire-t-il sur la canne ? Très fort.|Comment|Qui|Où
tr|Hedef: bugün 30 balık. O oltayı ... çekiyor? Çok sert.|nasıl|kim|nerede
hu|Cél: ma 30 hal. ... húzza ő a botot? Nagyon erősen.|Hogyan|Ki|Hol
E 34565 | A2 type 14 Present Continuous | style chill | options 3 | SEL
en|Now he ... the fish up with a landing net.|is pulling|pulls|is pull
de|Jetzt ... er den Fisch mit einem Kescher heraus.|zieht|zieht|zieht
ua|Тепер він ... рибу підсакою.|витягує|витягує|витягує
es|Ahora él ... el pez con un salabre.|está sacando|saca|está sacando
fr|Maintenant, il ... le poisson avec une épuisette.|est en train de sortir|sort|est en train de sortir
tr|Şimdi o balığı kepçeyle ...|çekiyor|çeker|çekiyor
hu|Most ő egy merítőhálóval ... ki a halat.|húzza|húzza|húzza
MEDIA 4742 | meaning: having more power or strength than normal
E 35593 | A1 type 4 Modal verb CAN | style chill | options 3 | SEL
en|She is strong. She ... jump onto the tall box.|can|cans|is
de|Sie ist stark. Sie ... auf die hohe Kiste springen.|kann|kann|ist
ua|Вона сильна. Вона ... застрибнути на високу тумбу.|може|може|є
es|Es fuerte. Ella ... saltar encima del cajón alto.|puede|puede|está
fr|Elle est forte. Elle ... sauter sur la caisse haute.|peut|peut|est
tr|O güçlü. Yüksek kutunun üstüne ...|atlayabilir|atlayabilir|
hu|Erős. Ő fel ... ugrani a magas dobozra.|tud|tud|van
E 35597 | A2 type 25 Adverb formation | style business | options 3 | SEL
en|Performance review: she swings the 20 kg kettlebell ...|strongly|strong|strongness
de|Leistungsbeurteilung: Sie schwingt die 20-kg-Kettlebell ...|kraftvoll|kraftvoll|Kraft
ua|Оцінка результатів: вона махає гирею на 20 кг ...|сильно|сильний|сила
es|Evaluación de desempeño: ella balancea la pesa rusa de 20 kg ...|fuertemente|fuerte|fuerza
fr|Évaluation de performance : elle balance le kettlebell de 20 kg ...|fortement|fort|force
tr|Performans değerlendirmesi: o 20 kiloluk kettlebell'i ... sallıyor.|güçlüce|güçlü|güçlülük
hu|Teljesítményértékelés: ő ... lendíti a 20 kilós kettlebellt.|erősen|erős|erősség
MEDIA 4744 | meaning: to rest and let your body and mind go calm
E 34701 | A1 type 9 Wh- questions | style chill | options 3 | SEL
en|... do they relax? On the water of a salt lake.|Where|When|Who
de|... entspannen sie sich? Auf dem Wasser eines Salzsees.|Wo|Wann|Wer
ua|... вони відпочивають? На воді солоного озера.|Де|Коли|Хто
es|¿... se relajan ellos? En el agua de un lago salado.|Dónde|Cuándo|Quién
fr|... se détendent-ils ? Sur l'eau d'un lac salé.|Où|Quand|Qui
tr|Onlar ... dinleniyor? Bir tuz gölünün suyunda.|nerede|ne zaman|kim
hu|... pihennek ők? Egy sós tó vizén.|Hol|Mikor|Ki
E 34708 | A2 type 23 Must, Have to... | style gossip | options 3 | SEL
en|Girl, he told me the lake rule: you ... relax with no phone.|have to|must|should
de|Mädel, er hat mir die Seeregel gesagt: Du ... ohne Handy entspannen.|musst|musst|solltest
ua|Подруго, він сказав мені правило озера: ти ... відпочивати без телефону.|маєш|мусиш|мав би
es|Tía, él me dijo la regla del lago: ... relajarte sin móvil.|tienes que|debes|deberías
fr|Meuf, il m'a dit la règle du lac : tu ... te détendre sans téléphone.|dois|dois|devrais
tr|Kızım, o bana gölün kuralını söyledi: telefonsuz ...|dinlenmek zorundasın|dinlenmelisin|dinlenmelisin
hu|Csajszi, ő elmondta nekem a tó szabályát: telefon nélkül ... pihenned.|kell|kell|kellene
MEDIA 4746 | meaning: someone who takes photos as their job
E 34373 | A1 type 8 My, Your, His,... | style dramatic | options 3 | SEL
en|The jet is so close! A photographer swings ... lens up in panic!|his|her|their
de|Der Jet ist so nah! Ein Fotograf reißt panisch ... Objektiv hoch!|sein|ihr|ihr
ua|Літак так близько! Фотограф у паніці задирає ... об'єктив!|свій|свій|свій
es|¡El avión está tan cerca! ¡Un fotógrafo levanta ... objetivo presa del pánico!|su|su|su
fr|L'avion est si proche ! Un photographe relève ... objectif en panique !|son|son|leur
tr|Jet çok yakın! Bir fotoğrafçı panikle ... objektifini yukarı çeviriyor!|onun|onun|onların
hu|A gép olyan közel van! Egy fotós pánikban felrántja az ...!|objektívjét|objektívjét|objektívjüket
E 34379 | A2 type 23 Must, Have to... | style chill | options 3 | SEL
en|Airport rules say photographers ... stay behind the fence.|have to|must|should
de|Die Flughafenregeln sagen, dass Fotografen hinter dem Zaun bleiben ...|müssen|müssen|sollten
ua|Правила аеропорту кажуть, що фотографи ... залишатися за парканом.|мають|мусять|мали б
es|Las normas del aeropuerto dicen que los fotógrafos ... quedarse detrás de la valla.|tienen que|deben|deberían
fr|Le règlement de l'aéroport dit que les photographes ... rester derrière la clôture.|doivent|doivent|devraient
tr|Havalimanı kurallarına göre fotoğrafçılar çitin arkasında ...|kalmak zorunda|kalmalı|kalmalı
hu|A reptéri szabályok szerint a fotósoknak a kerítés mögött ... maradniuk.|kell|kell|kellene
MEDIA 4747 | meaning: a big white and grey bird that lives by the sea
E 34952 | A1 type 7 This, That, These... | style chill | options 3 | SEL
en|... seagulls fly very close to the man.|These|This|That
de|... Möwen fliegen ganz nah an den Mann heran.|Diese|Diese|Jene
ua|... чайки літають дуже близько до чоловіка.|Ці|Ця|Та
es|... gaviotas vuelan muy cerca del hombre.|Estas|Esta|Esa
fr|... mouettes volent très près de l'homme.|Ces|Cette|Cette
tr|... martılar adama çok yakın uçuyor.|Bu|Bu|Şu
hu|... a sirályok nagyon közel repülnek a férfihoz.|Ezek|Ez|Az
E 34956 | A2 type 19 Countable and uncountable | style chill | options 3 | SEL
en|He gives the seagulls some ... from his hand.|bread|breads|a bread
de|Er gibt den Möwen etwas ... aus der Hand.|Brot|Brot|ein Brot
ua|Він дає чайкам трохи ... з руки.|хліба|хліба|хліба
es|Él les da a las gaviotas algo de ... de su mano.|pan|pan|un pan
fr|Il donne un peu de ... aux mouettes dans sa main.|pain|pain|un pain
tr|O martılara elinden biraz ... veriyor.|ekmek|ekmekler|bir ekmek
hu|Ő ad egy kis ... a sirályoknak a kezéből.|kenyeret|kenyeret|egy kenyeret
MEDIA 4751 | meaning: a person who shows tourists around a place
E 33109 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|The guide ... the group down a narrow lane.|leads|lead|leading
de|Die Führerin ... die Gruppe eine schmale Gasse hinunter.|führt|führen|führend
ua|Екскурсоводка ... групу вузьким провулком.|веде|вести|ведучи
es|La guía ... al grupo por un callejón estrecho.|lleva|llevar|llevando
fr|La guide ... le groupe dans une ruelle étroite.|mène|mener|menant
tr|Rehber grubu dar bir sokaktan ...|götürür|götürmek|götürerek
hu|Az idegenvezető ... a csoportot egy szűk sikátoron.|vezeti|vezetni|vezető
E 33115 | A2 type 26 Basic conjunctions | style ironic | options 3 | SEL
en|A quiet street, obviously. The guide lifts the umbrella ... nobody gets lost.|so|but|because
de|Eine ruhige Straße, klar. Die Führerin hebt den Schirm, ... verläuft sich niemand.|also|aber|weil
ua|Тиха вулиця, звісно. Екскурсоводка піднімає парасольку, ... ніхто не загубиться.|тому|але|бо
es|Una calle tranquila, obviamente. La guía levanta el paraguas, ... nadie se pierde.|así que|pero|porque
fr|Une rue calme, évidemment. La guide lève le parapluie, ... personne ne se perd.|donc|mais|parce que
tr|Sessiz bir sokak, belli ki. Rehber şemsiyeyi kaldırıyor, ... kimse kaybolmuyor.|bu yüzden|ama|çünkü
hu|Csendes utca, nyilván. Az idegenvezető felemeli az esernyőt, ... senki sem téved el.|ezért|de|mert
MEDIA 4756 | meaning: the European country whose capital is Paris
E 32809 | A1 type 9 Wh- questions | style clueless | options 3 | SEL
en|... is France? In France, because that is where France is.|Where|What|Who
de|... ist Frankreich? In Frankreich, weil Frankreich eben dort ist.|Wo|Was|Wer
ua|... Франція? У Франції, бо саме там Франція і є.|Де|Що|Хто
es|¿... está Francia? En Francia, porque ahí es donde está Francia.|Dónde|Qué|Quién
fr|... est la France ? En France, parce que c'est là que se trouve la France.|Où|Que|Qui
tr|Fransa ...? Fransa'da, çünkü Fransa orada.|nerede|ne|kim
hu|... van Franciaország? Franciaországban, mert ott van Franciaország.|Hol|Mi|Ki
  ~soft: SEL: pronoun inside an option
E 32815 | A2 type 15 Present Continuous or Simple | style slang | options 2 | SEL
en|Nah bro, she usually works, but today in France she ... croissants.|is eating|eats|
de|Nee Digga, sie arbeitet sonst, aber heute in Frankreich ... sie Croissants.|isst|isst|
ua|Не, бро, вона зазвичай працює, але сьогодні у Франції ... круасани.|їсть|їсть|
es|Qué va, tío, ella normalmente trabaja, pero hoy en Francia ... cruasanes.|está comiendo|come|
fr|Non frérot, d'habitude elle bosse, mais aujourd'hui en France elle ... des croissants.|est en train de manger|mange|
tr|Yok kanka, o genelde çalışır ama bugün Fransa'da kruvasan ...|yiyor|yer|
hu|Nem, tesó, ő általában dolgozik, de ma Franciaországban croissant-t ...|eszik|eszik|
MEDIA 4757 | meaning: being free, with nothing holding you back
E 32828 | A2 type 18 Going to or Will | style clueless | options 2 | SEL
en|He has freedom now, so I think he ... free.|will be|is going to be|
de|Er hat jetzt Freiheit, also glaube ich, dass er frei ...|sein wird|sein wird|
ua|Тепер у нього є свобода, тож я думаю, що він ... вільним.|буде|буде|
es|Ahora él tiene libertad, así que creo que ... libre.|será|va a ser|
fr|Il a la liberté maintenant, donc je pense qu'il ... libre.|sera|va être|
tr|Artık özgürlüğü var, bu yüzden bence o özgür ...|olacak|olacak|
hu|Most már szabadsága van, ezért azt hiszem, ő szabad ...|lesz|lesz|
MEDIA 4758 | meaning: containing as much as is possible
E 32890 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|He ... the fridge until every shelf is full.|fills|fill|filling
de|Er ... den Kühlschrank, bis jedes Fach voll ist.|füllt|füllen|füllend
ua|Він ... холодильник, доки кожна полиця не стане повною.|заповнює|заповнювати|заповнюючи
es|Él ... la nevera hasta que cada estante esté lleno.|llena|llenar|llenando
fr|Il ... le frigo jusqu'à ce que chaque étagère soit pleine.|remplit|remplir|remplissant
tr|O her raf dolana kadar buzdolabını ...|doldurur|doldurmak|doldurarak
hu|Ő addig ... a hűtőt, amíg minden polc tele nem lesz.|tölti|tölteni|töltő
E 32895 | A2 type 25 Adverb formation | style flirt | options 3 | SEL
en|Honestly, you packed that full fridge so ... Impressive.|neatly|neat|neatness
de|Ehrlich, du hast den vollen Kühlschrank so ... eingeräumt. Beeindruckend.|ordentlich|ordentlich|Ordnung
ua|Чесно, ти заповнив цей повний холодильник так ... Вражає.|акуратно|акуратний|акуратність
es|En serio, tú llenaste esa nevera tan ... Impresionante.|ordenadamente|ordenado|orden
fr|Franchement, tu as rempli ce frigo plein si ... Impressionnant.|soigneusement|soigné|soin
tr|Açıkçası sen o dolu buzdolabını çok ... yerleştirdin. Etkileyici.|düzgünce|düzgün|düzgünlük
hu|Őszintén, te olyan ... pakoltad be azt a teli hűtőt. Lenyűgöző.|rendesen|rendes|rendesség
MEDIA 4760 | meaning: to use one thing together with someone
E 35040 | A1 type 3 Present Simple | style chill | options 3 | SEL
en|He ... his ice cream with his friend.|shares|share|sharing
de|Er ... sein Eis mit seinem Freund.|teilt|teilen|teilend
ua|Він ... своїм морозивом із другом.|ділиться|ділитися|ділячись
es|Él ... su helado con su amigo.|comparte|compartir|compartiendo
fr|Il ... sa glace avec son ami.|partage|partager|partageant
tr|O dondurmasını arkadaşıyla ...|paylaşır|paylaşmak|paylaşarak
hu|Ő ... a fagyiját a barátjával.|megosztja|megosztani|megosztó
E 35046 | A2 type 24 Modal verb SHOULD | style dramatic | options 3 | SEL
en|It is the last ice cream in the world! You ... share it!|should|shall|ought
de|Es ist das letzte Eis der Welt! Du ... es teilen!|solltest|sollst|solltest
ua|Це останнє морозиво у світі! Ти ... ним поділитися!|мав би|будеш|мав би
es|¡Es el último helado del mundo! ¡Tú ... compartirlo!|deberías|deberás|deberías
fr|C'est la dernière glace au monde ! Tu ... la partager !|devrais|devras|devrais
tr|Bu dünyadaki son dondurma! Sen onu ...!|paylaşmalısın|paylaşacaksın|paylaşmalısın
hu|Ez az utolsó fagyi a világon! Neked meg ... osztanod!|kellene|kell|kellene
MEDIA 4764 | meaning: a long soft seat for more than one person
E 35333 | A1 type 6 A, AN, THE | style chill | options 3 | SEL
en|Their sofa is ... old green sofa.|an|a|the
de|Ihr Sofa ist ... altes grünes Sofa.|ein|ein|das
ua|Їхній диван — ... старий зелений диван.|||
es|Su sofá es ... sofá verde viejo.|un|un|el
fr|Leur canapé est ... vieux canapé vert.|un|un|le
tr|Onların kanepesi ... eski yeşil kanepe.|bir|bir|
hu|Az ő kanapéjuk ... régi zöld kanapé.|egy|egy|a
E 35338 | A2 type 21 There is, are | style gossip | options 3 | SEL
en|Girl, she told me there ... crisps all over the sofa now.|are|is|be
de|Mädel, sie hat mir erzählt, dass jetzt überall auf dem Sofa Chips ...|sind|ist|sein
ua|Подруго, вона мені сказала, що тепер по всьому дивану ... чипси.|є|є|бути
es|Tía, ella me dijo que ahora ... patatas fritas por todo el sofá.|hay|hay|hay
fr|Meuf, elle m'a dit que maintenant, ... des chips partout sur le canapé.|il y a|il y a|il y a
tr|Kızım, o bana şimdi kanepenin her yerinde cips ... dedi.|var|var|olmak
hu|Csajszi, ő azt mondta nekem, hogy most mindenhol chips ... a kanapén.|van|vannak|lenni
MEDIA 4766 | meaning: to work in the garden
E 32939 | A2 type 16 Future with WILL | style chill | options 3 | SEL
en|The tomatoes are ripe, so she ... again tomorrow.|will garden|gardens|gardened
de|Die Tomaten sind reif, also ... sie morgen wieder im Garten arbeiten.|wird|arbeitet|arbeitete
ua|Помідори стиглі, тож вона завтра знову ... в саду.|працюватиме|працює|працювала
es|Los tomates están maduros, así que ella ... en el huerto otra vez mañana.|trabajará|trabaja|trabajó
fr|Les tomates sont mûres, donc elle ... encore demain.|jardinera|jardine|a jardiné
tr|Domatesler olgun, bu yüzden o yarın yine bahçede ...|çalışacak|çalışır|çalıştı
hu|A paradicsomok érettek, ezért ő holnap újra ... a kertben.|dolgozni fog|dolgozik|dolgozott
MEDIA 4767 | meaning: a person who looks after a garden
E 32949 | A1 type 8 My, Your, His,... | style chill | options 3 | SEL
en|The gardener has tools in ... apron pockets.|her|his|its
de|Die Gärtnerin hat Werkzeug in ... Schürzentaschen.|ihren|seinen|seinen
ua|Садівниця має інструменти в кишенях ... фартуха.|свого|свого|свого
es|La jardinera tiene herramientas en ... bolsillos del delantal.|sus|sus|sus
fr|La jardinière a des outils dans ... poches de tablier.|ses|ses|ses
tr|Bahçıvanın ... önlük ceplerinde aletler var.|onun|onun|onun
hu|A kertésznő szerszámokat tart a kötényének ...|zsebeiben|zsebeiben|zsebeiben
E 32952 | A2 type 19 Countable and uncountable | style slang | options 3 | SEL
en|Dude, the gardener pours so much ... on the flowers, lowkey.|water|waters|a water
de|Alter, die Gärtnerin gießt so viel ... auf die Blumen, lowkey.|Wasser|Wasser|ein Wasser
ua|Чувак, садівниця ллє на квіти стільки ..., лоукі.|води|води|води
es|Tío, la jardinera echa tanta ... en las flores, la verdad.|agua|agua|un agua
fr|Mec, la jardinière verse tellement ... sur les fleurs, discret.|d'eau|d'eau|d'une eau
tr|Kanka, bahçıvan çiçeklere o kadar çok ... döküyor ki, lowkey.|su|sular|bir su
hu|Haver, a kertész annyi ... önt a virágokra, lowkey.|vizet|vizet|egy vizet
MEDIA 4769 | meaning: a barrier that goes around an area
E 32696 | A1 type 6 A, AN, THE | style business | options 3 | SEL
en|Viewpoint budget: a new fence. ... fence costs 900 euros.|The|A|An
de|Budget für den Aussichtspunkt: ein neuer Zaun. ... Zaun kostet 900 Euro.|Der|Ein|Ein
ua|Бюджет оглядового майданчика: новий паркан. ... Паркан коштує 900 євро.|||
es|Presupuesto del mirador: una valla nueva. ... valla cuesta 900 euros.|La|Una|Una
fr|Budget du belvédère : une nouvelle clôture. ... clôture coûte 900 euros.|La|Une|Une
tr|Seyir noktası bütçesi: yeni bir çit. ... Çit 900 euro tutuyor.||Bir|Bir
hu|Kilátópont-költségvetés: egy új kerítés. ... kerítés 900 euróba kerül.|A|Egy|Egy
E 32698 | A2 type 21 There is, are | style flirt | options 3 | SEL
en|There ... a fence between you and the drop, smart choice, honestly.|is|are|be
de|Zwischen dir und dem Abgrund ... ein Zaun, kluge Wahl, ehrlich.|ist|sind|sein
ua|Між тобою і прірвою ... паркан, розумний вибір, чесно.|є|є|бути
es|... una valla entre tú y el precipicio, buena elección, en serio.|Hay|Hay|Hay
fr|... une clôture entre toi et le vide, choix malin, franchement.|Il y a|Il y a|Il y a
tr|Seninle uçurum arasında bir çit ..., akıllıca seçim, cidden.|var|var|olmak
hu|Közted és a szakadék között ... egy kerítés, okos választás, őszintén.|van|vannak|lenni
MEDIA 4771 | meaning: a large grand house where a king lives
E 34228 | A1 type 11 Cardinal numbers | style flirt | options 3 | SEL
en|You open ... gates to find that palace? Respect.|four|fourth|for
de|Du öffnest ... Tore, um diesen Palast zu finden? Respekt.|vier|vierte|für
ua|Ти відчиняєш ... брами, щоб знайти той палац? Респект.|чотири|четверту|для
es|¿Tú abres ... puertas para encontrar ese palacio? Respeto.|cuatro|cuartas|para
fr|Tu ouvres ... portes pour trouver ce palais ? Respect.|quatre|quatrièmes|pour
tr|Sen o sarayı bulmak için ... kapı mı açıyorsun? Saygı.|dört|dördüncü|için
hu|Te ... kaput nyitsz ki, hogy megtaláld azt a palotát? Respekt.|négy|negyedik|számára
E 34229 | A2 type 12 Past Simple | style chill | options 3 | SEL
en|Yesterday she ... four gates and found a palace.|opened|opens|open
de|Gestern ... sie vier Tore und fand einen Palast.|öffnete|öffnet|öffnen
ua|Учора вона ... чотири брами і знайшла палац.|відчинила|відчиняє|відчиняти
es|Ayer ella ... cuatro puertas y encontró un palacio.|abrió|abre|abrir
fr|Hier, elle ... quatre portes et a trouvé un palais.|a ouvert|ouvre|ouvrir
tr|Dün o dört kapı ... ve bir saray buldu.|açtı|açar|açmak
hu|Tegnap ő négy kaput ... ki, és talált egy palotát.|nyitott|nyit|nyitni
MEDIA 4774 | meaning: all the people of about the same age alive now
E 32963 | A2 type 20 Much, Many, Some... | style chill | options 3 | SEL
en|How ... generations of the family are in the garden?|many|much|some
de|Wie ... Generationen der Familie sind im Garten?|viele|viel|einige
ua|... поколінь родини в саду?|Скільки|Скільки|Кілька
  ~soft: length ratio 0.58
es|¿... generaciones de la familia hay en el jardín?|Cuántas|Cuánta|Algunas
fr|... générations de la famille y a-t-il dans le jardin ?|Combien de|Combien de|Des
tr|Bahçede ailenin ... kuşağı var?|kaç|kaç|bazı
  ~soft: length ratio 0.58
hu|... generációja van a családnak a kertben?|Hány|Mennyi|Néhány
MEDIA 4776 | meaning: showing good manners towards other people
E 34475 | A2 type 22 Adjective comparison | style chill | options 3 | SEL
en|He lifts his top hat. He is ... than the other men in the park.|more polite|politest|more politer
de|Er lüftet seinen Zylinder. Er ist ... als die anderen Männer im Park.|höflicher|am höflichsten|höflicher
ua|Він піднімає циліндр. Він ... за інших чоловіків у парку.|більш ввічливий|найввічливіший|ввічливіший
es|Se quita la chistera. Él es ... que los otros hombres del parque.|más educado|el más educado|más educado
fr|Il soulève son haut-de-forme. Il est ... que les autres hommes du parc.|plus poli|le plus poli|plus poli
tr|Silindir şapkasını kaldırıyor. O parktaki diğer adamlardan ...|daha kibar|en kibar|daha kibar
hu|Megemeli a cilinderét. Ő ..., mint a többi férfi a parkban.|udvariasabb|legudvariasabb|udvariasabb
MEDIA 4777 | meaning: providing useful help to other people
E 33294 | A1 type 1 TO BE | style chill | options 3 | SEL
en|The man in the grey suit ... very helpful to people.|is|are|am
de|Der Mann im grauen Anzug ... sehr hilfsbereit zu den Leuten.|ist|sind|bin
ua|Чоловік у сірому костюмі ... дуже чуйний до людей.|є|є|є
es|El hombre del traje gris ... muy servicial con la gente.|es|son|soy
fr|L'homme au costume gris ... très serviable avec les gens.|est|sont|suis
tr|Gri takım elbiseli adam insanlara karşı çok yardımsever ...|||
hu|A szürke öltönyös férfi ... nagyon segítőkész az emberekkel.|||vagyok
E 33298 | A2 type 18 Going to or Will | style flirt | options 2 | SEL
en|Not gonna lie, with that open umbrella you ... keep her dry. So helpful.|are going to|will|
de|Ehrlich gesagt, mit dem offenen Schirm ... du sie trocken halten. So hilfsbereit.|wirst|wirst|
ua|Чесно, з цією відкритою парасолькою ти ... вберегти її від дощу. Такий турботливий.|збираєшся|будеш|
es|No te voy a mentir, con ese paraguas abierto tú ... mantenerla seca. Qué atento.|vas a||
fr|Sans mentir, avec ce parapluie ouvert, tu ... la garder au sec. Trop serviable.|vas||
tr|Yalan yok, o açık şemsiyeyle sen onu kuru ... Ne kadar yardımsever.|tutacaksın|tutacaksın|
hu|Nem hazudok, azzal a nyitott esernyővel te szárazon ... tartani őt. Milyen segítőkész.|fogod|fogod|
MEDIA 4779 | meaning: the country in central Europe, capital Berlin
E 32966 | A1 type 3 Present Simple | style flirt | options 3 | SEL
en|You ... around Germany with just one backpack? Respect.|travel|travels|to travel
de|Du ... mit nur einem Rucksack durch Deutschland? Respekt.|reist|reist|zu reisen
ua|Ти ... Німеччиною лише з одним рюкзаком? Респект.|подорожуєш|подорожує|подорожувати
es|¿Tú ... por Alemania con solo una mochila? Respeto.|viajas|viaja|viajar
fr|Tu ... en Allemagne avec un seul sac à dos ? Respect.|voyages|voyage|voyager
tr|Sen Almanya'yı tek bir sırt çantasıyla mı ...? Saygı.|gezersin|gezer|gezmek
hu|Te csak egy hátizsákkal ... Németországban? Respekt.|utazgatsz|utazgat|utazgatni
E 32969 | A2 type 19 Countable and uncountable | style slang | options 3 | SEL
en|Yo, Germany's got so much ... , look at those pretzels, no cap.|bread|breads|a bread
de|Yo, Deutschland hat so viel ..., schau dir die Brezeln an, ohne Witz.|Brot|Brot|ein Brot
ua|Йо, у Німеччині стільки ..., глянь на ті брецелі, без брехні.|хліба|хліба|хліба
es|Ey, Alemania tiene tanto ..., mira esos pretzels, en serio.|pan|pan|un pan
fr|Yo, l'Allemagne a tellement de ..., regarde ces bretzels, sans mentir.|pain|pain|un pain
tr|Kanka, Almanya'da o kadar çok ... var ki, şu brezellere bak, cidden.|ekmek|ekmekler|bir ekmek
hu|Figyu, Németországban annyi ... van, nézd azokat a pereceket, komolyan.|kenyér|kenyér|egy kenyér
MEDIA 4780 | meaning: independent, not joined to each other
E 35013 | A1 type 1 TO BE | style chill | options 3 | SEL
en|Now their two lives ... separate.|are|is|am
de|Jetzt ... ihre beiden Leben getrennt.|sind|ist|bin
ua|Тепер їхні два життя ... окремі.|є|є|є
es|Ahora sus dos vidas ... separadas.|están|está|estoy
fr|Maintenant, leurs deux vies ... séparées.|sont|est|suis
tr|Artık onların iki hayatı ayrı ...|||
hu|Most a két életük ... különálló.|||vagyok
E 35017 | A2 type 18 Going to or Will | style chill | options 2 | SEL
en|They put the rings on the table. They ... live separate lives.|are going to|will|
de|Sie legen die Ringe auf den Tisch. Sie ... getrennte Leben führen.|werden|werden|
ua|Вони кладуть каблучки на стіл. Вони ... жити окремим життям.|збираються|будуть|
es|Ponen los anillos sobre la mesa. Ellos ... vivir vidas separadas.|van a||
fr|Ils posent les alliances sur la table. Ils ... vivre des vies séparées.|vont||
tr|Yüzükleri masaya koyuyorlar. Onlar ayrı hayatlar ...|yaşayacak|yaşayacak|
hu|Leteszik a gyűrűket az asztalra. Ők külön ... élni.|fognak|fognak|
MEDIA 4781 | meaning: to take someone as your husband or wife
E 33858 | A1 type 9 Wh- questions | style slang | options 3 | SEL
en|Yo, ... is she gonna marry? The dude in the black suit.|Who|What|Where
de|Yo, ... wird sie heiraten? Den Typen im schwarzen Anzug.|wen|was|wo
ua|Йо, за ... вона вийде заміж? За чувака в чорному костюмі.|кого|що|де
es|Ey, ¿con ... se va a casar ella? Con el tío del traje negro.|quién|qué|dónde
fr|Yo, ... elle va épouser ? Le mec en costume noir.|qui|que|où
tr|Kanka, o ... ile evlenecek? Siyah takımlı adamla.|kim|ne|nerede
hu|Figyu, ... fog ő feleségül menni? A fekete öltönyös csávóhoz.|kihez|mihez|hol
E 33862 | A2 type 15 Present Continuous or Simple | style chill | options 2 | SEL
en|People often marry indoors, but this couple ... in a garden today.|is getting married|gets married|
de|Leute heiraten oft drinnen, aber dieses Paar ... heute in einem Garten.|heiratet|heiratet|
ua|Люди часто одружуються в приміщенні, але ця пара сьогодні ... в саду.|одружується|одружується|
es|La gente se casa a menudo en interiores, pero esta pareja ... en un jardín hoy.|se está casando|se casa|
fr|Les gens se marient souvent en intérieur, mais ce couple ... dans un jardin aujourd'hui.|est en train de se marier|se marie|
tr|İnsanlar genelde kapalı mekânda evlenir ama bu çift bugün bir bahçede ...|evleniyor|evlenir|
hu|Az emberek gyakran beltérben házasodnak, de ez a pár ma egy kertben ...|házasodik|házasodik|
MEDIA 4782 | meaning: an open area where people go to play
E 34450 | A1 type 8 My, Your, His,... | style chill | options 3 | SEL
en|The girl hops in the playground with ... friends.|her|his|its
de|Das Mädchen hüpft mit ... Freundinnen auf dem Spielplatz.|ihren|seinen|seinen
ua|Дівчинка стрибає на майданчику зі ... друзями.|своїми|своїми|своїми
es|La niña salta en el patio con ... amigos.|sus|sus|sus
fr|La fille saute dans la cour avec ... amis.|ses|ses|ses
tr|Kız oyun alanında ... arkadaşlarıyla sekiyor.|onun|onun|onun
hu|A lány a játszótéren ugrál a ...|barátaival|barátaival|barátaival
E 34453 | A2 type 19 Countable and uncountable | style ironic | options 3 | SEL
en|Great job: so much ... on the playground floor.|chalk|chalks|a chalk
