# id | pos | members | ok {a/b} | bad {a/b} [| head=N] [| irr=lemma:f;f]
# ---- Phase 1 false rejections (report lines 1236-1290)
near_beside | x | near, beside, next to, by | Two dolphins jump out of the ocean {near/beside} the boat. | She lives {near/beside} London, about ten miles away.
beach_shore_coast | n | beach, shore, seaside, coast | We walked along the {shore/beach}. | We spent a day at the {seaside/shore}.
coast_seaside | n | coast, seaside | -- skip
sky_heavens | n | -- skip
sun_sunshine | n | sun, sunshine, sunlight | They sat in the {sun/sunshine}. | The {sun/sunshine} is a star.
weather_climate | n | weather, climate | -- skip
rain_shower | n | shower, rain | -- skip
storm_thunderstorm | n | storm, thunderstorm | -- skip
wind_breeze | n | wind, breeze | A light {breeze/wind} blew. | The exam was a {breeze/wind}.
snow_frost | n | -- skip
ice_frost | n | -- skip
fire_flame | n | fire, flames | The house went up in {flames/fire}. | Let's sit by the {fire/flames}. -- ok? bad:
smoke_steam | n | smoke, steam | -- skip
noise_sound | n | noise, sound | I heard a strange {noise/sound}. | The music has a great {sound/noise}.
voice_sound | n | -- skip
music_song | n | -- skip
song_tune | n | song, tune | She hummed a {tune/song}. | He sold the house for a {song/tune}.
film_movie | n | film, movie | We watched a {film/movie}. | A {film/movie} of oil on the water.
picture_image | n | picture, image, photo | -- skip
show_programme | n | show, programme, program | My favourite TV {show/programme} is on. | The {show/programme} of the course is online. -- ok? bad
advert_poster | n | -- skip
news_information | n | -- skip
story_tale | n | story, tale | -- skip
fact_detail | n | -- skip
idea_thought | n | idea, thought | That's a good {idea/thought}. | I have no {idea/thought} where she is.
plan_scheme | n | -- skip
problem_issue_trouble | n | problem, issue, trouble | The main {problem/issue} is money. | The new {issue/problem} of the magazine is out.
mistake_error | n | mistake, error | There's a {mistake/error} in the bill. | She made the {mistake/error} of trusting him. -- ok? bad
accident_crash | n | accident, crash | She had a car {accident/crash}. | I broke it by {accident/crash}.
danger_risk | n | danger, risk | -- skip
chance_opportunity | n | chance, opportunity | This is a great {chance/opportunity}. | There's a {chance/opportunity} of rain.
luck_fortune | n | luck, fortune | Good {luck/fortune}! | The car cost a {fortune/luck}.
reason_cause | n | reason, cause | -- skip
result_outcome | n | result, outcome | -- skip
end_finish | n | end, finish | -- skip
beginning_start | n | beginning, start | From the {beginning/start} it was a mess. | She woke with a {start/beginning}.
middle_centre | n | middle, centre, center | She stood in the {middle/centre} of the room. | We met in the {middle/centre} of the night.
edge_side | n | edge, side | She sat on the {edge/side} of the bed. | Whose {side/edge} are you on?
corner_angle | n | -- skip
top_peak | n | top, peak, summit | They reached the {top/summit} at noon. | She wore a red {top/summit}.
bottom_base | n | bottom, base | -- skip
front_face | n | -- skip
back_rear | n | back, rear | Sit in the {back/rear} of the car. | My {back/rear} hurts.
side_edge | n | -- dup
part_piece_bit | n | part, piece, bit | Can I have a {piece/bit} of cake? | She plays the {part/piece} of the queen.
piece_slice | n | piece, slice | a {slice/piece} of bread | a {piece/slice} of advice
bit_little | n | -- skip
lot_plenty | n | -- skip
amount_quantity | n | amount, quantity | -- skip
number_figure | n | -- skip
size_measurement | n | -- skip
shape_form | n | shape, form | -- skip
kind_kind_of | n | -- skip
colour_shade | n | colour, color, shade | What {colour/shade} is it? | Sit in the {shade/colour}.
thing_object_item | n | thing, object, item | -- skip
stuff_things | n | stuff, things | Get your {stuff/things}, we're leaving. | -- skip
gift_present | n | gift, present | She got a birthday {present/gift}. | She has a {gift/present} for music.
card_card | n | -- skip
letter_note | n | letter, note | She left a {note/letter} on the table. | Hit the high {note/letter}.
message_text | n | message, text | I got your {message/text}. | Read the {text/message} and answer the questions.
email_mail | n | email, mail, e-mail | Check your {email/e-mail}. | The {mail/email} came late — the postman was ill.
phone_mobile | n | phone, mobile, mobile phone, cell phone, cellphone, smartphone | Switch off your {phone/mobile}. | She answered the office {phone/mobile}.
computer_laptop | n | -- skip
screen_display | n | screen, display | -- skip
key_button | n | key, button | Press any {key/button}. | She lost her house {key/button}.
bill_check_invoice | n | bill, check | Can we have the {bill/check}, please? | The doctor gave me a {check/bill}-up.
price_cost | n | price, cost | -- skip
wage_salary_pay | n | wage, salary, pay | Her {salary/pay} went up. | The minimum {wage/salary} rose again.
shopping_groceries | n | -- skip
food_meal | n | -- dup
lunch_dinner | n | -- skip
snack_bite | n | snack, bite | Let's grab a {bite/snack}. | The dog gave him a nasty {bite/snack}.
sweets_candy | n | sweets, candy, candies | The kids ate too many {sweets/candies}. | -- skip bad
biscuit_cookie | n | biscuit, cookie | She dipped a {biscuit/cookie} in her tea. | Accept all {cookies/biscuits} on the website.
chips_fries | n | chips, fries, French fries | fish and {chips/fries} | a bag of salt and vinegar {chips/fries} (crisps)
crisps_chips | n | crisps, chips | a packet of {crisps/chips} | Order the fish and {chips/crisps}.
jam_jelly | n | -- skip
cup_mug | n | cup, mug | a {mug/cup} of tea | She won the {cup/mug} final.
glass_tumbler | n | -- skip
plate_dish | n | plate, dish | Put it on a {plate/dish}. | A licence {plate/dish}.
pan_pot | n | pan, pot, saucepan | Heat oil in a {pan/pot}. | She smokes {pot/pan}.
oven_cooker | n | oven, cooker | -- skip
bin_rubbish | n | bin, rubbish bin, trash can, dustbin | Throw it in the {bin/rubbish bin}. | -- skip
rubbish_trash_garbage | n | rubbish, trash, garbage, waste | Take out the {rubbish/trash}. | Don't talk {rubbish/waste}! --
toilet_bathroom_loo | n | toilet, bathroom, loo | Where's the {toilet/loo}? | She cleaned the {toilet/bathroom} bowl.
tap_faucet | n | tap, faucet | Turn off the {tap/faucet}. | She gave him a {tap/faucet} on the shoulder.
cupboard_closet_wardrobe | n | cupboard, closet, wardrobe | Hang it in the {wardrobe/closet}. | She's got a new summer {wardrobe/closet} (clothes).
shelf_rack | n | shelf, rack | -- skip
drawer_box | n | -- skip
couch_armchair | n | -- dup sofa
blanket_duvet | n | blanket, duvet, quilt | -- skip
curtain_blind | n | -- skip
carpet_rug | n | carpet, rug | A {rug/carpet} lay by the fire. | The fitted {carpet/rug} covers the whole floor.
door_gate | n | door, gate | -- skip
window_pane | n | -- skip
stairs_steps | n | stairs, steps, staircase | She ran up the {stairs/steps}. | Take the first {steps/stairs} towards change.
lift_elevator | n | lift, elevator | Take the {lift/elevator} to the fifth floor. | Can you give me a {lift/elevator} to the station?
floor_storey | n | floor, storey, story | a three-{storey/floor} building. -- skip bad
wall_fence | n | wall, fence | -- skip
clothes_clothing | n | clothes, clothing, outfit | -- skip
trousers_pants | n | trousers, pants | She wore black {trousers/pants}. | (BrE) He changed his {pants/trousers} and socks. -- underwear
jumper_sweater | n | jumper, sweater, pullover | She knitted a {jumper/sweater}. | He is a high {jumper/sweater}.
jacket_coat | n | jacket, coat | Put on your {jacket/coat}. | -- skip
trainers_sneakers | n | trainers, sneakers, running shoes | She bought new {trainers/sneakers}. | Her personal {trainers/sneakers} charge 50 an hour.
hat_cap | n | hat, cap | -- skip
bag_handbag_purse | n | handbag, bag, purse | She lost her {handbag/bag}. | The {purse/handbag} for the fight was a million.
wallet_purse | n | wallet, purse | She lost her {wallet/purse}. | -- skip
necklace_chain | n | necklace, chain | -- skip
doctor_nurse | n | -- skip
illness_disease_sickness | n | illness, disease, sickness | -- skip
pain_ache_hurt | n | pain, ache | She has a {pain/ache} in her back. | He's a real {pain/ache} (annoying).
cold_flu | n | -- skip
medicine_drug | n | medicine, medication, drug | Take your {medicine/medication}. | He sells {drugs/medicine} on the street.
hospital_clinic | n | -- skip
body_figure | n | -- skip
face_expression | n | -- skip
arm_hand | n | arm, hand | -- skip
leg_foot | n | -- skip
stomach_belly_tummy | n | stomach, belly, tummy | My {tummy/stomach} hurts. | I don't have the {stomach/tummy} for horror films.
bottom_bum | n | bottom, bum, backside | -- skip
animal_creature | n | animal, creature | -- skip
dog_puppy | n | -- skip
cat_kitten | n | -- skip
bird_chick | n | -- skip
insect_bug | n | insect, bug | A {bug/insect} landed on my arm. | There's a {bug/insect} in the software.
rubbish_nonsense | n | nonsense, rubbish | That's {nonsense/rubbish}! | Put the {rubbish/nonsense} out.
exam_test | n | exam, test, examination | She passed her {exam/test}. | a blood {test/exam}
lesson_class | n | lesson, class | She has a French {lesson/class} at nine. | She learned her {lesson/class}.
homework_assignment | n | homework, assignment | -- skip
school_college | n | -- skip
grade_mark | n | grade, mark, score | She got a good {mark/grade}. | On your {marks/grades}, get set, go!
team_side_squad | n | team, side, squad | Our {team/side} won. | Which {side/team} of the road?
match_game | n | match, game | We won the {match/game}. | Strike a {match/game}.
sport_game | n | -- skip
goal_aim_target | n | goal, aim, target | Her {goal/aim} is to win. | She scored a {goal/aim}.
prize_award | n | prize, award | She won a {prize/award}. | -- skip bad
competition_contest | n | competition, contest, race | She entered a baking {competition/contest}. | There's a lot of {competition/contest} for jobs.
race_run | n | -- skip
fun_enjoyment | n | -- skip
hobby_pastime | n | hobby, pastime | -- skip
party_celebration | n | party, celebration | -- skip
holiday_festival | n | -- skip
fight_battle | n | fight, battle | -- skip
war_conflict | n | -- skip
peace_quiet | n | peace, quiet, calm | I need some {peace/quiet}. | They signed a {peace/quiet} treaty.
rule_law | n | rule, law | -- skip
police_cops | n | police, cops | Call the {police/cops}! | The {police/cops} force has 500 officers.
thief_robber_burglar | n | thief, robber, burglar | A {thief/robber} took her bag. | -- skip
crowd_group | n | crowd, group | -- skip
group_team | n | group, team | -- skip
people_folk | n | people, folk | -- skip
family_relatives | n | family, relatives | -- skip
parents_mum_dad | n | -- skip
dad_father | n | dad, father | Her {dad/father} is a pilot. | The {Father/Dad} blessed the couple.
mum_mother | n | mum, mother, mom | Her {mum/mother} is a nurse. | {Mother/Mum} Teresa.
grandma_granny | n | grandma, granny, grandmother, nan | Her {grandma/granny} bakes cakes. | -- skip
grandpa_granddad | n | grandpa, granddad, grandfather | -- skip
husband_partner | n | -- skip
girlfriend_partner | n | -- skip
aunt_auntie | n | aunt, auntie | -- skip
baby_toddler | n | -- skip
teenager_teen | n | teenager, teen, adolescent | Her son is a {teenager/teen}. | -- skip
adult_grown_up | n | adult, grown-up | Ask a {grown-up/adult} for help. | -- skip
neighbour_resident | n | -- skip
guest_visitor | n | guest, visitor | We have {guests/visitors} tonight. | The {visitors/guests} won 2-0.
tourist_visitor | n | tourist, visitor | The city is full of {tourists/visitors}. | -- skip
stranger_foreigner | n | -- skip
boss_chief | n | -- skip
worker_employee | n | worker, employee, staff member | The company has 50 {employees/workers}. | She's a hard {worker/employee}.
chef_cook | n | chef, cook | The {chef/cook} made pasta. | -- skip bad
waiter_server | n | waiter, server | -- skip
shop_assistant | n | shop assistant, sales assistant, salesperson | -- skip
driver_chauffeur | n | -- skip
pilot_captain | n | -- skip
# ---- adjectives / adverbs
small_little_tiny | a | small, little, tiny | a {small/little} house | She's got a {small/little} brother.
tiny_minute | x | tiny, minuscule | -- skip
big_huge | a | big, huge | They live in a {big/huge} house. | It's a {big/huge} deal? -- skip
large_wide | a | -- skip
tall_high | a | tall, high | a {tall/high} building | a {tall/high} fever.
high_high_up | a | -- skip
long_lengthy | a | -- skip
short_brief | a | short, brief | a {short/brief} meeting | She is quite {short/brief} for a basketball player.
wide_broad | a | wide, broad | a {wide/broad} street | in {broad/wide} daylight
narrow_thin | a | -- skip
thin_slim_skinny | a | thin, slim, skinny | She's very {thin/slim}. | a {thin/slim} chance -- slim chance fine; bad: a {thin/skinny} soup
fat_overweight | a | -- skip
heavy_weighty | a | -- skip
light_bright | a | light, bright | The room is {bright/light} and airy. | This bag is very {light/bright}.
dark_dim | a | dark, dim | The room was {dark/dim}. | He's a bit {dim/dark} (stupid).
fast_rapid | a | fast, rapid, quick, speedy | -- skip
slow_gradual | a | slow, gradual | -- skip
new_brand_new | a | -- skip
old_ancient | a | old, ancient | an {old/ancient} castle | How {old/ancient} are you?
old_elderly | a | old, elderly | an {old/elderly} lady | My {old/elderly} car.
old_elder_older | a | older, elder, big | -- skip
young_little | a | young, little | She's my {younger/little} sister. | -- skip
good_nice_fine | a | good, nice, fine | -- skip
nice_kind | a | nice, kind, friendly | She's very {nice/kind}. | What {kind/nice} of music?
nice_lovely | a | nice, lovely | What a {lovely/nice} day! | -- skip bad
great_fantastic | a | great, fantastic, brilliant, wonderful, amazing, awesome | The party was {great/fantastic}. | Alexander the {Great/Fantastic}.
wonderful_marvellous | a | -- skip
excellent_perfect | a | -- skip
beautiful_pretty | a | beautiful, pretty, lovely, gorgeous | a {beautiful/pretty} dress | It's {pretty/beautiful} cold today.
handsome_good_looking | a | handsome, good-looking, attractive | -- skip
ugly_unattractive | a | -- skip
bad_poor | a | bad, poor | The food was {bad/poor}. | {Poor/Bad} thing, she's ill.
terrible_horrible_dreadful | a | terrible, horrible, dreadful, awful | The weather was {terrible/horrible}. | I feel {awful/dreadful} about it. -- ok; bad:
nasty_mean | a | nasty, mean | Don't be so {mean/nasty}! | What do you {mean/nasty}?
happy_glad_pleased | a | happy, glad, pleased | I'm {glad/happy} you came. | Happy birthday! vs {Happy/Glad} birthday!
happy_cheerful | a | happy, cheerful | -- skip
sad_unhappy_upset | a | sad, unhappy, upset | She looked {sad/unhappy}. | She has an {upset/unhappy} stomach.
angry_mad_furious | a | angry, mad, furious, cross | She was {angry/furious} with him. | You're {mad/angry} to swim in winter!
cross_annoyed | a | -- skip
scared_afraid_frightened | x | scared, afraid, frightened, terrified | She's {scared/afraid} of spiders. | I'm {afraid/scared} I can't come. (polite)
worried_nervous_anxious | x | worried, nervous, anxious | She was {nervous/anxious} before the exam. | She was {anxious/worried} to leave. (eager)
tired_exhausted_sleepy | x | tired, exhausted, worn out | She was {tired/exhausted} after the run. | I'm {tired/exhausted} of your excuses.
bored_fed_up | x | bored, fed up | I'm {bored/fed up} with this job. | I'm {bored/fed up}, there's nothing on TV. -- ok? bad:
surprised_amazed_shocked | x | surprised, amazed, astonished | She was {amazed/astonished} by the view. | -- skip bad
excited_thrilled | x | excited, thrilled | She was {excited/thrilled} about the trip. | -- skip
calm_peaceful_quiet | a | calm, peaceful, quiet | a {quiet/peaceful} village | Be {quiet/peaceful}!
quiet_silent | a | quiet, silent | The room went {quiet/silent}. | a {silent/quiet} film
loud_noisy | a | loud, noisy | The street is very {noisy/loud}. | She wore a {loud/noisy} shirt.
busy_crowded | a | busy, crowded, packed | The market was {busy/crowded}. | I'm {busy/crowded} right now.
free_available | x | free, available | Are you {free/available} tonight? | Entry is {free/available} for kids.
free_gratis | x | free, for free, free of charge | -- skip
cheap_inexpensive | a | cheap, inexpensive | -- skip
expensive_dear_pricey | a | expensive, pricey, dear | -- skip
rich_wealthy | a | rich, wealthy, well-off | a {rich/wealthy} family | This cake is too {rich/wealthy}.
poor_broke | a | -- skip
easy_simple | a | easy, simple | It's an {easy/simple} question. | an {easy/simple} chair
hard_difficult_tough | a | hard, difficult, tough | a {hard/difficult} exam | a {hard/difficult} chair
tough_strong | a | -- skip
strong_powerful | a | strong, powerful | a {strong/powerful} engine | a {strong/powerful} coffee.
weak_feeble | a | -- skip
important_significant | a | -- skip
main_major_chief | a | -- skip
clever_smart_intelligent | a | clever, smart, intelligent, bright | She's very {clever/smart}. | You look very {smart/clever} in that suit.
stupid_silly_dumb | a | stupid, silly, dumb | That was a {silly/stupid} idea. | -- skip bad
funny_amusing_hilarious | a | funny, amusing, hilarious | The film was really {funny/hilarious}. | That's {funny/amusing}, I left it here a minute ago. (strange)
strange_funny | a | -- skip
interesting_fascinating | a | -- skip
boring_dull | a | boring, dull | a {boring/dull} lecture | a {dull/boring} knife
famous_well_known | a | famous, well-known | a {famous/well-known} singer | -- skip
popular_well_liked | a | -- skip
correct_accurate | a | -- skip
wrong_incorrect | a | wrong, incorrect | That answer is {wrong/incorrect}. | What's {wrong/incorrect}? You look sad.
true_correct | a | -- skip
fake_false | a | -- skip
same_identical | a | same, identical | They wore the {same/identical} dress. | -- skip
different_other | a | -- skip
similar_alike | a | -- skip
certain_sure | a | sure, certain | I'm {sure/certain} she'll come. | A {certain/sure} Mr Smith called.
possible_likely | a | -- skip
ready_prepared | a | ready, prepared | Dinner is {ready/prepared}. | I'm {ready/prepared} for the exam. -- ok? bad: Are you {ready/prepared}? Let's go! fine... skip bad
full_stuffed | a | full, stuffed | I'm {full/stuffed}, no more cake. | The glass is {full/stuffed}.
empty_vacant | a | empty, vacant | an {empty/vacant} seat | She had an {empty/vacant} look. -- both ok; bad: The bottle is {empty/vacant}.
clean_spotless | a | -- skip
dirty_filthy | a | dirty, filthy | His shoes were {dirty/filthy}. | -- skip
wet_damp_soaked | a | wet, damp, soaking wet, soaked | Her hair was {wet/soaked}. | Wet paint! vs {Wet/Soaked} paint!
dry_arid | a | -- skip
hot_warm | a | hot, warm | -- skip
cold_chilly_cool | a | cold, chilly, cool | It's a bit {chilly/cold} today. | That's so {cool/chilly}! (great)
cold_freezing | a | cold, freezing | It's {freezing/cold} outside. | -- skip
tasty_delicious | a | tasty, delicious, yummy | The soup was {delicious/tasty}. | -- skip
sweet_cute | a | sweet, cute | What a {cute/sweet} puppy! | This tea is too {sweet/cute}.
fresh_new | a | -- skip
raw_uncooked | a | -- skip
soft_gentle | a | soft, gentle | a {soft/gentle} voice | a {soft/gentle} pillow
hard_firm | a | -- skip
smooth_even | a | -- skip
rough_bumpy | a | -- skip
sharp_pointed | a | -- skip
safe_secure | a | safe, secure | The money is {safe/secure} here. | Have a {safe/secure} trip!
dangerous_risky | a | dangerous, risky | It's {dangerous/risky} to swim here. | -- skip
healthy_fit | a | healthy, fit | She's very {fit/healthy}. | a {healthy/fit} meal
ill_sick_unwell | a | ill, sick, unwell | She's {ill/sick} today. | I'm {sick/ill} of waiting.
well_fine | a | well, fine, OK | "How are you?" "{Fine/Well}, thanks." -- skip bad
alright_ok | x | all right, alright, OK | Is everything {all right/OK}? | -- skip
dead_lifeless | a | -- skip
alive_living | a | -- skip
awake_up | x | -- skip
asleep_sleeping | x | -- skip
late_delayed | a | late, delayed | The train was {late/delayed}. | Her {late/delayed} husband was a doctor.
early_premature | a | -- skip
near_close | a | near, close | The station is {near/close}. | She's a {close/near} friend.
far_distant | a | far, distant | -- skip
whole_complete_total | a | whole, complete | -- skip
total_complete_absolute | x | total, complete, absolute, utter | It was a {total/complete} disaster. | What's the {total/complete} cost?
main_central | a | -- skip
special_particular | a | -- skip
ordinary_normal_usual | a | normal, ordinary, usual | a {normal/ordinary} day | Tea as {usual/normal}?
common_frequent | a | -- skip
rare_unusual | a | rare, unusual | a {rare/unusual} bird | a {rare/unusual} steak
modern_up_to_date | a | -- skip
round_rounded | a | -- dup
straight_direct | a | straight, direct | a {direct/straight} flight | {Straight/Direct} hair
straight_nonstop | x | straight, nonstop, in a row | She worked ten hours {straight/nonstop}. | Go {straight/nonstop} on.
huge_massive_enormous | a | -- dup
gentle_kind | a | -- skip
polite_well_mannered | a | -- skip
rude_impolite | a | rude, impolite | It's {rude/impolite} to stare. | a {rude/impolite} joke (vulgar)
shy_timid | a | shy, timid | -- skip
brave_courageous | a | brave, courageous, bold | a {brave/courageous} firefighter | -- skip
lazy_idle | a | lazy, idle | -- skip
honest_truthful | a | -- skip
generous_kind | a | -- skip
lucky_fortunate | a | lucky, fortunate | We were {lucky/fortunate} to find a seat. | Seven is my {lucky/fortunate} number.
proud_pleased | a | -- skip
sorry_apologetic | a | -- skip
jealous_envious | a | jealous, envious | She was {jealous/envious} of her sister's success. | He is a {jealous/envious} husband.
lonely_alone | a | lonely, alone | -- skip
famous_popular | a | -- skip
strange_unusual | a | -- skip
favourite_best | a | -- skip
awful_horrible | a | -- dup
cosy_comfy | a | -- skip
messy_untidy | a | messy, untidy | Her room is {messy/untidy}. | a {messy/untidy} divorce
neat_tidy | a | neat, tidy | a {tidy/neat} room | That's a {neat/tidy} trick! (clever)
nearly_almost | x | nearly, almost | I {nearly/almost} fell. | It's not {nearly/almost} enough.
quickly_rapidly | x | quickly, rapidly, swiftly | Prices rose {rapidly/quickly}. | -- skip
slowly_gradually | x | slowly, gradually | The pain {slowly/gradually} went away. | Drive {slowly/gradually}!
suddenly_all_of_a_sudden | x | suddenly, all of a sudden, all at once | {Suddenly/All of a sudden} the lights went out. | We can't all talk {all at once/suddenly}.
immediately_at_once | x | immediately, at once, right away, straight away | Come here {immediately/at once}! | They all spoke {at once/immediately}.
soon_shortly | x | soon, shortly | She'll be here {soon/shortly}. | As {soon/shortly} as she arrived, it rained.
later_afterwards | x | later, afterwards, after that | We had dinner and {afterwards/later} went for a walk. | See you {later/afterwards}!
then_after_that | x | then, after that, next | First mix the eggs, {then/after that} add flour. | Back {then/after that}, we had no phones.
finally_at_last | x | finally, at last | The bus {finally/at last} came. -- only fronting/end; bad: {Finally/At last}, I'd like to thank my parents. (ordering point)
eventually_finally | x | -- dup
already_yet | x | -- skip (grammar)
always_all_the_time | x | always, all the time, constantly | She's {always/constantly} complaining. | I will {always/all the time} love you.
often_frequently | x | often, frequently | She {often/frequently} works late. | -- skip bad
sometimes_occasionally | x | sometimes, occasionally, now and then | She {sometimes/occasionally} cooks. | -- skip bad
rarely_seldom | x | rarely, seldom, hardly ever | She {rarely/seldom} eats meat. | a {rarely/seldom} seen bird. -- ok, bad: I like my steak {rare/seldom}.
usually_generally | x | usually, generally, mostly | -- skip
really_truly | x | really, truly | I'm {really/truly} sorry. | {Really/Truly}? I didn't know.
very_extremely | x | very, extremely | It was {very/extremely} hot. | The {very/extremely} same day.
quite_fairly_pretty | x | quite, fairly, pretty, rather | It's {quite/fairly} good. | She's {pretty/fairly} as a picture.
a_bit_slightly | x | -- dup
totally_absolutely | x | totally, absolutely | You're {absolutely/totally} right! | -- skip
almost_practically | x | -- skip
maybe_perhaps | x | maybe, perhaps, possibly | {Maybe/Perhaps} she's ill. | -- skip
probably_most_likely | x | -- dup
definitely_certainly | x | definitely, certainly, surely | I'll {definitely/certainly} come. | {Surely/Certainly} you don't believe him?
actually_in_fact | x | actually, in fact, really | I'm {actually/in fact} from Slovakia. | {Actually/In fact}, could you pass the salt?
especially_particularly | x | especially, particularly | I love fruit, {especially/particularly} mangoes. | This bag was made {especially/particularly} for you.
only_just_simply | x | only, just, simply | It {only/just} takes a minute. | She's the {only/just} child.
also_too_as_well | x | -- dup
together_with_each_other | x | -- skip
alone_by_oneself | x | -- dup
everywhere_all_over | x | everywhere, all over the place | Toys lay {everywhere/all over the place}. | -- skip
somewhere_someplace | x | somewhere, someplace | -- skip
inside_indoors | x | inside, indoors | The kids played {inside/indoors}. | She put the key {inside/indoors} the box.
outside_outdoors | x | outside, outdoors | The kids played {outside/outdoors}. | Wait {outside/outdoors} the office.
upstairs_up | x | -- skip
abroad_overseas | x | abroad, overseas | She studied {abroad/overseas}. | -- skip bad
home_at_home | x | -- skip
here_over_here | x | -- skip
far_away | x | far away, a long way away, far | -- skip
around_about | x | around, about, roughly, approximately | It costs {around/about} ten euros. | What's the book {about/around}?
approximately_roughly | x | approximately, roughly | -- skip
over_more_than | x | over, more than | {Over/More than} a hundred people came. | I'd {more than/over} happy to help.
under_less_than | x | under, less than | It costs {under/less than} ten euros. | -- skip
below_under | x | -- dup
behind_at_the_back_of | x | behind, at the back of | She sat {behind/at the back of} the class. | -- skip
in_front_of_before | x | in front of, before | She stood {in front of/before} the judge. | Wash your hands {before/in front of} dinner.
opposite_across_from | x | opposite, across from, facing | The bank is {opposite/across from} the church. | -- skip
between_among | x | -- skip
around_round | x | around, round | They sat {around/round} the table. | -- skip
across_over | x | across, over | She walked {across/over} the bridge. | The film is {over/across}.
through_via | x | through, via | We flew {via/through} Vienna. | Look {through/via} the window.
along_down | x | along, down | She walked {along/down} the street. | Sit {down/along}!
towards_to | x | -- skip
into_in | x | into, in | She jumped {into/in} the pool. | She is {in/into} jazz.
onto_on | x | onto, on | The cat jumped {onto/on} the table. | She's {on/onto} holiday.
on_against | x | on, against | She pressed the pack {on/against} the bump. | She voted {against/on} the plan.
out_of_from | x | out of, from | She took a pen {out of/from} her bag. | She's {from/out of} Slovakia.
off_from | x | -- skip
during_in | x | during, in | {During/In} the night it snowed. | -- skip
for_during | x | -- grammar skip
until_till | x | until, till, till | -- skip
since_as | x | since, as, because | {Since/As} it was late, we left. | I've lived here {since/as} 2010.
because_as | x | -- skip
because_of_due_to | x | because of, due to, owing to | The match was cancelled {because of/due to} rain. | -- skip
although_though | x | although, though, even though | {Although/Though} it rained, we went out. | It's hard. It's fun, {though/although}.
however_but | x | -- skip
but_yet | x | -- skip
so_therefore | x | -- skip
like_such_as | x | like, such as | fruits {like/such as} apples and pears | She sings {like/such as} an angel.
about_regarding | x | about, regarding, concerning | -- skip
with_using | x | -- skip
without_with_no | x | -- skip
except_apart_from | x | except, apart from, except for | Everyone came {except/apart from} Tom. | {Apart from/Except} being cheap, it's good. (= besides)
besides_as_well_as | x | besides, as well as, in addition to | -- skip
instead_of_rather_than | x | instead of, rather than | -- skip
according_to | x | -- skip
next_following | x | -- skip
last_final | x | last, final | the {last/final} chapter | I saw her {last/final} week.
first_initial | x | -- skip
top_best | x | -- skip
own_personal | x | -- skip
right_now_at_the_moment | x | right now, at the moment, at present, currently | She is {right now/at the moment} in a meeting. | Do it {right now/at the moment}!
now_right_now | x | now, right now | She is working {now/right now}. | {Now/Right now}, where was I?
today_this_day | x | -- skip
recently_lately | x | recently, lately | I haven't seen her {lately/recently}. | She {recently/lately} moved to Prague.
these_days_nowadays | x | these days, nowadays | {Nowadays/These days} everyone has a phone. | -- skip
at_first_initially | x | at first, initially, in the beginning | {At first/Initially} I didn't like it. | -- skip
at_the_end_finally | x | -- skip
in_time_on_time | x | -- skip (different meaning)
all_day_the_whole_day | x | all day, the whole day, all day long | She stayed in bed {all day/the whole day}. | -- skip
all_winter | x | all winter, all winter long, the whole winter, throughout the winter | The pond was frozen {all winter/the whole winter}. | -- skip
all_afternoon | x | all afternoon, the whole afternoon, all afternoon long | -- skip
on_repeat | x | on repeat, over and over, over and over again, again and again | She played the song {on repeat/over and over}. | -- skip
at_full_power | x | at full power, on full power, on full, at full blast, on full blast, at full speed, flat out | The fan was {on full/on full power}. | The car went {flat out/on full blast}. -- ok? bad
by_ten | x | by ten, by ten o'clock | -- skip
in_a_row | x | in a row, straight, running | three days {in a row/running} | Put them {in a row/running}.
a_day_trip | x | -- skip
for_a_while | x | -- skip
of_course_certainly | x | of course, certainly | "Can you help?" "{Of course/Certainly}." | It's {of course/certainly} raining. -- skip
no_problem | x | no problem, no worries, don't worry | -- skip
thanks_thank_you | x | thanks, thank you, cheers | {Thanks/Thank you} for coming. | {Cheers/Thanks}! (raising a glass)
hello_hi | x | hello, hi, hey | {Hi/Hello}, how are you? | She answered the phone: "{Hello/Hey}?"
sorry_excuse_me | x | sorry, excuse me, pardon | {Sorry/Pardon}? I didn't hear you. | {Excuse me/Sorry}, could you move?
wow_amazing | x | -- skip
kind_of_sort_of | x | kind of, sort of, a bit | I'm {kind of/sort of} tired. | What {kind of/sort of} music... -- ok? bad:
a_lot_much | x | -- grammar skip
plenty_enough | x | -- skip
lots_heaps_loads | x | lots, loads, tons, heaps | I've got {loads/lots} of homework. | The truck carried two {loads/lots}.
some_a_few | x | -- grammar skip
each_other_one_another | x | each other, one another | They love {each other/one another}. | -- skip
look_like_resemble | v | look like, resemble, take after | She {looks like/resembles} her mother. | It {looks like/resembles} it's going to rain.
go_on_happen | v | go on, happen | What's {going on/happening}? | {Go on/Happen}, tell me!
give_up_quit | v | give up, quit, stop | -- dup
put_up_with_tolerate | v | put up with, tolerate, stand, bear | I can't {stand/bear} him. | {Stand/Bear} up, please.
get_on_get_along | v | get on, get along | She {gets on/gets along} with her boss. | She {got on/got along} the bus.
look_forward_can_t_wait | v | -- skip
figure_out | v | figure out, work out | -- dup solve
run_out_of | v | run out of, use up | We {ran out of/used up} milk. | -- skip
set_up_arrange | v | -- skip
